system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.35659713,1552,10,11,0.34097835,1272,1_0000d5d88c220cf2eb8f,0.5182388,2505,0.36635885,1140,0.088258326,606,0.06433436,349,
1_0,0.13557942,2294,10,11,0.095169,2008,1_0000e7f6d0960a13a2f8,0.22194739,3218,0.07874452,1991,0.06309478,854,0.03284895,584,
2_0,0.11869995,1406,10,-1,0.08443023,1094,2_0000b87c258df7e350ab,0.12073696,1787,0.071763165,993,0.07290885,949,0.05091304,637,
3_0,0.2645112,3243,10,9,0.22341885,3153,1_00004a03f759c29db38c,0.24334425,4346,0.21563643,3398,0.028434569,739,0.017533135,482,
4_0,0.54597896,1319,10,-1,0.50462294,1028,2_0000729af588085d2be8,0.6110029,1959,0.52874374,875,0.3913461,790,0.33624965,461,
5_0,0.27153206,2624,10,14,0.22531189,2266,1_00005b7d1d91c4c7b621,0.2323805,2404,0.2214729,2294,0.08817479,782,0.07489068,625,
6_0,0.56179357,1294,10,10,0.5004509,1018,1_00008d96978dc9cd52e9,0.5967903,1473,0.5331488,975,0.385509,837,0.3198409,573,
7_0,0.5412408,3860,10,9,0.5137504,3804,1_000085b3d6a02fea06fe,0.66049623,4852,0.5511061,4096,0.32463706,843,0.29218814,613,
8_0,0.2887337,1316,10,0,0.2618787,1005,1_0000987e7a6192222d61,0.34416717,1690,0.2694592,885,0.2847679,924,0.2560975,597,
9_0,0.30292678,1660,10,11,0.25923926,1279,1_0000d6b7b515a2121c1a,0.3125669,1732,0.25518674,1149,0.111813046,567,0.10364658,390,
10_0,0.38340193,1071,10,8,0.34392112,768,1_00004f849500be1ea36d,0.44163063,1397,0.36071542,654,0.3048184,690,0.30790627,400,
11_0,0.5072476,1977,10,-1,0.47729668,1786,2_000013036eab25291306,0.5913991,2771,0.51163775,1906,0.34142557,1683,0.2965116,1124,
12_0,0.12563176,1623,10,-1,0.09188411,1316,2_00006d04e81b70766c84,0.17949165,2117,0.07827968,1226,0.07973619,724,0.049273428,481,
13_0,0.45168278,2099,10,9,0.41973552,1843,1_000025abd45a5e4bcddb,0.5657239,2776,0.44880602,1803,0.46437085,471,0.44044825,287,
14_0,0.4084974,1424,10,10,0.37422657,1139,1_0000a1a58ffe5d93a5a7,0.43508527,1820,0.3885943,1077,0.4042022,1327,0.3438577,935,
15_0,0.4600835,1628,10,11,0.42350858,1436,1_0000ff44dc3314642f9a,0.52448213,2794,0.45474035,1392,0.48442715,579,0.42454928,335,
16_0,0.39578497,1786,10,8,0.3525546,1457,1_00001cbce58ff06b4382,0.44648302,2238,0.36222786,1355,0.20254007,909,0.20310724,659,
17_0,0.17329602,1424,10,0,0.13563795,1106,1_00009cdc52a1c0ad04ca,0.14798957,1356,0.12529707,1048,0.06403761,768,0.043474,546,
18_0,0.3145417,2605,10,-1,0.289323,2319,2_0000caaf5c18331706cf,0.35814047,2774,0.31738,2448,0.087833256,1099,0.06629231,813,
19_0,0.31741345,1771,10,9,0.28764647,1485,1_000035e9c9f1c5ad4f6e,0.39814463,2663,0.29415703,1364,0.2958831,493,0.27934927,249,
20_0,0.25354835,1925,10,8,0.21473753,1697,1_0000f41c478af0c7dc55,0.32542858,2791,0.21586864,1681,0.11676812,725,0.098982655,469,
21_0,0.40813652,1183,10,1,0.36355123,870,1_00002f585f8a6461e243,0.44478154,1330,0.37335056,744,0.19409566,609,0.19576563,399,
22_0,0.17629662,1387,10,9,0.14579588,1144,1_000077ba716bca8d5e72,0.25919604,2121,0.13785487,1077,0.110632814,1265,0.07592094,818,
23_0,0.8004415,1252,10,11,0.7619283,1017,1_000091906473e57d071b,0.9204376,1841,0.82723564,963,0.7660822,1540,0.6447932,1027,
24_0,0.124454156,1684,10,-1,0.091667175,1338,2_00006d04e81b70766c84,0.18640234,2095,0.075490616,1245,0.06814609,777,0.04028645,537,
25_0,0.3673323,2023,10,8,0.3281981,1749,1_00004f849500be1ea36d,0.42247313,2402,0.3420936,1773,0.2849362,1107,0.2905763,768,
26_0,0.17830855,4248,10,8,0.16301878,4044,1_0000c4677ca9d436056d,0.2812407,4709,0.18067935,4387,0.19150598,1163,0.124467425,820,
27_0,0.20030016,1332,10,9,0.17091237,1076,1_000077ba716bca8d5e72,0.28677905,2060,0.17343906,1004,0.113189586,1254,0.08455379,795,
29_0,0.517084,2748,10,-1,0.48791665,2556,2_00009e5954ecba826644,0.63153267,3391,0.5188863,2677,0.36970773,635,0.3353737,430,
30_0,0.2075429,1438,10,0,0.18125902,1220,1_0000dd799d8a38bcedcb,0.26492155,2225,0.18340045,1172,0.053542804,713,0.030792855,420,
31_0,0.4067883,1819,10,12,0.35975435,1464,1_000041264cd9247912b0,0.41007328,2168,0.36693838,1382,0.14033428,888,0.13919833,628,
32_0,0.25806817,1066,10,10,0.22801127,763,1_0000ca276e206abcdb53,0.3158153,1609,0.23236209,564,0.2608331,582,0.24923892,287,
33_0,0.29185414,4763,10,8,0.27944,4642,1_0000c4677ca9d436056d,0.42199585,5674,0.3121339,5112,0.21801397,1446,0.15210646,994,
34_0,0.33026028,1324,10,10,0.2916662,1035,1_000030745b59d503ae4e,0.40637332,1664,0.31014624,935,0.31289327,746,0.2578705,480,
35_0,0.36875588,3515,10,14,0.34349778,3351,1_00004d60893dead95cf2,0.41582915,4225,0.3620529,3565,0.1097767,982,0.09204424,716,
36_0,0.3909011,1654,10,-1,0.3463473,1335,2_0000be41fd7f1d1530c3,0.4296887,1997,0.3557055,1265,0.1928668,733,0.1907557,502,
37_0,0.79243624,2174,10,-1,0.7540606,1890,2_00009d0ab7ad8bcaa49b,0.9032717,2427,0.81570923,2004,0.66660815,1551,0.5518939,1104,
38_0,0.44695413,1377,10,11,0.41211644,1098,1_0000e8c6025eba6dc605,0.5231209,1872,0.43279207,997,0.3845699,871,0.31540936,548,
39_0,0.53236073,1847,10,11,0.46804807,1543,1_000035570c641bf9a58d,0.54313177,2209,0.49449515,1529,0.3107471,946,0.2746368,637,
40_0,0.34109378,2966,10,9,0.32068387,2737,1_00001e0914e30443298a,0.4757265,4071,0.33621842,2781,0.29395902,901,0.27265936,645,
41_0,0.91643524,1033,10,10,0.8868712,804,1_00001f5b24288db51906,1.0397465,1871,0.9540357,665,0.7028809,1008,0.60301554,600,
42_0,0.36347836,2800,10,11,0.32376182,2639,1_000060da34fe4c7b3c6a,0.47579324,3369,0.3544029,2825,0.08475545,859,0.055152453,597,
43_0,0.8164488,1728,10,-1,0.77668595,1442,2_0000fea272380f901082,0.9212778,1627,0.8329908,1419,0.7287784,636,0.64251804,489,
44_0,0.21111305,1510,10,0,0.17849162,1228,1_0000987e7a6192222d61,0.25496858,1864,0.1800802,1143,0.17170867,949,0.1330461,650,
45_0,0.47463748,5342,10,-1,0.4291079,5010,2_000044ca1f83bfa38360,0.492966,5716,0.44329178,5354,0.14024217,848,0.13600543,784,
46_0,0.5868962,2868,10,-1,0.55186814,2794,2_0000943c4299511b8dbf,0.6306872,3271,0.58542526,3026,0.25487527,751,0.22095177,510,
47_0,0.28309393,1546,10,-1,0.23946781,1156,2_0000996103373976ed06,0.3036943,1982,0.23338902,981,0.109756075,522,0.09799759,315,
