system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.10040167,1587,0,11,0.06727468,1181,1_0000d5d88c220cf2eb8f,0.1557989,1984,0.055118844,1021,0.10995932,524,0.070939995,323,
1_0,0.08954493,1602,0,11,0.05428371,1217,1_0000e7f6d0960a13a2f8,0.15436062,2261,0.03628193,1079,0.043426964,323,0.02700266,208,
2_0,0.11102152,1201,0,-1,0.07499117,811,2_0000b87c258df7e350ab,0.11347158,1157,0.06668016,708,0.09054481,859,0.07214262,632,
3_0,0.11654526,1916,0,9,0.08809581,1585,1_00004a03f759c29db38c,0.20725559,2624,0.09133071,1602,0.18637463,1139,0.12616135,762,
4_0,0.11772747,1200,0,-1,0.0796355,837,2_0000729af588085d2be8,0.21316533,1698,0.061920237,674,0.05422699,416,0.035430517,235,
5_0,0.10844669,1796,0,14,0.06986247,1397,1_00005b7d1d91c4c7b621,0.09076572,1834,0.0619177,1387,0.12161751,1189,0.09444526,899,
6_0,0.11883583,1451,0,10,0.08346297,1117,1_00008d96978dc9cd52e9,0.20929581,2227,0.07082562,1043,0.09780311,944,0.065799914,612,
7_0,0.114551134,1749,0,9,0.0858358,1457,1_000085b3d6a02fea06fe,0.21186422,2749,0.084905215,1493,0.1771238,1329,0.116766825,780,
8_0,0.34728068,1506,0,0,0.31626618,1070,1_0000987e7a6192222d61,0.41806084,1484,0.3411594,947,0.17062119,902,0.16913272,653,
9_0,0.110948846,1547,0,11,0.066843085,1051,1_0000d6b7b515a2121c1a,0.07752426,1237,0.04949774,894,0.044778027,608,0.033102885,442,
10_0,0.10735146,2142,0,8,0.06331332,1644,1_00004f849500be1ea36d,0.06426574,1635,0.045852266,1504,0.024309408,759,0.01646327,577,
11_0,0.5306262,2247,0,-1,0.46292558,2166,2_000013036eab25291306,0.67226505,4357,0.5162793,2576,0.59832674,2815,0.5092514,1812,
12_0,0.0949269,1231,0,-1,0.058134604,818,2_00006d04e81b70766c84,0.103556626,1215,0.04361255,660,0.059712082,510,0.04133913,323,
13_0,0.10010484,1434,0,9,0.059734978,987,1_000025abd45a5e4bcddb,0.10746093,1402,0.044269465,826,0.04852359,499,0.027252972,318,
14_0,0.13542607,1736,0,10,0.10395957,1413,1_0000a1a58ffe5d93a5a7,0.21233888,2438,0.10410369,1429,0.12269536,1219,0.09146905,882,
15_0,0.12535717,1785,0,11,0.09245266,1473,1_0000ff44dc3314642f9a,0.22762516,2706,0.07817776,1415,0.05818429,546,0.04411035,378,
16_0,0.24604383,1833,0,8,0.21179211,1433,1_00001cbce58ff06b4382,0.2732134,2153,0.20381382,1342,0.19009016,1311,0.15914635,1095,
17_0,0.42961225,1470,0,0,0.38519597,948,1_00009cdc52a1c0ad04ca,0.541594,741,0.43490022,742,0.40021056,288,0.38807803,209,
18_0,0.1403538,1817,0,-1,0.10276599,1420,2_0000caaf5c18331706cf,0.14742994,1768,0.10321093,1431,0.09792348,844,0.0758405,626,
19_0,0.09713582,1447,0,9,0.05867145,1051,1_000035e9c9f1c5ad4f6e,0.1481853,1892,0.0385973,884,0.039084755,725,0.02197963,552,
20_0,0.19081384,2116,0,8,0.1502297,1745,1_0000f41c478af0c7dc55,0.26623073,2761,0.14872035,1731,0.044762336,672,0.034604628,517,
21_0,0.14531474,1375,0,1,0.10207297,909,1_00002f585f8a6461e243,0.105750576,947,0.08607522,711,0.042984225,379,0.032686688,264,
22_0,0.14850046,1644,0,9,0.104253896,1239,1_000077ba716bca8d5e72,0.18746573,2028,0.084792055,1135,0.07447895,874,0.04782288,586,
23_0,0.33378023,1676,0,11,0.31941965,1351,1_000091906473e57d071b,0.47077987,2394,0.34075534,1328,0.33849868,1555,0.26070553,1021,
24_0,0.093442224,1040,0,-1,0.0556756,600,2_00006d04e81b70766c84,0.10522689,856,0.039622467,399,0.04491165,254,0.029879235,160,
25_0,0.11560578,1986,0,8,0.07447025,1537,1_00004f849500be1ea36d,0.119959705,1944,0.06145383,1435,0.0649914,975,0.04539873,701,
26_0,0.11204715,2014,0,8,0.07901296,1686,1_0000c4677ca9d436056d,0.17148086,2787,0.081796736,1764,0.19502498,1472,0.12088801,921,
27_0,0.15798187,1695,0,9,0.11577297,1291,1_000077ba716bca8d5e72,0.18438843,2064,0.10113501,1198,0.08616436,906,0.06254402,626,
28_0,0.13457672,2701,0,-1,0.09396865,2147,2_0000b52091d7614c7f07,0.17558487,2590,0.08851757,2219,0.13657711,855,0.09176821,637,
29_0,0.105732694,1395,0,-1,0.07001578,1039,2_00009e5954ecba826644,0.14911589,2030,0.05902596,961,0.1125127,1061,0.07125656,642,
30_0,0.4739986,1598,0,0,0.4192595,1218,1_0000dd799d8a38bcedcb,0.56145227,2030,0.4615277,1109,0.3810325,465,0.36896485,309,
31_0,0.1347861,1552,0,12,0.08937692,1070,1_000041264cd9247912b0,0.11379603,1251,0.07707669,959,0.08592915,825,0.06842441,623,
