system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.31199548,1467,8,11,0.27005297,1105,1_0000d5d88c220cf2eb8f,0.43289104,2144,0.279445,946,0.062527746,470,0.050476786,309,
1_0,0.11725025,2147,8,11,0.07813824,1772,1_0000e7f6d0960a13a2f8,0.19517407,3097,0.05913975,1708,0.04104187,601,0.02654641,439,
2_0,0.12751956,1359,8,-1,0.0877369,960,2_0000b87c258df7e350ab,0.13625024,1325,0.07814605,875,0.09504831,920,0.07345814,711,
3_0,0.40357354,3637,8,9,0.38482764,3462,1_00004a03f759c29db38c,0.5202899,4877,0.4200488,3755,0.07481842,655,0.05951271,488,
4_0,0.13628045,1228,8,-1,0.09998259,899,2_0000729af588085d2be8,0.20363283,1883,0.086850144,754,0.04588549,533,0.030639108,329,
5_0,0.23932078,2512,8,14,0.18807968,2037,1_00005b7d1d91c4c7b621,0.22537005,2027,0.19111487,2079,0.11882209,587,0.10815972,578,
6_0,0.14920217,1549,8,10,0.115172155,1216,1_00008d96978dc9cd52e9,0.24810451,1668,0.10995587,1168,0.07696083,604,0.052659586,449,
7_0,0.39630234,4175,8,9,0.3628986,4046,1_000085b3d6a02fea06fe,0.52071935,5434,0.39129382,4355,0.06750749,600,0.055470698,459,
8_0,0.14950812,1307,8,0,0.10590574,912,1_0000987e7a6192222d61,0.17331922,1462,0.09307608,791,0.06772514,793,0.05078245,559,
9_0,0.28514963,1702,8,11,0.22993927,1228,1_0000d6b7b515a2121c1a,0.2658452,1521,0.22798753,1099,0.09343007,471,0.09027885,373,
10_0,0.30122644,1698,8,8,0.26056528,1248,1_00004f849500be1ea36d,0.38518345,1758,0.28291574,1163,0.30706656,420,0.2670201,310,
11_0,0.48537046,3245,8,-1,0.48984057,3127,2_000013036eab25291306,0.7517617,4712,0.5712568,3529,0.16864279,1564,0.141229,1170,
12_0,0.110860236,1437,8,-1,0.06874621,1043,2_00006d04e81b70766c84,0.11549193,1630,0.05236377,933,0.052921284,536,0.03739656,402,
13_0,0.17057113,2171,8,9,0.13683678,1863,1_000025abd45a5e4bcddb,0.19625384,2900,0.11602636,1806,0.045295693,455,0.029357553,299,
14_0,0.22839856,1888,8,10,0.18526074,1561,1_0000a1a58ffe5d93a5a7,0.3103273,2391,0.20090958,1619,0.09608719,1011,0.074311286,766,
15_0,0.15179372,1948,8,11,0.11969018,1671,1_0000ff44dc3314642f9a,0.25667846,2952,0.11031936,1614,0.050511345,661,0.036371507,421,
16_0,0.33537364,1420,8,8,0.28338152,1030,1_00001cbce58ff06b4382,0.35647815,1752,0.28704926,894,0.14182281,559,0.13220647,415,
17_0,0.12891136,1515,8,0,0.08021326,1059,1_00009cdc52a1c0ad04ca,0.06577854,1047,0.059942193,919,0.033455182,353,0.025180466,267,
18_0,0.3253704,3760,8,-1,0.29393992,3446,2_0000caaf5c18331706cf,0.37473923,4012,0.31780732,3720,0.0832622,690,0.074148625,618,
19_0,0.1355033,1741,8,9,0.09748691,1403,1_000035e9c9f1c5ad4f6e,0.20610425,2707,0.07775004,1274,0.034849193,505,0.021471063,310,
20_0,0.37698454,2466,8,8,0.31074357,2146,1_0000f41c478af0c7dc55,0.36961293,3293,0.31755123,2206,0.23998964,457,0.21555085,402,
21_0,0.2493163,1639,8,1,0.20206925,1239,1_00002f585f8a6461e243,0.27167207,1603,0.20270959,1152,0.155988,614,0.13438606,513,
22_0,0.1476637,1423,8,9,0.106366836,1085,1_000077ba716bca8d5e72,0.2103268,1857,0.090912186,1032,0.069295906,809,0.053288978,553,
23_0,0.18702342,1749,8,11,0.15308054,1455,1_000091906473e57d071b,0.23568077,2277,0.1526185,1497,0.08716323,1250,0.07499418,936,
24_0,0.10931634,1501,8,-1,0.06685923,1082,2_00006d04e81b70766c84,0.12209637,1587,0.04944752,961,0.04361503,548,0.029248226,404,
25_0,0.26131174,2399,8,8,0.21577649,2000,1_00004f849500be1ea36d,0.31290665,2754,0.22640285,2036,0.1355519,837,0.108810365,674,
26_0,0.70982534,5704,8,8,0.66089606,5439,1_0000c4677ca9d436056d,0.8306827,6388,0.71762925,5966,0.54387873,774,0.5173289,694,
27_0,0.17084567,1487,8,9,0.12638468,1135,1_000077ba716bca8d5e72,0.22861059,1993,0.123983935,1097,0.083058186,837,0.06519666,577,
28_0,0.50640035,5768,8,-1,0.44997957,5339,2_0000b52091d7614c7f07,0.5566531,5940,0.49870226,5795,0.117144816,721,0.1221175,792,
29_0,0.23732376,2952,8,-1,0.21045348,2665,2_00009e5954ecba826644,0.31349823,3727,0.2143352,2788,0.06544914,621,0.048875086,472,
30_0,0.19527932,1650,8,0,0.15537064,1375,1_0000dd799d8a38bcedcb,0.2564671,2523,0.15044415,1323,0.048826884,592,0.04017886,386,
31_0,0.31922403,1894,8,12,0.26182142,1434,1_000041264cd9247912b0,0.30752468,1917,0.26533186,1353,0.117915705,734,0.11402624,586,
32_0,0.11435479,1110,8,10,0.07507929,742,1_0000ca276e206abcdb53,0.15634328,1481,0.05548301,556,0.045122337,463,0.02750612,265,
33_0,0.54443747,5950,8,8,0.49824926,5770,1_0000c4677ca9d436056d,0.64114535,7132,0.53551716,6398,0.39395285,994,0.35406402,844,
34_0,0.17390719,1483,8,10,0.13633367,1135,1_000030745b59d503ae4e,0.23157912,1839,0.12882385,1036,0.069133565,575,0.054963324,388,
35_0,0.322416,4269,8,14,0.2866323,4021,1_00004d60893dead95cf2,0.41045803,5128,0.31134254,4383,0.125877,1029,0.115697056,911,
36_0,0.27303243,2129,8,-1,0.22255373,1721,2_0000be41fd7f1d1530c3,0.30944973,2590,0.2249542,1687,0.15186252,673,0.125602,561,
37_0,0.20219997,1941,8,-1,0.16768841,1636,2_00009d0ab7ad8bcaa49b,0.24026573,2213,0.17501013,1751,0.08815206,907,0.06900653,675,
38_0,0.10819816,1469,8,11,0.071746245,1129,1_0000e8c6025eba6dc605,0.12715149,1972,0.056919895,1035,0.048371237,691,0.031029556,469,
39_0,0.16390647,1911,8,11,0.11268531,1509,1_000035570c641bf9a58d,0.14513198,1883,0.100358464,1483,0.070753045,648,0.053088777,510,
40_0,0.15516977,2349,8,9,0.11090633,2021,1_00001e0914e30443298a,0.21751846,3481,0.090673976,1962,0.038358886,365,0.022585908,226,
41_0,0.1362709,1214,8,10,0.1075871,915,1_00001f5b24288db51906,0.23334849,2099,0.0990566,817,0.06828293,818,0.052112542,533,
42_0,0.33989447,3664,8,11,0.3311638,3435,1_000060da34fe4c7b3c6a,0.48724088,4773,0.35546347,3738,0.10089743,868,0.08365111,700,
43_0,0.2295343,2016,8,-1,0.1985742,1639,2_0000fea272380f901082,0.2627164,1796,0.20798074,1673,0.11743205,568,0.09741093,535,
44_0,0.22743388,1727,8,0,0.1856451,1343,1_0000987e7a6192222d61,0.28013504,1953,0.18834789,1286,0.076267034,765,0.06341144,592,
45_0,0.53582144,6476,8,-1,0.47088957,6062,2_000044ca1f83bfa38360,0.5572614,7063,0.5050035,6613,0.11772313,622,0.123731926,687,
46_0,0.5364305,4574,8,-1,0.50997996,4464,2_0000943c4299511b8dbf,0.6669758,5461,0.5760914,4951,0.07647695,646,0.07409861,580,
47_0,0.31447154,1702,8,-1,0.25737038,1240,2_0000996103373976ed06,0.30883795,1932,0.25955123,1077,0.085557245,472,0.08481729,347,
48_0,0.5271403,5446,8,-1,0.49580815,5319,2_00002d9cb780e9dc7cc2,0.53850144,5402,0.5369809,5667,0.07563236,478,0.07129505,465,
49_0,0.26427984,2421,8,9,0.22938925,2113,1_000001f382e7f9bf4f1b,0.30589476,2658,0.24526086,2302,0.09999579,1193,0.08687894,956,
50_0,0.3355334,2108,8,-1,0.288697,1768,2_0000b479ac309f53d7df,0.3888858,3054,0.30219424,1738,0.22886804,656,0.21892,533,
51_0,0.12886655,1079,8,10,0.08839162,730,1_0000ff22f3d6b89cf704,0.18111649,1674,0.071935296,566,0.050107393,450,0.029732633,254,
52_0,0.56281877,1646,8,-1,0.5103843,1255,2_000077d747b97fcff2a8,0.62014854,1864,0.542434,1141,0.46502534,468,0.4201253,361,
53_0,0.5237664,6143,8,-1,0.48752776,5846,2_0000d304d0539a432e19,0.63454086,6220,0.54392284,6349,0.06763118,233,0.059397068,319,
54_0,0.32628646,2653,8,9,0.2975281,2393,1_000043d6bca8b0368a50,0.38960877,3033,0.32812136,2681,0.11463195,1200,0.10132066,964,
55_0,0.11146064,1322,8,-1,0.07294904,960,2_00004d7f6e5a46beea59,0.18904138,2029,0.05446518,789,0.04219979,513,0.025302717,312,
56_0,0.46774405,5750,8,-1,0.4151975,5390,2_00002c796dbd68da3605,0.5042656,6127,0.44906643,5895,0.1280463,742,0.13322729,809,
57_0,0.31602445,1818,8,12,0.25943354,1366,1_000041264cd9247912b0,0.31200966,1970,0.26127985,1262,0.10243185,462,0.10056068,364,
58_0,0.5123463,5222,8,10,0.50688803,5134,1_000033c279a71c05e78d,0.6918676,6430,0.5865213,5718,0.10598687,1429,0.09595451,1266,
59_0,0.6726044,7258,8,-1,0.64982873,7012,2_0000110026858e22622c,0.7673734,7881,0.71293396,7611,0.08225164,488,0.0825479,534,
60_0,0.21608387,2300,8,-1,0.17858425,1960,2_0000290a4df5573a02f8,0.27268457,2933,0.18262401,2054,0.09049966,725,0.07381365,553,
