system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
2_0,0.13869746,1775,3,-1,0.086295426,1173,2_0000b87c258df7e350ab,0.10706881,1296,0.07262873,1076,0.07733023,490,0.061186735,440,
3_0,0.35767037,2861,3,9,0.3088858,2368,1_00004a03f759c29db38c,0.47166693,3409,0.3441675,2469,0.08095496,632,0.06315856,524,
4_0,0.20276678,1976,3,-1,0.14886768,1466,2_0000729af588085d2be8,0.2008701,2065,0.13776463,1358,0.05292735,461,0.047304265,394,
5_0,0.16125377,2622,3,14,0.10632834,1931,1_00005b7d1d91c4c7b621,0.12993394,2302,0.0984867,1939,0.11662893,1046,0.09832683,938,
6_0,0.24799319,1858,3,10,0.19053747,1381,1_00008d96978dc9cd52e9,0.31277448,2882,0.19175841,1357,0.15548949,833,0.13092718,628,
7_0,0.3722356,3688,3,9,0.32201087,3240,1_000085b3d6a02fea06fe,0.4440031,4676,0.3352732,3434,0.18866348,838,0.16433962,771,
8_0,0.16582884,1888,3,0,0.10075675,1242,1_0000987e7a6192222d61,0.13255422,1323,0.08310877,1107,0.060640633,745,0.04687987,642,
9_0,0.1458276,2143,3,11,0.08314732,1386,1_0000d6b7b515a2121c1a,0.06933206,1295,0.06020718,1223,0.033344194,445,0.024986822,386,
10_0,0.16999291,1853,3,8,0.10627229,1220,1_00004f849500be1ea36d,0.10634357,1455,0.08781184,1082,0.031646468,564,0.023307191,428,
11_0,0.44738775,5014,3,-1,0.44819376,5073,2_000013036eab25291306,0.7018219,8462,0.52698183,6049,0.20607704,1786,0.18532577,1607,
13_0,0.16271886,1790,3,9,0.094582275,1160,1_000025abd45a5e4bcddb,0.1351531,1528,0.075976945,964,0.028374674,256,0.015369609,189,
14_0,0.18802851,2496,3,10,0.13923767,1996,1_0000a1a58ffe5d93a5a7,0.22391897,3109,0.1344811,2104,0.086338885,1000,0.06450192,862,
15_0,0.14236797,2137,3,11,0.10015979,1662,1_0000ff44dc3314642f9a,0.24464478,3249,0.08269863,1634,0.051139954,385,0.03479009,350,
16_0,0.31905413,2413,3,8,0.2596643,1766,1_00001cbce58ff06b4382,0.3396796,1903,0.27170992,1677,0.19179797,793,0.16487521,738,
17_0,0.23843682,1865,3,0,0.16092968,1111,1_00009cdc52a1c0ad04ca,0.14272839,662,0.14477603,844,0.036250878,155,0.026695203,136,
18_0,0.2350316,3029,3,-1,0.17216372,2257,2_0000caaf5c18331706cf,0.19282329,2635,0.1666016,2286,0.06115013,681,0.050548457,628,
19_0,0.14274457,1728,3,9,0.09047541,1149,1_000035e9c9f1c5ad4f6e,0.16359001,1806,0.06583424,951,0.029992528,268,0.016054086,185,
20_0,0.37896585,3279,3,8,0.3162405,2727,1_0000f41c478af0c7dc55,0.40610665,3655,0.33500448,2860,0.15058112,855,0.13992585,809,
21_0,0.30110595,1940,3,1,0.23355287,1268,1_00002f585f8a6461e243,0.2723695,1018,0.23469841,1074,0.114118055,293,0.10725392,259,
22_0,0.16101299,2300,3,9,0.10845626,1708,1_000077ba716bca8d5e72,0.19685556,2392,0.09124688,1627,0.054978274,778,0.040074524,651,
23_0,0.24642067,2009,3,11,0.20207049,1548,1_000091906473e57d071b,0.298643,2289,0.20805776,1518,0.065438956,822,0.05973583,725,
25_0,0.18588743,2085,3,8,0.12202425,1445,1_00004f849500be1ea36d,0.1461155,1706,0.10577336,1333,0.046258017,547,0.03556664,439,
26_0,0.32473987,4308,3,8,0.2729669,3751,1_0000c4677ca9d436056d,0.40045547,5161,0.29712838,4199,0.12622136,1175,0.10045056,1048,
27_0,0.18106997,2368,3,9,0.12337519,1793,1_000077ba716bca8d5e72,0.2003222,2621,0.10975625,1742,0.06292694,818,0.04739513,678,
29_0,0.2974236,2414,3,-1,0.25078464,1830,2_00009e5954ecba826644,0.33051297,2596,0.25040904,1774,0.1749133,663,0.14972107,558,
30_0,0.25239113,1993,3,0,0.18603228,1445,1_0000dd799d8a38bcedcb,0.2577757,2382,0.17966184,1358,0.05225284,463,0.040801197,402,
31_0,0.15819311,2325,3,12,0.094148345,1585,1_000041264cd9247912b0,0.102591,1737,0.07786,1506,0.07078181,660,0.060463015,570,
32_0,0.14248833,1492,3,10,0.09036985,959,1_0000ca276e206abcdb53,0.16276294,1564,0.067562565,766,0.037178777,373,0.021449182,259,
33_0,0.36558992,4198,3,8,0.32851517,3733,1_0000c4677ca9d436056d,0.502873,5504,0.37536085,4241,0.14765187,1482,0.117252454,1194,
34_0,0.22154559,1653,3,10,0.15858738,1116,1_000030745b59d503ae4e,0.22273745,1899,0.14926283,979,0.06680813,653,0.050198294,518,
35_0,0.18780443,3533,3,14,0.14238971,3000,1_00004d60893dead95cf2,0.24811079,4558,0.14535442,3358,0.12590282,1280,0.09737381,1125,
36_0,0.29965532,2447,3,-1,0.2420181,1890,2_0000be41fd7f1d1530c3,0.33817953,2697,0.24872568,1888,0.1259286,718,0.10864374,631,
37_0,0.19619408,2108,3,-1,0.14502507,1524,2_00009d0ab7ad8bcaa49b,0.1960832,1804,0.13831711,1469,0.07451495,869,0.054666225,698,
38_0,0.26838434,1346,3,11,0.22052896,806,1_0000e8c6025eba6dc605,0.27906176,934,0.22572681,602,0.18126242,325,0.15323411,208,
39_0,0.17591119,1814,3,11,0.110941626,1112,1_000035570c641bf9a58d,0.07458168,689,0.087967016,865,0.016818548,169,0.009427723,134,
40_0,0.13658428,2172,3,9,0.085497394,1579,1_00001e0914e30443298a,0.16589235,2460,0.061851826,1435,0.03061478,430,0.021094326,358,
41_0,0.16516314,1714,3,10,0.12067932,1243,1_00001f5b24288db51906,0.24609402,2268,0.10991544,1111,0.0686792,558,0.052284475,436,
42_0,0.28306308,4221,3,11,0.25044045,3823,1_000060da34fe4c7b3c6a,0.4393338,5912,0.28171846,4335,0.10699071,1034,0.08582685,985,
43_0,0.18361917,2150,3,-1,0.12692508,1593,2_0000fea272380f901082,0.12806432,1877,0.11492951,1558,0.061385088,680,0.05146697,606,
44_0,0.18650885,2074,3,0,0.123468846,1428,1_0000987e7a6192222d61,0.16746147,1738,0.10496023,1311,0.061651308,833,0.050300624,739,
45_0,0.42307067,4557,3,-1,0.3437609,3434,2_000044ca1f83bfa38360,0.41027877,3502,0.34435785,3441,0.042127963,603,0.039399028,591,
46_0,0.35167533,3738,3,-1,0.31176013,3337,2_0000943c4299511b8dbf,0.29749805,4228,0.32977894,3690,0.062007986,809,0.0547909,771,
47_0,0.13286516,2307,3,-1,0.07223156,1603,2_0000996103373976ed06,0.12143773,2012,0.04929143,1492,0.022599,343,0.013388835,314,
48_0,0.3989933,3620,3,-1,0.34179848,3058,2_00002d9cb780e9dc7cc2,0.4576306,3243,0.3799524,3227,0.12629017,613,0.11590423,598,
49_0,0.23039389,2610,3,9,0.16964413,1990,1_000001f382e7f9bf4f1b,0.20896912,2346,0.16433156,2004,0.08499551,1000,0.07124117,878,
50_0,0.32932988,2707,3,-1,0.27987498,2141,2_0000b479ac309f53d7df,0.37700927,3087,0.2919537,2168,0.15258798,780,0.13962337,688,
51_0,0.15021154,1594,3,10,0.096895695,1037,1_0000ff22f3d6b89cf704,0.15645072,1528,0.075355686,846,0.03501383,365,0.02104916,254,
52_0,0.39679167,2311,3,-1,0.328035,1665,2_000077d747b97fcff2a8,0.39860106,1803,0.3463299,1547,0.14863771,520,0.1401269,444,
54_0,0.28062648,3138,3,9,0.23391753,2538,1_000043d6bca8b0368a50,0.30990592,3098,0.25122744,2648,0.108971044,1222,0.09637377,1103,
55_0,0.2585667,1970,3,-1,0.20007364,1421,2_00004d7f6e5a46beea59,0.29708123,2267,0.19632316,1320,0.10688865,434,0.08510702,339,
56_0,0.2728938,4240,3,-1,0.19085509,3273,2_00002c796dbd68da3605,0.25583792,3603,0.20015053,3403,0.06327724,699,0.05509042,723,
57_0,0.15307635,2262,3,12,0.0893727,1521,1_000041264cd9247912b0,0.11870879,1740,0.07061125,1427,0.045965534,504,0.03385587,444,
58_0,0.46955168,4781,3,10,0.45958933,4478,1_000033c279a71c05e78d,0.697016,6254,0.54193646,5148,0.1475402,1139,0.13259035,1073,
59_0,0.36100602,5998,3,-1,0.30015704,5401,2_0000110026858e22622c,0.35403654,6519,0.3168436,5934,0.07029799,829,0.07137022,900,
60_0,0.1841768,2018,3,-1,0.12473273,1401,2_0000290a4df5573a02f8,0.19565222,1932,0.115110494,1308,0.07526729,745,0.057448328,619,
61_0,0.20495324,1347,3,-1,0.15273091,787,2_0000479481a62dbf5e54,0.2073925,1093,0.1399248,574,0.04185547,220,0.035147503,153,
62_0,0.29823697,5019,3,-1,0.23561415,4390,2_000065d82ccc74f01dd7,0.20628738,5859,0.23239715,4939,0.051433753,981,0.042916022,992,
63_0,0.3979661,6112,3,1,0.34823322,5801,1_000035c535c37bc26a6d,0.54846555,8397,0.40936857,6932,0.13995837,1623,0.1274231,1695,
64_0,0.22406952,1807,3,-1,0.14947316,1104,2_0000b82b9cc5beb0678d,0.12717837,787,0.13012297,895,0.028744826,221,0.018593838,200,
65_0,0.22438402,2731,3,9,0.15836309,2135,1_00001e0914e30443298a,0.26221693,3136,0.14759813,2062,0.03696175,393,0.026259018,356,
66_0,0.16057965,2562,3,-1,0.10647533,1958,2_0000185914eb67054f3e,0.20118886,2680,0.08833738,1911,0.047758233,714,0.035780653,629,
67_0,0.20406625,1433,3,-1,0.15871818,890,2_00003e9ecf64147854ca,0.20123892,1037,0.15245372,715,0.045070857,420,0.03886183,314,
68_0,0.21083154,1889,3,0,0.14826462,1371,1_0000dd799d8a38bcedcb,0.22819859,2407,0.13461365,1272,0.062051564,483,0.044896487,404,
69_0,0.16278046,1597,3,11,0.112364665,1066,1_0000e42e5bb446f61088,0.19911306,2117,0.09412472,911,0.0697777,795,0.04619723,576,
70_0,0.6495638,3688,3,-1,0.62378526,3370,2_00003a5dcb04be02e6b7,0.7644307,4717,0.69613147,3848,0.104999036,1510,0.111984186,1331,
71_0,0.13602425,1915,3,9,0.08251059,1323,1_00001e0914e30443298a,0.15904757,2181,0.060296196,1147,0.029681403,340,0.016614113,272,
72_0,0.27814847,2177,3,6,0.22560172,1670,1_0000d3866cd6c95cb2bc,0.29544094,2175,0.22399235,1600,0.117373936,584,0.10586632,509,
73_0,0.18416518,2219,3,9,0.12176568,1567,1_00007a137983d821d401,0.1452619,1702,0.10478993,1448,0.05979951,692,0.04735675,607,
74_0,0.23439068,2173,3,11,0.18266729,1620,1_0000382775261c5dc3b7,0.26820767,2354,0.17568213,1514,0.052856803,715,0.04538982,555,
75_0,0.3630178,4073,3,8,0.31436616,3566,1_0000c4677ca9d436056d,0.47563842,5102,0.3573858,4033,0.14401266,1417,0.11466198,1201,
76_0,0.11086805,1533,3,9,0.06516762,1004,1_0000f702b35bb4b6771e,0.1214627,1838,0.04575303,820,0.025596375,352,0.014826527,261,
77_0,0.2307658,3952,3,-1,0.15102965,2969,2_00002c796dbd68da3605,0.18028045,3105,0.13729967,3002,0.05244676,737,0.04255436,722,
78_0,0.36065552,2688,3,6,0.30957875,2199,1_000097bb40093095621e,0.43400827,3157,0.32593265,2240,0.21883473,918,0.19065598,816,
79_0,0.2964954,2425,3,8,0.23790231,1874,1_0000b2b599ae78812dba,0.35058364,2830,0.24444996,1879,0.10968828,515,0.10423736,500,
80_0,0.398266,2231,3,1,0.33426732,1663,1_00005bd78e79f58c33dd,0.41575673,2163,0.3551758,1591,0.15245752,410,0.14267343,374,
81_0,0.2081547,2133,3,-1,0.15101556,1611,2_00003b2a19c19734d496,0.24100769,2569,0.146809,1576,0.07887222,618,0.063637085,522,
82_0,0.18207203,5534,3,-1,0.12474423,4937,2_00002440ad9db3b2ab02,0.25683737,6533,0.12597927,5645,0.1307438,1182,0.08995585,1227,
85_0,0.14417575,1950,3,9,0.08655523,1335,1_00001e0914e30443298a,0.123516984,1907,0.06322078,1149,0.02208993,328,0.014374007,258,
86_0,0.15097365,2208,3,14,0.09582265,1531,1_0000de122036827e8882,0.16044465,2211,0.08269663,1469,0.09957622,780,0.072303236,627,
87_0,0.12377313,1745,3,-1,0.06505321,1055,2_0000734736c2383dac3b,0.029399037,809,0.041596517,815,0.004144,173,0.0021892756,147,
88_0,0.123012185,1881,3,-1,0.077989854,1367,2_0000103a7b2b33484536,0.22178158,2370,0.056078095,1274,0.05201543,498,0.027572835,388,
89_0,0.110202715,1538,3,9,0.06573004,1011,1_0000f702b35bb4b6771e,0.12549782,1890,0.04490341,830,0.023303604,330,0.013227812,247,
90_0,0.27632305,2435,3,-1,0.21193708,1810,2_0000c621df13c07eafe2,0.26319557,2197,0.21075681,1745,0.09854164,620,0.09198043,554,
