system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.24873951,1199,12,11,0.21638757,1005,1_0000d5d88c220cf2eb8f,0.23710763,2490,0.2072994,828,0.091943726,848,0.069297366,428,
1_0,0.27568302,1256,12,11,0.23955256,1083,1_0000e7f6d0960a13a2f8,0.27244782,2395,0.23048908,960,0.11421964,882,0.0889061,515,
2_0,0.13432992,1133,12,-1,0.099800825,962,2_0000b87c258df7e350ab,0.1264346,2385,0.08809053,761,0.07437927,1087,0.05406625,576,
3_0,0.44090754,1852,12,9,0.43841457,1741,1_00004a03f759c29db38c,0.5273958,2984,0.48193023,1770,0.060966328,1280,0.037320275,752,
4_0,0.12506841,1167,12,-1,0.09740807,907,2_0000729af588085d2be8,0.1940326,1905,0.07978501,717,0.076515764,827,0.04578354,451,
5_0,0.2731243,1866,12,14,0.24628651,1662,1_00005b7d1d91c4c7b621,0.32278556,2775,0.25802648,1572,0.2657521,1481,0.22121604,921,
6_0,0.71971947,942,12,10,0.6788212,741,1_00008d96978dc9cd52e9,0.7824084,1784,0.71480465,619,0.52285105,1324,0.4728754,780,
7_0,0.26101708,2125,12,9,0.22679225,2003,1_000085b3d6a02fea06fe,0.29727405,3223,0.22880387,2061,0.1863343,1592,0.14350958,1010,
8_0,0.30156446,1103,12,0,0.26526573,914,1_0000987e7a6192222d61,0.3375068,2132,0.270764,718,0.28257507,1127,0.23176706,648,
9_0,0.184472,1253,12,11,0.15057132,1007,1_0000d6b7b515a2121c1a,0.20695542,1865,0.13868786,831,0.08864252,845,0.066459455,489,
11_0,0.42097342,1167,12,-1,0.40017426,977,2_000013036eab25291306,0.52470964,2377,0.42896318,846,0.44785517,1941,0.35434398,1109,
12_0,0.26056898,1309,12,-1,0.22298144,1115,2_00006d04e81b70766c84,0.26429808,2424,0.21275724,951,0.1183192,989,0.08902958,528,
13_0,0.20457043,1521,12,9,0.17793776,1298,1_000025abd45a5e4bcddb,0.3065101,2265,0.18445401,1184,0.065148145,902,0.03423844,513,
14_0,0.62162375,1035,12,10,0.57224995,844,1_0000a1a58ffe5d93a5a7,0.665481,2230,0.6035693,641,0.5238039,1514,0.45085904,879,
15_0,0.48813093,1076,12,11,0.45568657,896,1_0000ff44dc3314642f9a,0.55304766,2252,0.4768216,761,0.4837008,799,0.4459036,475,
16_0,0.27854776,1716,12,8,0.24488692,1455,1_00001cbce58ff06b4382,0.3006261,2384,0.23377365,1312,0.13637207,1146,0.11044113,742,
17_0,0.78072834,1133,12,0,0.7238569,935,1_00009cdc52a1c0ad04ca,0.8090387,1830,0.7565304,839,0.5922101,1185,0.5185882,732,
18_0,0.25900573,1209,12,-1,0.22919086,993,2_0000caaf5c18331706cf,0.3266847,1856,0.24313287,902,0.29722092,1754,0.24017395,1134,
19_0,0.17872384,1548,12,9,0.14053279,1322,1_000035e9c9f1c5ad4f6e,0.26027933,2528,0.12686744,1172,0.050782014,962,0.022300035,563,
20_0,0.26410377,1210,12,8,0.23050815,1018,1_0000f41c478af0c7dc55,0.30054635,2331,0.22341967,843,0.15659136,1111,0.12750104,615,
21_0,0.46544814,999,12,1,0.42815697,753,1_00002f585f8a6461e243,0.4644356,1613,0.43336785,577,0.1873943,863,0.18280083,486,
22_0,0.7930638,1128,12,9,0.8176231,952,1_000077ba716bca8d5e72,0.96721834,2812,0.86116797,732,0.6517125,1506,0.4980224,829,
23_0,0.2653372,1238,12,11,0.24437708,1110,1_000091906473e57d071b,0.35852224,3044,0.25485712,893,0.35518658,1779,0.28397894,992,
24_0,0.25735846,1095,12,-1,0.2213762,873,2_00006d04e81b70766c84,0.25987747,2136,0.20976901,689,0.11668926,806,0.08757251,459,
26_0,0.28712285,1815,12,8,0.25221318,1689,1_0000c4677ca9d436056d,0.32452762,3084,0.25738642,1718,0.19697449,1977,0.14963451,1147,
27_0,0.7769149,1096,12,9,0.77591956,919,1_000077ba716bca8d5e72,0.9055837,2656,0.8257465,691,0.61130226,1475,0.4663707,821,
28_0,0.42356756,1792,12,-1,0.41644365,1556,2_0000b52091d7614c7f07,0.43633232,2468,0.45267227,1511,0.04128684,1594,0.030349402,925,
29_0,0.20477915,1736,12,-1,0.17577949,1598,2_00009e5954ecba826644,0.23383978,2904,0.16965805,1550,0.1509138,1224,0.10354552,694,
30_0,0.7963505,1121,12,0,0.74005574,903,1_0000dd799d8a38bcedcb,0.8290992,1876,0.77563804,783,0.5178108,1018,0.46733367,613,
31_0,0.28201643,1314,12,12,0.25587782,1090,1_000041264cd9247912b0,0.3262164,2035,0.26326653,981,0.21199565,1020,0.14735088,641,
32_0,0.60682887,979,12,10,0.56065947,740,1_0000ca276e206abcdb53,0.64620996,1897,0.5804932,501,0.18771917,735,0.17781061,334,
33_0,0.35628915,2076,12,8,0.31965,1996,1_0000c4677ca9d436056d,0.41104424,3587,0.33170864,2115,0.27274275,2111,0.2209233,1207,
34_0,0.71355087,1089,12,10,0.6632743,852,1_000030745b59d503ae4e,0.75322044,1693,0.6971514,706,0.53074986,1146,0.4823289,729,
35_0,0.21578789,1767,12,14,0.20200291,1616,1_00004d60893dead95cf2,0.27630544,2820,0.20851669,1565,0.10906794,1322,0.07523668,758,
36_0,0.3352748,1087,12,-1,0.2994901,885,2_0000be41fd7f1d1530c3,0.3492281,1934,0.30060142,696,0.19435862,1053,0.16734104,579,
37_0,0.0927236,1659,12,-1,0.07015886,1481,2_00009d0ab7ad8bcaa49b,0.15338278,3282,0.072958514,1336,0.18542328,1891,0.12206015,1102,
38_0,0.1990335,1106,12,11,0.16872333,877,1_0000e8c6025eba6dc605,0.24252892,1694,0.16387218,733,0.127099,1000,0.10409701,590,
39_0,0.5834316,1326,12,11,0.53460395,1122,1_000035570c641bf9a58d,0.61221397,2504,0.55535936,956,0.21473809,1362,0.20341074,747,
40_0,0.20291917,2411,12,9,0.1782609,2237,1_00001e0914e30443298a,0.30665818,3584,0.17112169,2249,0.06580414,1588,0.03507415,1062,
41_0,0.08119151,1037,12,10,0.056472763,856,1_00001f5b24288db51906,0.12890786,2258,0.042998366,636,0.09007406,1226,0.052580528,666,
42_0,0.2965784,1571,12,11,0.2792916,1427,1_000060da34fe4c7b3c6a,0.3685004,2821,0.28314102,1395,0.23313215,1707,0.17756537,1020,
