system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
6_0,0.257406,1759,4,10,0.19765812,1291,1_00008d96978dc9cd52e9,0.32447067,2760,0.19877394,1249,0.16131999,845,0.13586116,622,
8_0,0.16582884,1658,4,0,0.10075675,1051,1_0000987e7a6192222d61,0.13255422,1206,0.08310877,902,0.060640633,691,0.04687987,583,
17_0,0.33714995,1734,4,0,0.26313055,1007,1_00009cdc52a1c0ad04ca,0.35228884,587,0.27090788,749,0.1871494,170,0.16703601,139,
30_0,0.34791005,1840,4,0,0.28105786,1301,1_0000dd799d8a38bcedcb,0.4404421,2297,0.29159027,1206,0.20899466,554,0.18177104,472,
34_0,0.2958969,1585,4,10,0.2344911,1068,1_000030745b59d503ae4e,0.35773358,1912,0.23973392,940,0.18457645,738,0.15642315,578,
44_0,0.18650885,1844,4,0,0.11879346,1227,1_0000987e7a6192222d61,0.16746147,1647,0.10122322,1093,0.061651308,760,0.050300624,646,
63_0,0.35103166,6877,4,1,0.3169518,6565,1_000035c535c37bc26a6d,0.46158284,9320,0.36234707,7796,0.12225415,1556,0.123393655,1661,
64_0,0.27808562,1683,4,-1,0.21122153,997,2_0000b82b9cc5beb0678d,0.26027435,755,0.21014424,768,0.13107082,215,0.113403186,161,
68_0,0.30060858,1699,4,0,0.24240409,1178,1_0000dd799d8a38bcedcb,0.4187197,2226,0.24643935,1063,0.19928484,524,0.17269835,429,
81_0,0.21128032,1964,4,-1,0.15461034,1454,2_00003b2a19c19734d496,0.23139335,2485,0.14821205,1416,0.08091414,587,0.068539195,495,
93_0,0.3253825,1910,4,-1,0.27202109,1508,2_00008fc8a8977b231e49,0.4983052,3463,0.2896278,1572,0.26370215,1396,0.21451963,1011,
95_0,0.25761703,1675,4,-1,0.19484664,1056,2_0000b82b9cc5beb0678d,0.27370462,1203,0.19764762,896,0.1383246,431,0.120082416,347,
102_0,0.26210433,1661,4,10,0.20933193,1201,1_00008d96978dc9cd52e9,0.35306597,2982,0.20889509,1121,0.16306664,660,0.13952807,509,
138_0,0.40218994,4016,4,-1,0.34143052,3771,2_00006321cc3664e73cd3,0.4612257,5854,0.37339026,4428,0.23678932,1439,0.20863602,1307,
153_0,0.1697938,2017,4,-1,0.10270036,1361,2_00003194610423cef3a5,0.12858926,1928,0.08326426,1228,0.040504828,648,0.032497153,515,
164_0,0.33071315,1605,4,0,0.26640058,1113,1_000023e62f98d1b2acbc,0.45452255,2346,0.275186,1016,0.23188128,629,0.1983071,494,
166_0,0.33151758,1487,4,0,0.26054353,873,1_00007c91e659ea5232d9,0.35682723,711,0.26483905,664,0.19378725,127,0.1742869,110,
181_0,0.27080053,1541,4,-1,0.21358338,1091,2_0000766beba0fa08a2e4,0.38275883,3157,0.21646693,968,0.19275805,773,0.16308442,559,
182_0,0.41732517,3112,4,0,0.35664362,2740,1_00009cdc52a1c0ad04ca,0.55969167,4537,0.39740542,3081,0.26181448,1272,0.22437865,1084,
184_0,0.26372167,1700,4,-1,0.19922765,1071,2_0000b82b9cc5beb0678d,0.2641526,1123,0.20037676,900,0.13128628,414,0.114552304,339,
196_0,0.31777027,1609,4,0,0.25212944,1072,1_0000916b18d1f022af50,0.3780498,1701,0.26017293,955,0.2269479,736,0.1923838,580,
197_0,0.2122373,1975,4,-1,0.15591459,1444,2_00003b2a19c19734d496,0.22586873,2384,0.14996794,1398,0.081378,571,0.0694188,475,
201_0,0.5000801,4172,4,-1,0.42940956,3831,2_00000604e0a6836a2374,0.5508566,5788,0.47436866,4322,0.20260318,869,0.1840019,841,
215_0,0.35086542,2001,4,0,0.2860294,1479,1_00009cdc52a1c0ad04ca,0.43262622,2053,0.30696836,1466,0.23977485,1007,0.20831865,864,
216_0,0.5139413,4487,4,-1,0.4441326,4189,2_00000604e0a6836a2374,0.5675187,6301,0.49052808,4782,0.19484664,936,0.1818473,914,
247_0,0.36089364,2261,4,-1,0.29503503,1645,2_00006321cc3664e73cd3,0.37798673,1994,0.3116254,1600,0.22343087,839,0.19549303,683,
274_0,0.2218305,2005,4,-1,0.16188827,1463,2_00003b2a19c19734d496,0.23006576,2377,0.15750906,1418,0.07449509,539,0.062840946,454,
279_0,0.17850117,2054,4,-1,0.111640975,1399,2_00003194610423cef3a5,0.14025092,1960,0.09508141,1273,0.05535401,711,0.043925583,571,
296_0,0.27491057,4168,4,1,0.20702034,3418,1_0000c26a93de6fee8f14,0.23582327,4267,0.20945519,3660,0.06891607,982,0.06539835,945,
299_0,0.26214164,1695,4,-1,0.19657032,1072,2_0000b82b9cc5beb0678d,0.25998706,1156,0.19764762,912,0.12819803,425,0.112397715,356,
315_0,0.2565982,1611,4,10,0.19962025,1121,1_00008d96978dc9cd52e9,0.31668705,2546,0.20014074,1020,0.16088316,708,0.13718317,510,
325_0,0.39967623,3463,4,-1,0.3390605,3072,2_00006321cc3664e73cd3,0.44994998,4625,0.36778834,3518,0.23822571,1351,0.20949785,1194,
334_0,0.40700185,3212,4,-1,0.3457397,2788,2_00006321cc3664e73cd3,0.4694131,4112,0.3793513,3115,0.23829754,1156,0.20770237,1013,
337_0,0.452968,7212,4,1,0.40908578,6861,1_000035c535c37bc26a6d,0.58596087,9457,0.47314137,8107,0.14273554,1530,0.14724651,1665,
339_0,0.34888518,1934,4,0,0.2810397,1413,1_0000dd799d8a38bcedcb,0.46581686,2634,0.29388744,1341,0.20690966,572,0.18150783,490,
346_0,0.49138993,4069,4,-1,0.41439927,3612,2_00000604e0a6836a2374,0.5207642,5091,0.45117092,4021,0.2012386,731,0.18393007,731,
354_0,0.43946433,5046,4,-1,0.38021314,4307,2_00001ca5a9b14eca0c80,0.49950555,5124,0.42754227,4668,0.10435391,659,0.10413846,744,
356_0,0.26070526,1773,4,-1,0.19879673,1171,2_0000b82b9cc5beb0678d,0.28986403,1550,0.20332137,1041,0.1376064,581,0.11986695,471,
369_0,0.32696182,1834,4,0,0.2653085,1336,1_000047504660fc8a1cd5,0.44375062,2425,0.27436304,1282,0.20925787,695,0.18244705,548,
375_0,0.24974494,1583,4,10,0.19193843,1116,1_00008d96978dc9cd52e9,0.331793,2907,0.1912713,1008,0.16137367,706,0.13531955,521,
380_0,0.34897158,1762,4,-1,0.28002474,1064,2_00006321cc3664e73cd3,0.34954613,765,0.293455,843,0.21395068,306,0.18888563,247,
381_0,0.31622615,1819,4,-1,0.24630792,1165,2_00001fd80b5bcabf37e1,0.3075692,924,0.25266144,977,0.1750884,484,0.1551875,401,
386_0,0.4097908,5019,4,0,0.34433,4305,1_0000812bab9171310d6f,0.46607777,5524,0.37519455,4759,0.09228261,988,0.08932833,1014,
404_0,0.37573192,2687,4,-1,0.31683367,2229,2_00006bb740503d5db0ba,0.5405574,3612,0.34255868,2380,0.25551832,863,0.22108269,793,
443_0,0.39637256,4458,4,-1,0.32498384,3598,2_00001ca5a9b14eca0c80,0.37892038,4032,0.34121507,3778,0.0904209,673,0.08905633,706,
445_0,0.22661063,1980,4,-1,0.16620488,1417,2_00003b2a19c19734d496,0.23123859,2171,0.16245097,1343,0.07534176,467,0.06440248,393,
482_0,0.29683053,1479,4,10,0.23118739,870,1_0000f6174b5b11dc6ec6,0.30559254,634,0.23190558,660,0.18127275,215,0.15857774,180,
488_0,0.48937896,4053,4,-1,0.42330492,3682,2_00000604e0a6836a2374,0.5410173,5667,0.46618122,4152,0.20245953,849,0.18464826,816,
502_0,0.39278886,2435,4,0,0.33281106,1920,1_00009cdc52a1c0ad04ca,0.5316361,2856,0.36532646,1996,0.25716388,983,0.22024527,818,
543_0,0.41073647,3270,4,-1,0.3336022,2681,2_00000604e0a6836a2374,0.41088012,3667,0.35486078,2845,0.17207983,706,0.15455584,646,
553_0,0.33423972,1501,4,0,0.26237124,885,1_00007c91e659ea5232d9,0.35477775,716,0.26514113,672,0.19608438,156,0.17528906,128,
555_0,0.42197314,7188,4,1,0.37765408,7005,1_000035c535c37bc26a6d,0.54620576,9760,0.43779624,8278,0.13848704,1600,0.1397913,1738,
561_0,0.2997204,1545,4,-1,0.23578475,1024,2_00002a99fc7994b41389,0.40556103,1870,0.23974228,875,0.1802965,307,0.15969552,252,
567_0,0.19599366,2263,4,-1,0.125324,1560,2_00003194610423cef3a5,0.14833634,2050,0.10752052,1442,0.058230557,734,0.04244844,582,
575_0,0.2833784,3128,4,-1,0.20213547,2393,2_0000dc768c2a96968054,0.24131866,2837,0.20135804,2447,0.07385718,898,0.06343943,835,
576_0,0.4196112,3329,4,0,0.36100614,3037,1_00009cdc52a1c0ad04ca,0.5975987,5123,0.4068327,3502,0.26608628,1459,0.22955379,1296,
