system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.12180217,1379,1,0.07702196,921,1_0000a95156509e006ca1,0.17158723,1733,0.053314786,718,9,0.02834323,362,0.016226232,217,73,17.453926,
1_0,0.3733632,2252,1,0.3146855,1732,2_00007903cf5a6e2d9c91,0.38445538,1803,0.33481783,1730,-1,0.28307274,951,0.25212553,816,67,17.680191,
2_0,0.115901716,1234,1,0.06954103,766,1_000031b9ed18748f3a44,0.14819616,1397,0.046676777,539,8,0.025551053,286,0.015014532,155,74,17.42122,
3_0,0.20023537,2124,1,0.13718349,1551,1_0000c3e45707791fb66a,0.18013695,2081,0.1301881,1452,7,0.04234639,671,0.03689979,511,69,17.629845,
5_0,0.15062241,1806,1,0.09045643,1190,1_0000a67e66a17e631b59,0.09979253,1295,0.07510373,1043,11,0.06666666,643,0.05809128,468,66,17.42122,
6_0,0.23931403,1478,1,0.19145122,926,2_00000daf0d1fc2e07d35,0.24508198,844,0.19167307,701,-1,0.14392118,297,0.10870347,184,69,17.328142,
7_0,0.22949514,1447,1,0.18386684,1007,1_0000ce6d46e12c94e8e1,0.2785953,2085,0.17608699,820,9,0.13117655,357,0.112410784,218,63,17.487465,
8_0,0.3077916,1751,1,0.24060962,1173,1_0000c325ef84992a6b13,0.31282395,1017,0.24274836,974,1,0.1013391,255,0.10517628,207,69,18.041588,
9_0,0.41466117,5967,1,0.3567082,5306,2_0000799c4b5590ee28a3,0.57821584,6548,0.4132089,5865,-1,0.13679115,932,0.1186722,818,7,17.298813,
10_0,0.24547657,3614,1,0.19813956,3132,2_000024dcdfbb6816fad6,0.32573324,3931,0.21554422,3403,-1,0.11025454,988,0.08720175,793,25,18.0642,
11_0,0.6486973,1852,1,0.597581,1349,2_00004ad2195a91311afb,0.7140616,1805,0.6413531,1225,-1,0.5584114,474,0.5003915,334,69,17.19008,
12_0,0.11548026,1280,1,0.06859274,820,1_000031b9ed18748f3a44,0.13739622,1503,0.046992872,616,8,0.032505155,368,0.018544266,219,68,17.487465,
13_0,0.13894674,921,1,0.10136406,542,2_00003f66da74e45f1d4b,0.17199957,1183,0.09042111,406,-1,0.06843954,829,0.048949376,498,65,17.215967,
14_0,0.19673225,1400,1,0.14493734,938,1_000012e70a9134fec4f4,0.17453304,1192,0.13083975,760,11,0.064667866,278,0.05083137,183,71,17.117666,
15_0,0.31186613,1786,1,0.25601712,1229,2_0000e9727866c3800a2c,0.32271037,1299,0.26888496,1165,-1,0.14366381,741,0.13758543,667,65,17.7059,
16_0,0.1179718,1555,1,0.070281066,1024,1_0000464e619212e6a9b0,0.08026544,1161,0.048471622,807,11,0.018239602,247,0.011211494,153,75,17.593025,
17_0,0.1747968,1909,1,0.104865216,1230,2_000039ff0ca6ab1ab448,0.076815374,888,0.08073978,1001,-1,0.020715695,254,0.016019277,183,63,17.785145,
18_0,0.33601907,3246,1,0.26795316,2648,2_0000ced12abae0ea8537,0.35081598,3308,0.28796118,2832,-1,0.08537186,1100,0.079517424,916,20,18.743303,
19_0,0.23694076,1388,1,0.18793347,945,1_000095e611450759dee0,0.27707723,2097,0.18182357,749,6,0.13709716,382,0.11902637,221,71,17.648558,
20_0,0.2434736,2034,1,0.20082413,1532,2_00009bec97e724b75bc4,0.34119582,2031,0.21285915,1515,-1,0.12223595,1395,0.09860958,1087,44,19.705618,
21_0,0.11695537,1312,1,0.070752725,844,1_00007b8485919da4da28,0.12485776,1331,0.04694019,632,7,0.02549837,374,0.015541358,228,74,17.42122,
22_0,0.41051152,2763,1,0.34274116,2232,2_0000be9768c753b01335,0.39913788,3018,0.365842,2385,-1,0.049148224,1404,0.051564384,995,27,18.968695,
23_0,0.24961367,1764,1,0.19575536,1240,1_0000dbcad0412cda33c1,0.307564,1677,0.19064033,1070,1,0.06475031,373,0.05602466,267,62,17.52183,
24_0,0.20351818,1799,1,0.16067225,1361,2_00005a84f49ff83b35c5,0.3268206,2820,0.15621915,1245,-1,0.09399627,749,0.07678568,503,72,17.82595,
25_0,0.11914315,1589,1,0.07117353,1067,1_0000464e619212e6a9b0,0.09705481,1243,0.049531415,861,11,0.020638084,247,0.012773296,158,64,17.593025,
26_0,0.5570934,2585,1,0.51558626,2287,2_0000241e7399198b12e1,0.59826076,3189,0.5570516,2530,-1,0.21632516,1668,0.19616318,1277,4,17.487465,
27_0,0.18824254,1676,1,0.14308779,1261,2_000049dc2d4f45354d14,0.26485103,2460,0.13546427,1202,-1,0.08231279,895,0.059069023,581,67,17.328142,
28_0,0.16760908,1161,1,0.12415882,735,1_0000054850534ee32f70,0.24185884,1602,0.10691751,527,13,0.09047687,595,0.06763079,323,71,17.117666,
29_0,0.1276215,1555,1,0.08277548,1038,1_0000464e619212e6a9b0,0.14943095,1455,0.06152382,825,11,0.03140336,355,0.020024518,216,71,17.453926,
30_0,0.38509512,1715,1,0.36153346,1272,1_0000597f9e3af4e1a8ca,0.5446254,1726,0.4095729,1251,1,0.09200831,1141,0.08036539,830,67,17.38935,
31_0,0.28999814,4451,1,0.24526972,3950,2_000036bf0e2b194e30d5,0.4557114,5310,0.28728732,4386,-1,0.17814761,1420,0.12758504,1129,18,18.85468,
32_0,0.37606096,2689,1,0.34268516,2311,2_000047c5c68f54a49850,0.5292507,3512,0.39737463,2610,-1,0.16079456,2095,0.12658513,1389,14,18.634615,
33_0,0.43411624,542,1,0.41550183,141,2_0000cfe4760e9b4051d3,0.5941071,752,0.4514455,-45,-1,0.4676919,758,0.42956337,297,65,17.42122,
34_0,0.3115662,3297,1,0.24987394,2780,2_000006d7a09516129d77,0.3253356,3687,0.26526326,3041,-1,0.11832225,994,0.10448537,750,16,18.425495,
35_0,0.5994168,5337,1,0.5774631,4878,2_0000134e6a17d8c9c059,0.95784646,5985,0.71396583,5401,-1,0.19078927,758,0.16348873,722,8,18.37497,
36_0,0.32364354,1779,1,0.2558954,1205,1_0000c325ef84992a6b13,0.3316953,1108,0.26388428,1021,1,0.10435852,280,0.10869893,225,70,18.041588,
37_0,0.21514252,1891,1,0.17119779,1481,2_00002fc6f55f9a963d6c,0.30761307,2679,0.17379941,1505,-1,0.10734502,1160,0.0854575,842,69,17.557018,
38_0,0.47671142,1904,1,0.43512446,1668,2_0000847ade390dcbb903,0.5674694,3406,0.46137273,1785,-1,0.4427705,1764,0.3918591,1196,71,18.37497,
39_0,0.32127804,1716,1,0.263453,1141,1_00006af112204c5cdb10,0.33226526,1062,0.27608162,998,0,0.13492376,716,0.11586441,618,57,17.9099,
40_0,0.20564924,1737,1,0.14946727,1221,2_00009bec97e724b75bc4,0.23243688,1569,0.14353296,1117,-1,0.08019654,976,0.064778395,761,73,17.593025,
41_0,0.42401624,3571,1,0.37427095,3149,2_00007f4ea95bfa189bb4,0.57385963,4551,0.43380332,3617,-1,0.16226281,1280,0.14370114,970,39,18.968695,
42_0,0.24124122,1353,1,0.19578457,926,1_000095e611450759dee0,0.29813087,2188,0.18960363,734,6,0.14548238,386,0.12629342,215,74,17.453926,
43_0,0.17075841,1158,1,0.12426558,735,1_0000054850534ee32f70,0.2444744,1658,0.109212786,531,13,0.09373297,640,0.069072016,347,71,17.073797,
44_0,0.28487733,3020,1,0.22734822,2638,2_00003f68b6bab67d3890,0.27964193,4196,0.23198184,2974,-1,0.10573076,1246,0.09207061,922,14,17.745127,
45_0,0.569359,4673,1,0.545401,4397,2_0000da20326bac9f6c46,0.8090579,7296,0.6162669,4880,-1,0.1101832,772,0.11510527,707,62,18.041588,
46_0,0.37754512,1984,1,0.31928015,1546,1_0000bb51d60de828513b,0.40247107,2330,0.32831055,1504,1,0.23651342,799,0.20136881,577,67,17.298813,
48_0,0.25636506,1434,1,0.21369289,1007,2_000086ba4075cc09926a,0.3510511,1899,0.21683718,847,-1,0.17006911,398,0.13306306,259,75,17.117666,
50_0,0.17803335,1755,1,0.1265677,1256,2_00001bbb3417893420a9,0.16603169,1424,0.11267933,1139,-1,0.065511234,596,0.054977026,474,67,17.215967,
51_0,0.6969544,2756,1,0.65886414,2605,2_0000d103785f09611a75,0.86045796,4637,0.71784115,3145,-1,0.63112396,2944,0.5860403,2072,50,18.85468,
52_0,0.13366023,1558,1,0.08674036,1168,1_000021973d4b066ae123,0.19018826,2160,0.07131392,1091,13,0.07099365,896,0.05289827,621,63,17.725414,
53_0,0.3435981,2280,1,0.31109115,1918,2_0000c3f3b8f7a5b60170,0.4376353,3050,0.345402,2133,-1,0.13760927,1872,0.1156839,1269,53,19.085306,
54_0,0.25023985,2007,1,0.19965945,1545,2_00009bec97e724b75bc4,0.3066991,2130,0.20986427,1584,-1,0.11158744,1558,0.08890391,1242,51,17.867538,
55_0,0.5197801,3502,1,0.48733547,3101,2_0000c323b128a149f0d1,0.68666214,4146,0.55499786,3361,-1,0.103490144,962,0.099552415,721,27,18.227695,
56_0,0.37717846,3709,1,0.33001387,3286,2_0000db280b6c1c3a09e9,0.48852012,5022,0.37392813,3781,-1,0.14419088,1832,0.12828493,1420,56,18.85468,
57_0,0.44033328,2358,1,0.4461877,2155,2_000035a32c73dd55aece,0.6087296,3984,0.5150916,2598,-1,0.10971527,3562,0.08173402,2394,58,18.156515,
58_0,0.44552144,1584,1,0.40245897,1206,1_000027e8ff449b1784fd,0.5751745,2438,0.43979,1095,1,0.15276937,529,0.14402676,332,72,17.129187,
59_0,0.2154836,949,1,0.17966443,572,1_0000271e2999ef726d68,0.3138442,1405,0.17765261,396,6,0.049363736,597,0.040105224,311,71,17.033482,
60_0,0.20063302,1465,1,0.17021823,1136,2_000020324a08238601dd,0.25700915,1958,0.17880897,1196,-1,0.112769425,1629,0.087065175,1099,60,17.745127,
61_0,0.20953234,1162,1,0.17846006,807,2_000009a4681194bd1ef5,0.29056084,1471,0.18519749,746,-1,0.08246826,1121,0.06611176,756,64,17.24272,
62_0,0.1582296,2367,1,0.10006916,1692,2_0000d9ecc5bcc8958632,0.12040111,1803,0.08900415,1623,-1,0.110373445,1095,0.08686031,853,63,18.026619,
63_0,0.13581407,1484,1,0.08583623,1023,1_0000f4fabf75b5f5cbc9,0.13620448,1707,0.06814408,886,3,0.049580336,748,0.035016246,520,63,17.66747,
64_0,0.28202024,2177,1,0.23334529,1748,2_0000bf3b0fe9004798cc,0.2644862,2296,0.23608556,1824,-1,0.09338753,1353,0.0822337,1033,39,18.37497,
65_0,0.5402461,4934,1,0.4880709,4427,2_00007a28a313ce558a2a,0.7254579,5744,0.5676499,4914,-1,0.1785971,1237,0.16361275,1041,10,17.629845,
66_0,0.49453217,1910,1,0.47529197,1461,2_0000b9dd96fa4f3a7ece,0.609066,2009,0.5199656,1464,-1,0.37891918,1006,0.33991194,703,46,18.425495,
67_0,0.25739053,1459,1,0.2089778,1016,2_000066dd080028fecae3,0.29494432,1821,0.2118622,852,-1,0.11718593,421,0.10581799,275,73,17.215967,
68_0,0.2390255,2515,1,0.19445042,2140,1_00008bec58267a224425,0.32596967,3627,0.20039065,2220,9,0.062189262,354,0.05914081,388,69,17.66747,
69_0,0.43670934,2426,1,0.39200994,1931,2_0000e6221d7741aa8bb6,0.48984963,2271,0.42260215,1966,-1,0.3768597,1210,0.32990423,977,63,17.487465,
70_0,0.38140142,587,1,0.3484012,105,2_0000cfe4760e9b4051d3,0.45542988,-276,0.37200704,-134,-1,0.40964952,62,0.37129754,-109,68,17.42122,
71_0,0.5652803,1835,1,0.5074178,1392,2_0000a6dfab4556504cc4,0.6077164,1754,0.5384842,1386,-1,0.4092544,1276,0.40060705,997,60,17.328142,
72_0,0.24580885,1551,1,0.20166469,1099,2_0000281519578fd26358,0.35043108,1870,0.20764309,963,-1,0.11540472,672,0.0949073,432,66,17.270336,
73_0,0.29963854,1531,1,0.25314876,1101,2_000066dd080028fecae3,0.3500873,1996,0.26304623,949,-1,0.15553151,473,0.14048737,325,69,17.215967,
74_0,0.22623345,1376,1,0.1778469,931,1_0000ce6d46e12c94e8e1,0.25600561,1822,0.17131376,733,9,0.12841119,372,0.11035385,237,70,17.504543,
75_0,0.23452729,1777,1,0.20183575,1471,2_000090c559e6f4fde11f,0.2917713,2520,0.20336565,1584,-1,0.089446865,1801,0.07087089,1202,57,17.629845,
76_0,0.312132,3325,1,0.26350686,2806,2_00003475b7bc63fb8308,0.4019596,3683,0.29558814,3045,-1,0.15638052,1013,0.13065259,827,23,19.903254,
77_0,0.20664753,1866,1,0.15523522,1396,1_00008d4f4dcd9e5e7735,0.23520993,1954,0.1512975,1325,9,0.07786718,1064,0.06361371,799,58,17.487465,
78_0,0.17636319,1167,1,0.13157846,738,1_0000054850534ee32f70,0.24575548,1600,0.116632424,537,13,0.10019179,639,0.07601124,356,70,17.073797,
79_0,0.41305408,2106,1,0.377309,1724,2_0000e7608fd7b8065001,0.5860626,3051,0.42190006,1712,-1,0.4163638,486,0.35377985,385,69,17.593025,
80_0,0.12992594,1530,1,0.07088842,884,2_000026e44448d8a224dc,0.039891213,439,0.049164,652,-1,0.024302544,267,0.018933157,228,65,17.785145,
81_0,0.5146421,3239,1,0.45188087,2740,2_00009aa3842f5b244231,0.5619635,3720,0.50279707,2989,-1,0.056573495,1549,0.061287954,1099,17,18.041588,
82_0,0.63095415,2943,1,0.59506303,2648,2_0000f6874e28f114cf7a,0.77843726,3874,0.6716065,2989,-1,0.19338468,1672,0.18984005,1304,16,17.7059,
83_0,0.27805072,1838,1,0.24199796,1422,2_00003a72e4d92797a7e8,0.2958047,2015,0.25335065,1445,-1,0.07526384,1707,0.05441514,1136,61,18.0642,
84_0,0.35533154,4977,1,0.31730437,4713,2_000052c17123040d7e58,0.6296511,7964,0.34016588,5303,-1,0.1019966,1176,0.091349505,1086,22,18.68862,
86_0,0.2263854,1907,1,0.1772209,1413,1_0000ea223aca181e2a09,0.25147915,2179,0.17439258,1303,7,0.05307599,433,0.047840606,321,68,17.52183,
87_0,0.25532374,1989,1,0.20625234,1560,1_0000240371d6bac1174e,0.30114925,2411,0.20785607,1495,2,0.075019106,364,0.06955546,296,71,17.215967,
88_0,0.2348853,2012,1,0.17978099,1456,1_00003335f602399feae9,0.3191773,1708,0.17908904,1339,14,0.10769246,674,0.09523737,519,61,17.996931,
