system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.1232409,1783,10,0.10106607,1455,1_0000a95156509e006ca1,0.24272382,2480,0.0883262,1325,9,0.08909912,586,0.04570894,351,73,17.453926,
1_0,0.10593273,1588,10,0.07882998,1380,2_00007903cf5a6e2d9c91,0.14236853,1905,0.08115006,1458,-1,0.20888628,1747,0.14165668,1231,67,17.680191,
2_0,0.12284111,1566,10,0.10419357,1234,1_000031b9ed18748f3a44,0.23598075,2204,0.091393106,1074,8,0.08293179,548,0.041845564,326,74,17.42122,
3_0,0.13000816,1345,10,0.10489763,989,1_0000c3e45707791fb66a,0.23210046,1609,0.10228482,839,7,0.17554598,573,0.1136987,358,69,17.629845,
5_0,0.32441235,1596,10,0.28250217,1242,1_0000a67e66a17e631b59,0.37326914,1836,0.29225215,1127,11,0.1552298,799,0.13150363,538,66,17.42122,
6_0,0.17622061,1412,10,0.14574319,1094,2_00000daf0d1fc2e07d35,0.23063703,1579,0.14442496,1015,-1,0.18660824,872,0.11927319,584,69,17.328142,
7_0,0.1122068,1680,10,0.092555255,1387,1_0000ce6d46e12c94e8e1,0.2393749,2566,0.08002032,1239,9,0.083667204,587,0.042757545,334,63,17.487465,
8_0,0.57588375,1198,10,0.5246279,872,1_0000c325ef84992a6b13,0.5960092,1619,0.5445896,700,1,0.2000533,420,0.22165337,228,69,18.041588,
9_0,0.74656975,6541,10,0.69928825,6164,2_0000799c4b5590ee28a3,0.72205764,6306,0.7402222,6557,-1,0.12522367,548,0.14155094,480,7,17.298813,
10_0,0.55771124,2172,10,0.51077056,1964,2_000024dcdfbb6816fad6,0.60003734,2707,0.5366269,2126,-1,0.32423735,1539,0.29972905,1006,25,18.0642,
12_0,0.1166844,1475,10,0.09365669,1146,1_000031b9ed18748f3a44,0.23144983,2039,0.08584752,980,8,0.12342137,600,0.06630746,352,68,17.487465,
13_0,0.097689986,1208,10,0.074856915,966,2_00003f66da74e45f1d4b,0.17171387,1880,0.06898398,895,-1,0.12378137,1312,0.074884824,804,65,17.215967,
14_0,0.09780467,1036,10,0.07759136,764,1_000012e70a9134fec4f4,0.19011298,1464,0.06729208,605,11,0.10211959,648,0.058020152,349,71,17.117666,
15_0,0.15562393,1635,10,0.12714794,1390,2_0000e9727866c3800a2c,0.22141394,1889,0.13218564,1413,-1,0.11704491,1279,0.08746122,908,65,17.7059,
16_0,0.26756784,1159,10,0.25627074,856,1_0000464e619212e6a9b0,0.42020336,1961,0.26060727,671,11,0.13675322,524,0.09974063,257,75,17.593025,
17_0,0.16145262,1522,10,0.13199696,1165,2_000039ff0ca6ab1ab448,0.1924742,1600,0.12513928,1080,-1,0.07133073,767,0.046761855,511,63,17.785145,
18_0,0.38816124,3590,10,0.37979165,3349,2_0000ced12abae0ea8537,0.4284974,4032,0.41421506,3640,-1,0.05129765,1286,0.038284246,959,20,18.743303,
19_0,0.117104545,1694,10,0.10408131,1417,1_000095e611450759dee0,0.25637704,2782,0.09717257,1293,6,0.109312244,635,0.059722677,347,71,17.648558,
