system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.123765886,1548,3,0.07485689,999,1_0000a95156509e006ca1,0.14859374,1646,0.05170912,793,9,0.030739231,273,0.016178537,196,73,17.453926,
1_0,0.23537436,2598,3,0.16995387,1934,2_00007903cf5a6e2d9c91,0.17782472,2143,0.15940192,1909,-1,0.075230226,931,0.06946864,826,67,17.680191,
2_0,0.119099,1408,3,0.07012778,849,1_000031b9ed18748f3a44,0.12861945,1407,0.04859786,617,8,0.026632369,187,0.014062881,127,74,17.42122,
3_0,0.33014008,2573,3,0.26255494,1873,1_0000c3e45707791fb66a,0.35781738,2288,0.28003016,1827,7,0.24416658,558,0.19504812,500,69,17.629845,
4_0,0.18586634,2254,3,0.12081974,1582,2_0000f38f18f0143a22be,0.114659525,1562,0.102007896,1418,-1,0.029078864,443,0.023183603,331,68,17.487465,
6_0,0.13903467,1632,3,0.07796399,945,2_00000daf0d1fc2e07d35,0.043909207,598,0.05067994,686,-1,0.0065696104,135,0.004491464,101,69,17.328142,
7_0,0.11506602,1653,3,0.06903288,1129,1_0000ce6d46e12c94e8e1,0.1267398,2207,0.04834026,951,9,0.023696076,304,0.013689695,233,63,17.487465,
8_0,0.19195391,1766,3,0.11087195,1084,1_0000c325ef84992a6b13,0.057156123,786,0.07599966,867,1,0.008366204,185,0.0075061256,159,69,18.041588,
9_0,0.37318227,7173,3,0.3053852,6204,2_0000799c4b5590ee28a3,0.5060474,7535,0.35015684,6948,-1,0.10907222,741,0.0828062,858,7,17.298813,
10_0,0.25819817,4808,3,0.20064467,4173,2_000024dcdfbb6816fad6,0.30945948,5314,0.21665621,4647,-1,0.11384553,897,0.08774557,904,25,18.0642,
11_0,0.22372201,2663,3,0.1640463,2043,2_00004ad2195a91311afb,0.18775563,2367,0.15513209,2011,-1,0.02599978,369,0.023771226,341,69,17.19008,
12_0,0.11847675,1446,3,0.07000332,909,1_000031b9ed18748f3a44,0.11455656,1536,0.048411183,705,8,0.03192151,327,0.016489662,227,68,17.487465,
13_0,0.19754422,1118,3,0.14816293,676,2_00003f66da74e45f1d4b,0.20050913,1330,0.14023426,524,-1,0.08981857,734,0.07264789,475,65,17.215967,
