system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.23200539,1588,11,0.20864877,1298,1_0000a95156509e006ca1,0.33078617,2336,0.20526782,1148,9,0.12444326,625,0.08543302,345,73,17.453926,
1_0,0.3342729,1171,11,0.29143912,996,2_00007903cf5a6e2d9c91,0.3696112,1953,0.30314553,930,-1,0.35939395,2002,0.2847548,1292,67,17.680191,
2_0,0.18376836,1462,11,0.1561108,1175,1_000031b9ed18748f3a44,0.22823635,2272,0.14283048,1005,8,0.08170158,642,0.052169673,358,74,17.42122,
3_0,0.21573102,1200,11,0.18246338,884,1_0000c3e45707791fb66a,0.23396719,1594,0.17613031,718,7,0.13538508,593,0.10672098,338,69,17.629845,
4_0,1.0175246,1473,11,0.9584868,1287,2_0000f38f18f0143a22be,1.124469,2492,1.0316594,1215,-1,0.7115327,1040,0.5591047,598,68,17.487465,
5_0,0.20646071,1377,11,0.17160921,1093,1_0000a67e66a17e631b59,0.22478688,1824,0.1668423,958,11,0.12632345,862,0.082785554,529,66,17.42122,
6_0,0.2388229,1141,11,0.21867694,873,2_00000daf0d1fc2e07d35,0.31134903,1637,0.22628218,744,-1,0.3039099,1050,0.24520606,637,69,17.328142,
7_0,0.20528626,1513,11,0.1695375,1259,1_0000ce6d46e12c94e8e1,0.23783767,2553,0.15877903,1090,9,0.10392548,668,0.07815884,353,63,17.487465,
8_0,0.21409632,1017,11,0.165041,729,1_0000c325ef84992a6b13,0.17468543,1546,0.14549966,544,1,0.019516088,480,0.012421622,233,69,18.041588,
9_0,0.2857533,4362,11,0.2681206,4052,2_0000799c4b5590ee28a3,0.36415666,4438,0.29583716,4275,-1,0.1097358,877,0.07143612,595,7,17.298813,
10_0,0.116527684,1068,11,0.09438281,838,2_000024dcdfbb6816fad6,0.22169156,1729,0.09734517,842,-1,0.21736942,2028,0.13034394,1254,25,18.0642,
