system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.09412761,1271,12,0.07743844,1025,1_0000a95156509e006ca1,0.23155627,2168,0.06824545,841,9,0.15768425,677,0.08580499,333,73,17.453926,
1_0,0.09059813,974,12,0.07973647,823,2_00007903cf5a6e2d9c91,0.24023929,2414,0.056513563,622,-1,0.18654436,2066,0.100951836,1233,67,17.680191,
2_0,0.09288508,1248,12,0.076732166,1014,1_000031b9ed18748f3a44,0.22114713,2334,0.06775312,819,8,0.14082803,758,0.07741205,386,74,17.42122,
3_0,0.40614128,1034,12,0.37442273,762,1_0000c3e45707791fb66a,0.45080516,1710,0.38250735,559,7,0.15370725,653,0.14708579,326,69,17.629845,
4_0,0.086320326,1235,12,0.0651753,1086,2_0000f38f18f0143a22be,0.14598887,2566,0.05575897,905,-1,0.13909945,1169,0.08653487,613,68,17.487465,
5_0,0.28065586,1123,12,0.25305402,908,1_0000a67e66a17e631b59,0.3558231,1832,0.26607373,742,11,0.33390036,956,0.29580835,533,66,17.42122,
6_0,0.08784952,921,12,0.07782296,711,2_00000daf0d1fc2e07d35,0.23995803,2031,0.049547125,514,-1,0.13027498,1252,0.06163522,676,69,17.328142,
7_0,0.09062503,1250,12,0.073819146,1041,1_0000ce6d46e12c94e8e1,0.22844824,2549,0.06097708,833,9,0.13053685,767,0.06861466,371,63,17.487465,
8_0,0.14451858,861,12,0.14180812,606,1_0000c325ef84992a6b13,0.24689291,1455,0.13391656,402,1,0.20695542,529,0.13741858,235,69,18.041588,
9_0,0.27770472,2219,12,0.22708894,1973,2_0000799c4b5590ee28a3,0.3264605,2876,0.2388191,2029,-1,0.27904388,1324,0.22815533,784,7,17.298813,
11_0,0.18488508,998,12,0.17249028,806,2_00004ad2195a91311afb,0.2664645,1644,0.16669348,724,-1,0.07736142,1097,0.046185922,672,69,17.19008,
12_0,0.101934455,1195,12,0.08521889,951,1_000031b9ed18748f3a44,0.23453365,2156,0.08535773,747,8,0.1894743,737,0.10774857,370,68,17.487465,
13_0,0.30348825,502,12,0.2870499,378,2_00003f66da74e45f1d4b,0.44380122,2006,0.28942648,146,-1,0.33756796,1345,0.25573915,655,65,17.215967,
14_0,0.096304506,892,12,0.07919608,678,1_000012e70a9134fec4f4,0.18614201,1669,0.07057536,482,11,0.13501535,808,0.078721486,400,71,17.117666,
15_0,0.11556356,894,12,0.094623595,724,2_0000e9727866c3800a2c,0.23603876,1945,0.07379167,548,-1,0.17344773,1503,0.093066745,862,65,17.7059,
16_0,0.09289876,1026,12,0.07729964,807,1_0000464e619212e6a9b0,0.22064357,2108,0.06844414,604,11,0.15870306,683,0.087907046,314,75,17.593025,
17_0,0.3713181,1131,12,0.35301775,918,2_000039ff0ca6ab1ab448,0.45771372,2340,0.37017858,739,-1,0.41588068,1158,0.32122925,618,63,17.785145,
18_0,0.24264526,1440,12,0.22535071,1352,2_0000ced12abae0ea8537,0.31946597,3125,0.22465092,1206,-1,0.2635017,1897,0.19704372,1098,20,18.743303,
19_0,0.09591151,1239,12,0.0829185,1034,1_000095e611450759dee0,0.24444583,2715,0.07818052,843,6,0.15916531,825,0.089491695,396,71,17.648558,
20_0,0.10867571,855,12,0.10024216,734,2_00009bec97e724b75bc4,0.34094983,3038,0.06819465,505,-1,0.16377494,1982,0.0799782,1070,44,19.705618,
21_0,0.09442739,1237,12,0.07804495,981,1_00007b8485919da4da28,0.21349156,1997,0.07158142,788,7,0.14920656,678,0.08261125,354,74,17.42122,
22_0,0.09714422,855,12,0.06809262,693,2_0000be9768c753b01335,0.094227485,2011,0.05239316,629,-1,0.09292121,2180,0.06261391,1316,27,18.968695,
23_0,0.11381082,1091,12,0.097816676,881,1_0000dbcad0412cda33c1,0.22704965,1961,0.09349159,692,1,0.18525302,889,0.108972535,453,62,17.52183,
24_0,0.09192462,895,12,0.07346423,700,2_00005a84f49ff83b35c5,0.19908658,2028,0.05593314,518,-1,0.10248938,834,0.051927175,406,72,17.82595,
25_0,0.09832246,1031,12,0.08409126,814,1_0000464e619212e6a9b0,0.22280344,2094,0.08317931,610,11,0.19834882,681,0.117377385,315,64,17.593025,
26_0,0.19020769,971,12,0.17826037,851,2_0000241e7399198b12e1,0.2717441,2089,0.17514953,773,-1,0.22535683,2470,0.16311564,1894,4,17.487465,
28_0,0.095069475,1138,12,0.07720066,904,1_0000054850534ee32f70,0.21890451,2400,0.058523826,644,13,0.13173056,1130,0.06854329,552,71,17.117666,
29_0,0.09373872,1062,12,0.079219535,825,1_0000464e619212e6a9b0,0.23386683,1893,0.07355586,645,11,0.16926247,660,0.094626665,330,71,17.453926,
30_0,0.11048845,1126,12,0.095686525,949,1_0000597f9e3af4e1a8ca,0.22156645,2327,0.100500144,797,1,0.24972486,1471,0.15597305,801,67,17.38935,
31_0,0.116095,829,12,0.099550866,612,2_000036bf0e2b194e30d5,0.22626823,1559,0.11168482,623,-1,0.24406172,2038,0.14696626,1305,18,18.85468,
32_0,0.14383635,1514,12,0.13483989,1376,2_000047c5c68f54a49850,0.2786328,2763,0.1580818,1454,-1,0.31597465,2483,0.193632,1517,14,18.634615,
33_0,0.24534565,535,12,0.2167406,423,2_0000cfe4760e9b4051d3,0.3190578,2229,0.21024308,206,-1,0.14419848,1300,0.11463158,612,65,17.42122,
34_0,0.3423467,939,12,0.3043435,828,2_000006d7a09516129d77,0.348167,2760,0.3053217,697,-1,0.116557606,2119,0.11271347,1182,16,18.425495,
35_0,0.13869186,2332,12,0.13025421,2226,2_0000134e6a17d8c9c059,0.23141134,3189,0.14658618,2452,-1,0.27844447,2078,0.20483366,1528,8,18.37497,
