system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.23659825,1631,11,0.21024777,1325,1_0000f51ae57d773ac1b8,0.27515736,2126,0.21705388,1234,8,0.11811375,1008,0.07746249,618,52,17.7059,
1_0,0.11424604,1022,11,0.08943156,889,2_0000841d64b5eaec5dc4,0.21175003,2434,0.08700391,767,-1,0.21231565,1883,0.13356501,1145,66,17.593025,
2_0,0.24004103,1970,11,0.21379648,1695,1_000001204481c17ea25e,0.28927276,2108,0.2264818,1700,12,0.1321232,903,0.093537614,679,58,17.648558,
3_0,0.36308265,917,11,0.337127,667,1_00002a19ca7a4240599e,0.40701708,1544,0.34216502,496,7,0.20801558,487,0.1886785,223,70,17.745127,
4_0,0.5449944,1045,11,0.52422494,813,2_0000c8890032c8728187,0.595498,1905,0.54190737,648,-1,0.23705824,772,0.24031813,391,71,17.373732,
5_0,0.18585701,1353,11,0.1530447,1031,1_0000e3369643e96011c4,0.24131222,1672,0.14939006,884,9,0.1945434,745,0.1249993,453,61,17.593025,
6_0,0.7055745,3859,11,0.6375427,3417,2_00003e26ef897dcf256a,0.71143085,3874,0.6654314,3459,-1,0.21552412,759,0.22439894,526,16,17.867538,
7_0,0.089777045,1126,11,0.06895016,945,1_00003c88a0c16b302fee,0.18811378,2097,0.059867952,842,7,0.11973591,860,0.06556611,466,73,17.19008,
8_0,0.7160646,1079,11,0.68166286,809,1_0000fd1e1df8624658e4,0.75175047,1905,0.71028566,619,14,0.17000823,629,0.19023436,300,74,17.373732,
9_0,0.1687733,1100,11,0.13474376,882,2_0000c1f05613f14c659d,0.1976048,2179,0.13295893,766,-1,0.15967435,1323,0.12347269,761,53,19.02668,
10_0,0.3215819,1210,11,0.27857366,922,1_0000b47967ff841fa95a,0.31466985,2160,0.27732897,755,3,0.13077258,743,0.10865935,400,68,17.52183,
11_0,0.088855274,1013,11,0.068905175,782,2_00008b266d051f6918ee,0.17636606,1927,0.061030827,621,-1,0.14714122,1357,0.09038168,789,65,17.298813,
12_0,0.17195012,1519,11,0.14590298,1273,1_0000389eac368492a3ff,0.23530145,2489,0.1377404,1114,11,0.1548209,950,0.10555305,538,64,17.453926,
13_0,0.1546749,887,11,0.1426531,726,2_000089c23151424d2984,0.26485813,1585,0.16946486,780,-1,0.2882287,2170,0.19707274,1425,23,17.996931,
14_0,0.18531007,1402,11,0.15076315,1123,1_00007ae70283aaa1ed8d,0.2333121,2326,0.13955966,938,8,0.08958521,700,0.05812764,380,73,17.38935,
16_0,0.4969668,1371,11,0.4754761,1159,1_0000cfb00f4c58d5b6ca,0.55690694,2296,0.49779525,1044,2,0.20369889,656,0.2064766,359,66,17.270336,
17_0,0.08173254,1641,11,0.047959372,1406,2_00003e222acfc465902b,0.04371081,2047,0.03654279,1508,-1,0.019612206,1678,0.011779908,1118,19,18.743303,
18_0,0.114849545,1604,11,0.08970333,1430,2_00004e5470629b2e0d67,0.19788761,2737,0.09747947,1433,-1,0.2509825,1950,0.15241739,1185,23,18.91136,
19_0,0.120563835,1052,11,0.09562368,797,1_00009834eee02bcbdd52,0.21573508,1950,0.082511224,610,13,0.11733353,720,0.067756556,349,72,17.073797,
20_0,0.2732137,2997,11,0.23513515,2826,2_00002c5757f039f06ef3,0.28989816,3995,0.2366132,2943,-1,0.18425517,1585,0.14590104,1039,9,17.270336,
21_0,0.2981975,1311,11,0.28665096,993,1_000001204481c17ea25e,0.36774158,1254,0.3157027,889,12,0.06159923,780,0.042107813,548,64,17.52183,
22_0,0.18279533,967,11,0.15741628,745,2_00007e1b348c3debef7f,0.28055376,2214,0.14855117,551,-1,0.15940246,802,0.12648052,365,66,17.38935,
23_0,0.10704816,1023,11,0.07803912,720,1_00006f138e2e527590a5,0.16620237,1490,0.05721017,511,14,0.048853345,486,0.023984844,225,67,17.487465,
24_0,0.102560446,1000,11,0.09408611,849,2_0000abbdd0ec1fcd0a08,0.28536746,2725,0.08154224,734,-1,0.23669463,2145,0.1399852,1324,70,17.785145,
25_0,0.4943353,1390,11,0.47179684,1189,1_0000cfb00f4c58d5b6ca,0.5494997,2413,0.49287334,1065,2,0.19565813,673,0.19843586,357,69,17.358324,
26_0,0.14233653,1405,11,0.11344129,1252,2_000032203d6fd1b1704a,0.22149959,2211,0.11196605,1277,-1,0.21226016,1516,0.13276324,971,65,17.487465,
27_0,0.26302984,1192,11,0.23330344,967,1_0000ae99dff6827ed258,0.29458368,2011,0.2304039,845,1,0.17406996,880,0.14529383,507,65,17.487465,
28_0,0.38723302,1644,11,0.3503953,1459,1_00006a3f5827478dacbe,0.42253473,2490,0.3627893,1435,3,0.24859501,1198,0.2112806,789,59,18.85468,
29_0,0.5547627,1283,11,0.54109347,1084,1_0000cfb00f4c58d5b6ca,0.6497654,2283,0.57508385,958,2,0.21636915,685,0.22613987,367,71,17.504543,
30_0,0.28175634,1234,11,0.23771548,980,1_00003a2325e582ed4cc6,0.28834495,2404,0.23563619,792,9,0.15071096,977,0.12788887,505,70,17.7059,
31_0,0.24903885,1244,11,0.21091017,978,2_000068f67cd19f274822,0.25708044,2198,0.2047224,810,-1,0.13711458,909,0.1143003,502,65,17.629845,
32_0,0.13964128,1213,11,0.11425852,952,2_00006d0f711acd01c407,0.22209316,2078,0.09727252,779,-1,0.10590988,690,0.06486438,322,76,17.117666,
33_0,0.105950505,702,11,0.08259476,548,2_00008386bed4efe1dee7,0.24077442,2167,0.07253518,371,-1,0.15974581,1280,0.09732042,629,68,17.24272,
34_0,0.58695316,2222,11,0.550798,2072,2_00006f7018ac42529d67,0.6098959,3401,0.57038206,2118,-1,0.15820347,1008,0.16981065,584,60,18.086998,
35_0,0.5411912,1128,11,0.49461427,866,2_00006f7018ac42529d67,0.5878916,2068,0.5219035,669,-1,0.32211176,661,0.30857825,302,74,17.215967,
36_0,0.7188305,1043,11,0.68741703,791,1_0000fd1e1df8624658e4,0.75728244,1898,0.7165338,612,14,0.1797385,661,0.19840878,319,69,17.373732,
37_0,0.2940843,2782,11,0.25936067,2749,2_0000723a125cc4ac9d6d,0.31581175,3949,0.2577562,2946,-1,0.14292356,864,0.11893346,507,19,18.086998,
38_0,0.088383615,1030,11,0.06422244,832,2_0000a56c2d5ccfbd18d6,0.16347982,1957,0.051557105,705,-1,0.087239005,971,0.045734536,528,71,17.140928,
39_0,0.44473308,918,11,0.4072731,674,1_000068264f8adf60ce4e,0.4678284,1730,0.41438687,481,9,0.13660717,678,0.13576165,339,68,17.66747,
40_0,0.5422774,1281,11,0.5015851,982,2_0000d128ec90a34dfa45,0.5639602,1858,0.51797414,824,-1,0.28537202,643,0.26016167,381,65,17.725414,
41_0,0.09381243,977,11,0.07199729,795,2_0000bfa7bfe4dda8b373,0.17741665,2055,0.06807106,650,-1,0.1518716,1435,0.096438095,855,72,17.593025,
42_0,0.38664055,1165,11,0.35676932,921,1_00000dbc1c233307415f,0.43268895,1886,0.36624402,779,2,0.25949287,848,0.2344346,499,71,17.270336,
43_0,0.38190997,1575,11,0.34356272,1320,1_00006a3f5827478dacbe,0.41289496,1827,0.3558508,1258,3,0.22931546,780,0.19155084,529,64,19.02668,
44_0,0.11709117,1026,11,0.0709261,846,2_0000f21c0ffa55cc4bc2,0.069941714,2240,0.05295479,698,-1,0.03951384,1227,0.02388746,679,69,17.358324,
45_0,0.48269847,1060,11,0.44286546,899,2_00001dbebb53cae1d310,0.52959746,2189,0.4652078,871,-1,0.40688887,2095,0.30022794,1263,15,18.581295,
46_0,0.09666958,1072,11,0.07912722,862,1_000037ccc70c3bb660fe,0.20824394,1883,0.07746007,746,7,0.16240987,904,0.09540056,500,72,17.140928,
47_0,0.8278705,794,11,0.76819056,574,1_00003b339726e8b65e9d,0.8623995,1376,0.80703264,427,6,0.62295276,670,0.53333265,345,66,17.52183,
48_0,0.19958104,1074,11,0.16822214,839,2_0000674c6afe33c3c184,0.2534784,2125,0.15430921,659,-1,0.12409551,775,0.091006614,368,74,17.117666,
49_0,0.7852921,1209,11,0.7290225,1012,1_000061d734fd406a41ff,0.82543814,2123,0.76946944,1015,5,0.3264841,1853,0.2927324,1264,54,18.133158,
50_0,0.2834623,2388,11,0.25488886,2232,2_0000558bfe15cc98b87f,0.29494599,2916,0.2488136,2340,-1,0.18635707,1001,0.14444771,660,54,17.82595,
51_0,0.24234888,1517,11,0.20966786,1362,2_0000cb72de5d62d000d0,0.2982846,2524,0.21073282,1405,-1,0.1418657,1490,0.110102415,973,55,18.425495,
52_0,0.36070687,1018,11,0.33470225,732,1_000001083b5826573f8b,0.3939322,1559,0.32902163,550,1,0.052716166,525,0.042516295,272,68,18.041588,
53_0,0.120658346,1021,11,0.0955643,754,2_00000a536fc0dd0d6fd9,0.20113735,1908,0.07828958,565,-1,0.08870734,587,0.05030839,264,76,17.117666,
54_0,0.5048416,2162,11,0.467214,1918,2_00006d129901bc9b6cd2,0.54918313,3043,0.48595268,1956,-1,0.2661742,1547,0.24292623,993,52,19.705618,
55_0,0.10524758,998,11,0.082499966,830,2_00007cd420576a338bc2,0.20252001,2126,0.07550637,698,-1,0.1683127,1380,0.10392248,790,66,17.453926,
56_0,0.7574415,4774,11,0.74196494,4549,2_0000cea8c7af86dd9cfd,0.7192677,4639,0.7849862,4844,-1,0.028579835,628,0.025348192,490,20,18.743303,
57_0,0.11582931,1614,11,0.08611928,1518,2_000090101861d05ee898,0.13593459,3029,0.084352605,1559,-1,0.11826783,2175,0.07668871,1359,50,18.85468,
58_0,0.26693875,1105,11,0.23744999,829,1_0000a21301e68b68a2a9,0.35477376,1722,0.23482428,652,1,0.04779296,523,0.028857555,260,70,18.041588,
59_0,0.3735943,2705,11,0.36594075,2490,1_0000e318a96a03b5fecc,0.39737597,2898,0.39875308,2616,7,0.04923171,649,0.03551357,442,51,18.91136,
60_0,0.4529946,2481,11,0.40970638,2321,2_0000ac0f4b0df7af5aa2,0.48265222,3157,0.4246837,2492,-1,0.2784443,1736,0.23939319,1157,10,17.593025,
61_0,0.54140854,1428,11,0.49440396,1225,2_000063aae3cf85c13188,0.5724045,2359,0.5137128,1185,-1,0.28041,1567,0.24655463,957,58,17.7059,
