system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
1_0,0.3561168,2784,4,0.30041987,2380,2_0000841d64b5eaec5dc4,0.4505307,3878,0.32308185,2585,-1,0.19014919,1206,0.15982309,1048,66,17.593025,
3_0,0.37803903,2652,4,0.3164046,2162,1_00002a19ca7a4240599e,0.43365085,3196,0.34195507,2233,7,0.27194148,362,0.24477884,380,70,17.745127,
4_0,0.42018312,2174,4,0.3536932,1653,2_0000c8890032c8728187,0.48595783,2491,0.3877688,1623,-1,0.31202668,351,0.2878061,332,71,17.373732,
5_0,0.20730989,1957,4,0.13818043,1262,1_0000e3369643e96011c4,0.16517308,1403,0.13166766,1139,9,0.06818783,528,0.060262665,445,61,17.593025,
6_0,0.2631887,3653,4,0.16365981,2578,2_00003e26ef897dcf256a,0.16740373,2520,0.13671118,2389,-1,0.03622707,471,0.027926855,429,16,17.867538,
7_0,0.2836822,1714,4,0.23181817,1291,1_00003c88a0c16b302fee,0.3331262,2397,0.2342602,1218,7,0.15873177,543,0.112290956,417,73,17.19008,
8_0,0.22951409,1814,4,0.16407852,1245,1_0000fd1e1df8624658e4,0.2073489,1771,0.15305671,1101,14,0.092317194,293,0.0755787,245,74,17.373732,
9_0,0.5033888,2120,4,0.43144456,1503,2_0000c1f05613f14c659d,0.5346113,2758,0.46362433,1437,-1,0.22282833,931,0.22835118,715,53,19.02668,
11_0,0.70054734,2277,4,0.64800894,1772,2_00008b266d051f6918ee,0.79449576,2619,0.708305,1714,-1,0.50660473,1066,0.47568095,925,65,17.298813,
12_0,0.14335386,1387,4,0.0951149,888,1_0000389eac368492a3ff,0.19313364,1892,0.081721775,723,11,0.07715863,562,0.054165117,384,64,17.453926,
13_0,0.5644847,6385,4,0.48187417,5747,2_000089c23151424d2984,0.58049977,6919,0.51959306,6350,-1,0.43314877,879,0.35109475,1014,23,17.996931,
14_0,0.12985721,1409,4,0.077038914,899,1_00007ae70283aaa1ed8d,0.13545737,1832,0.055992536,700,8,0.036585283,364,0.024783574,245,73,17.38935,
16_0,0.3364683,2110,4,0.27882406,1558,1_0000cfb00f4c58d5b6ca,0.3985904,2177,0.29604167,1483,2,0.15148957,250,0.14669639,247,66,17.270336,
17_0,0.64336103,7137,4,0.56148005,6228,2_00003e222acfc465902b,0.69559324,7601,0.62010324,6916,-1,0.12664762,932,0.13056548,1066,19,18.743303,
18_0,0.3440075,3565,4,0.27719498,2801,2_00004e5470629b2e0d67,0.37373775,4175,0.294088,2999,-1,0.12823483,915,0.114519075,788,23,18.91136,
19_0,0.27340806,1736,4,0.21974055,1186,1_00009834eee02bcbdd52,0.27711108,1324,0.21622515,1036,13,0.1357801,204,0.113336384,187,72,17.073797,
20_0,0.36966228,3559,4,0.2856182,2802,2_00002c5757f039f06ef3,0.348265,3973,0.29953477,2936,-1,0.10748038,831,0.093581006,717,9,17.270336,
22_0,0.4493386,1772,4,0.37864617,1212,2_00007e1b348c3debef7f,0.4743755,2888,0.40383035,1060,-1,0.19219495,582,0.19477229,407,66,17.38935,
23_0,0.34852827,1779,4,0.28424236,1109,1_00006f138e2e527590a5,0.351842,1188,0.2955826,917,14,0.13438919,109,0.1334319,92,67,17.487465,
25_0,0.33268422,2310,4,0.2791394,1751,1_0000cfb00f4c58d5b6ca,0.40338358,2391,0.29490644,1696,2,0.15445377,248,0.14966059,261,69,17.358324,
26_0,0.5149624,3123,4,0.4454198,2781,2_000032203d6fd1b1704a,0.55752265,4356,0.48230535,3088,-1,0.46731597,1061,0.41340777,918,65,17.487465,
27_0,0.2959786,1560,4,0.2406048,1021,1_0000ae99dff6827ed258,0.36402908,1565,0.2496866,866,1,0.090881124,658,0.07631239,484,65,17.487465,
29_0,0.30291608,2049,4,0.24937126,1512,1_0000cfb00f4c58d5b6ca,0.37166032,2241,0.26369867,1421,2,0.14259696,280,0.13685776,273,71,17.504543,
30_0,0.3957875,2264,4,0.32689813,1622,1_00003a2325e582ed4cc6,0.47809216,2302,0.36823174,1560,9,0.21138155,613,0.20144698,510,70,17.7059,
31_0,0.4017512,2439,4,0.32375827,1794,2_000068f67cd19f274822,0.43153745,2580,0.3499965,1776,-1,0.19765843,687,0.18690845,597,65,17.629845,
32_0,0.26258826,2317,4,0.21760869,1859,2_00006d0f711acd01c407,0.3505325,2726,0.23449825,1865,-1,0.18898532,341,0.15111713,325,76,17.117666,
33_0,0.53435093,2252,4,0.47833025,1941,2_00008386bed4efe1dee7,0.61810416,3994,0.52156454,2001,-1,0.45007968,1101,0.3955499,869,68,17.24272,
34_0,0.36396205,2297,4,0.3004921,1698,2_00006f7018ac42529d67,0.39896968,2148,0.3214308,1593,-1,0.18670824,458,0.16143367,455,60,18.086998,
35_0,0.3080278,2178,4,0.24706493,1687,2_00006f7018ac42529d67,0.36392593,2783,0.2595785,1667,-1,0.14199764,339,0.12044377,333,74,17.215967,
36_0,0.22179951,1880,4,0.15321085,1282,1_0000fd1e1df8624658e4,0.197872,1678,0.14297715,1140,14,0.082878344,302,0.06778977,268,69,17.373732,
37_0,0.3404478,3635,4,0.2792607,3156,2_0000723a125cc4ac9d6d,0.4131186,5061,0.3130942,3565,-1,0.1526443,1227,0.13548745,1079,19,18.086998,
38_0,0.31193992,1530,4,0.2624598,1100,2_0000a56c2d5ccfbd18d6,0.36862984,2206,0.27414665,993,-1,0.22141048,527,0.15518503,396,71,17.140928,
39_0,0.32143205,1833,4,0.26156992,1228,1_000068264f8adf60ce4e,0.39273852,1519,0.282776,1060,9,0.12777588,251,0.12357715,207,68,17.66747,
40_0,0.44918928,2467,4,0.3788749,1841,2_0000d128ec90a34dfa45,0.50373924,2604,0.41577813,1825,-1,0.40315288,466,0.36814445,420,65,17.725414,
42_0,0.33993214,1592,4,0.26209974,1065,1_00000dbc1c233307415f,0.31854904,1424,0.25962764,930,2,0.054537423,519,0.04781946,413,71,17.270336,
44_0,0.43488085,1791,4,0.37476504,1184,2_0000f21c0ffa55cc4bc2,0.51108253,1568,0.41830033,1013,-1,0.44233614,558,0.37254158,440,69,17.358324,
45_0,0.32612935,3699,4,0.25025725,2911,2_00001dbebb53cae1d310,0.3192448,3741,0.25905812,3021,-1,0.069484346,886,0.055431332,777,15,18.581295,
46_0,0.28029457,1477,4,0.22297423,1008,1_000037ccc70c3bb660fe,0.288333,1842,0.21852216,869,7,0.115382664,493,0.07271705,360,72,17.140928,
47_0,0.22501934,1822,4,0.16127829,1227,1_00003b339726e8b65e9d,0.20724678,1604,0.15198237,1070,6,0.05001937,180,0.045984704,178,66,17.52183,
48_0,0.38247454,2308,4,0.32813162,1900,2_0000674c6afe33c3c184,0.48262668,3429,0.3571698,1917,-1,0.21879391,465,0.21108991,429,74,17.117666,
49_0,0.38860407,2465,4,0.33700734,1952,1_000061d734fd406a41ff,0.4856967,3039,0.36750185,2015,5,0.1628515,803,0.16205382,733,54,18.133158,
50_0,0.37167352,2401,4,0.2952616,1574,2_0000558bfe15cc98b87f,0.34550598,1839,0.30928954,1258,-1,0.14931685,382,0.13960518,271,54,17.82595,
51_0,0.23601371,3034,4,0.19154344,2722,2_0000cb72de5d62d000d0,0.34543929,4845,0.20771152,3037,-1,0.114723235,1347,0.09415446,1200,55,18.425495,
52_0,0.37864617,1465,4,0.31031018,834,1_000001083b5826573f8b,0.37960348,504,0.32732055,613,1,0.13431555,117,0.1349783,97,68,18.041588,
53_0,0.37565944,1605,4,0.3168719,1109,2_00000a536fc0dd0d6fd9,0.4399583,1816,0.34425077,967,-1,0.31290138,237,0.28783372,201,76,17.117666,
54_0,0.33377314,2797,4,0.25504065,1980,2_00006d129901bc9b6cd2,0.32001728,2531,0.2654829,1932,-1,0.1272361,985,0.10360436,829,52,19.705618,
56_0,0.5099136,6316,4,0.44118583,5277,2_0000cea8c7af86dd9cfd,0.5947571,6202,0.50094867,5781,-1,0.15088615,645,0.14222604,743,20,18.743303,
57_0,0.3225892,6278,4,0.27163777,6580,2_000090101861d05ee898,0.34707552,10157,0.28678715,7758,-1,0.096214056,1430,0.06381292,1351,50,18.85468,
58_0,0.38056076,1538,4,0.31472847,886,1_0000a21301e68b68a2a9,0.39079642,565,0.33144426,653,1,0.15036862,122,0.15088409,101,70,18.041588,
59_0,0.32375497,3014,4,0.23901057,2111,1_0000e318a96a03b5fecc,0.31857613,2113,0.25564557,2037,7,0.08450898,502,0.07642687,475,51,18.91136,
60_0,0.4461855,6391,4,0.38578042,5976,2_0000ac0f4b0df7af5aa2,0.5938263,8623,0.44647557,6959,-1,0.1761392,1156,0.16925026,1245,10,17.593025,
61_0,0.27857623,2732,4,0.22690654,2300,2_000063aae3cf85c13188,0.3633353,3938,0.24301782,2465,-1,0.14287233,1131,0.106888086,927,58,17.7059,
