system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.4052414,1380,12,8,0.4015073,1174,1_0000598eda579936f27a,0.44591913,1774,0.43831855,1079,0.034480736,675,0.022934189,401,
1_0,0.13728714,993,12,-1,0.1062078,832,2_00003ddc1e06ccc6cbec,0.17568868,2327,0.09361507,614,0.08908176,970,0.05540383,508,
2_0,0.5289414,2820,12,-1,0.48029098,2406,2_00008296d9b23dda57f3,0.5283902,3134,0.49346817,2193,0.14111616,1732,0.15071096,1078,
3_0,0.4918977,883,12,8,0.4690291,689,1_00004a458e4c7cd4ad80,0.54803205,1918,0.4899961,514,0.2974403,711,0.2757324,338,
4_0,0.13198316,807,12,-1,0.11948699,659,2_00005589f4cb895f5898,0.19642806,1848,0.13733515,558,0.26691237,2090,0.23644528,1525,
6_0,0.418567,1484,12,-1,0.3884532,1265,2_0000098526cc83dfe2d0,0.45046124,2466,0.40348467,1136,0.2553268,775,0.23944405,407,
7_0,0.09275294,750,12,-1,0.059164833,556,2_0000980dc829ea5ddf79,0.064240366,1764,0.04891424,479,0.08352243,2118,0.06461357,1310,
8_0,0.26300335,1199,12,9,0.21203087,980,1_0000ce6d46e12c94e8e1,0.28978366,2586,0.20876604,755,0.12604341,799,0.10379115,373,
9_0,0.11838685,899,12,11,0.09284192,702,1_000012e70a9134fec4f4,0.20018439,1901,0.078488156,494,0.10915248,864,0.059955247,414,
10_0,0.22947446,1517,12,8,0.20669423,1378,1_000031b9ed18748f3a44,0.30842972,3074,0.2029889,1293,0.18677145,1552,0.13851446,871,
11_0,0.0867858,982,12,-1,0.059878517,777,2_000053696eb42e095f8f,0.13406838,2126,0.0477015,539,0.091425836,1063,0.053912763,531,
12_0,0.42416152,822,12,-1,0.3915112,643,2_00008258441dc94635fd,0.43819627,1779,0.39855295,612,0.22643226,3174,0.21792857,1997,
13_0,0.49226677,906,12,9,0.45753008,727,1_0000b55607bbdddaea2f,0.5223642,2248,0.46798947,504,0.14588568,852,0.14803684,388,
14_0,0.09818639,468,12,-1,0.07263622,344,2_0000978541b57c333688,0.1821081,1816,0.076701015,218,0.21018301,2116,0.12376181,1172,
15_0,0.3971986,912,12,0,0.3600344,730,1_000050bae147b6149018,0.43792647,1738,0.37502736,527,0.26982215,1205,0.20783943,684,
16_0,0.12093412,1062,12,14,0.093944855,859,1_00003335f602399feae9,0.2161666,1964,0.089324616,677,0.15817375,1018,0.09379338,544,
17_0,0.15987246,1072,12,0,0.14791639,894,1_0000e6f94b83eafe69d1,0.2549563,2367,0.1540049,745,0.07986257,1184,0.049100876,640,
19_0,0.1725349,1285,12,11,0.1470969,1091,1_0000cec9cc92ca7890da,0.23310852,2455,0.14183387,898,0.15998647,992,0.11030441,521,
20_0,0.13572061,1262,12,8,0.10636253,1030,1_00008e110e7dafef59c9,0.16023871,1777,0.09869095,887,0.117171586,824,0.08043376,467,
21_0,0.42961404,989,12,7,0.390199,768,1_0000ea223aca181e2a09,0.4676708,2060,0.40390536,547,0.28810516,762,0.26066774,342,
