system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.4750982,2307,2,8,0.40908736,1502,1_0000598eda579936f27a,0.49725148,1340,0.44007203,1297,0.19690977,426,0.2049179,330,
1_0,0.2695463,1759,2,-1,0.206464,1048,2_00003ddc1e06ccc6cbec,0.23564914,799,0.20216082,824,0.1201148,458,0.10713773,352,
2_0,0.48884094,4281,2,-1,0.38926238,2867,2_00008296d9b23dda57f3,0.396174,1552,0.391464,2383,0.09183595,486,0.08832804,456,
3_0,0.16002686,2033,2,8,0.108592115,1467,1_00004a458e4c7cd4ad80,0.19967161,1848,0.09521632,1354,0.041988943,273,0.033232626,249,
4_0,0.54827183,3611,2,-1,0.47775298,3184,2_00005589f4cb895f5898,0.53522664,4089,0.5010632,3513,0.17795701,1432,0.15779564,1236,
5_0,0.121973515,1630,2,8,0.06991384,1070,1_00008e110e7dafef59c9,0.095462754,1082,0.048212294,864,0.023805564,184,0.014668071,134,
6_0,0.18044795,2435,2,-1,0.117376566,1758,2_0000098526cc83dfe2d0,0.1983442,2467,0.100336954,1631,0.038413443,292,0.029135684,272,
7_0,0.5642049,5299,2,-1,0.49743143,4646,2_0000980dc829ea5ddf79,0.61818177,6044,0.5547436,5155,0.06411882,1267,0.06874735,1137,
8_0,0.11624232,1538,2,9,0.06902045,1042,1_0000ce6d46e12c94e8e1,0.16141519,2069,0.045384124,847,0.028124452,300,0.015504355,210,
9_0,0.1386254,1671,2,11,0.08536342,1170,1_000012e70a9134fec4f4,0.13453756,1548,0.066667624,1011,0.024286486,230,0.016351294,174,
10_0,0.12679887,1980,2,8,0.08198902,1574,1_000031b9ed18748f3a44,0.21494159,2983,0.06338809,1527,0.06835802,673,0.04082513,470,
11_0,0.38438684,1437,2,-1,0.32136387,883,2_000053696eb42e095f8f,0.37480092,887,0.33041036,683,0.12816757,289,0.13087596,224,
13_0,0.1767996,2346,2,9,0.122922584,1893,1_0000b55607bbdddaea2f,0.2999558,3282,0.11152216,1914,0.05622276,375,0.038785696,359,
14_0,0.2288482,3489,2,-1,0.16956072,2849,2_0000978541b57c333688,0.30319634,3668,0.18050723,3086,0.10542445,1351,0.07824183,1087,
15_0,0.32829708,2008,2,0,0.26895627,1333,1_000050bae147b6149018,0.35206684,1287,0.28668293,1196,0.1382514,785,0.11867339,678,
16_0,0.28512505,2240,2,14,0.22794415,1501,1_00003335f602399feae9,0.27011177,1411,0.23083809,1284,0.116686076,541,0.11272314,481,
17_0,0.67915136,1852,2,0,0.61777484,1448,1_0000e6f94b83eafe69d1,0.7328825,2532,0.66214985,1395,0.2557176,651,0.2655015,442,
18_0,0.19166526,2122,2,-1,0.1337406,1525,2_00000daf0d1fc2e07d35,0.1789764,1822,0.12238407,1453,0.07778271,748,0.061033417,619,
19_0,0.12578642,1541,2,11,0.078014545,1047,1_0000cec9cc92ca7890da,0.163916,1849,0.061063234,893,0.06943292,570,0.04899379,420,
20_0,0.18617643,1995,2,8,0.11145337,1278,1_00008e110e7dafef59c9,0.0637821,937,0.07905134,993,0.007093569,125,0.004809195,92,
21_0,0.14196265,2528,2,7,0.08983842,1954,1_0000ea223aca181e2a09,0.18677844,2679,0.06977474,1897,0.02992315,467,0.021580517,412,
22_0,0.14950623,1875,2,9,0.094561026,1315,1_00009bddb856dd53a496,0.13898608,1740,0.07225833,1147,0.038533762,438,0.026751203,353,
23_0,0.13495837,1914,2,8,0.08596457,1397,1_000072d81b854abc62c9,0.15587842,1785,0.067629464,1260,0.033965014,259,0.0231443,204,
24_0,0.6300879,8240,2,-1,0.6205207,8523,2_000089d8ab7469ca82d2,0.93078107,12382,0.74014306,10182,0.18068555,2116,0.15968904,1900,
25_0,0.12343369,1727,2,11,0.07102022,1151,1_0000464e619212e6a9b0,0.068006456,1317,0.04704107,947,0.012972319,285,0.0064206356,190,
26_0,0.309427,2345,2,-1,0.24208803,1668,2_0000d7116c6c587cb056,0.2511542,1935,0.23482123,1532,0.0907311,350,0.08034996,286,
27_0,0.12016291,1593,2,9,0.07405254,1073,1_00001791003e6a8d44a6,0.16472094,1980,0.049962465,874,0.028172156,251,0.0139135895,174,
28_0,0.2595507,2590,2,-1,0.21900976,2157,2_000069faf0ae61515076,0.34799206,3159,0.23943883,2350,0.1181333,1317,0.09364379,1061,
29_0,0.28883544,2201,2,-1,0.2541164,1803,2_0000081cdf7ad5133c00,0.35403264,2911,0.27673465,2051,0.13579819,2759,0.10087752,1823,
30_0,0.14151633,2162,2,9,0.09906143,1706,1_0000e2b10f2e384f3a4e,0.2888637,3428,0.07862018,1656,0.061323736,711,0.03256185,514,
31_0,0.45580098,2352,2,-1,0.39697453,1697,2_0000ee0ce22647be8a2c,0.51178986,2351,0.4323396,1618,0.19841807,572,0.19641104,438,
