system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
1_0,0.16842663,1748,3,-1,0.10242044,1020,2_00003ddc1e06ccc6cbec,0.08519402,792,0.08058894,782,0.048609193,410,0.03411171,324,
2_0,0.42987046,4388,3,-1,0.30096334,2957,2_00008296d9b23dda57f3,0.20663731,1898,0.2661507,2537,0.020455305,321,0.016673,375,
3_0,0.3051503,2110,3,8,0.2495279,1538,1_00004a458e4c7cd4ad80,0.38772434,1999,0.26128763,1454,0.15287095,334,0.13648808,308,
4_0,0.6601859,4893,3,-1,0.6165843,4453,2_00005589f4cb895f5898,0.7568651,5754,0.6923929,4973,0.129565,1231,0.14129877,1168,
5_0,0.24165854,1697,3,8,0.18002707,1107,1_00008e110e7dafef59c9,0.20110558,1078,0.17046891,908,0.07492036,156,0.07020594,133,
6_0,0.1779779,2576,3,-1,0.11197172,1867,2_0000098526cc83dfe2d0,0.20569369,2635,0.087667115,1775,0.040848773,313,0.027459921,287,
7_0,0.5481198,6329,3,-1,0.48321766,5547,2_0000980dc829ea5ddf79,0.60213685,7002,0.53655744,6168,0.070031084,1120,0.07565545,1145,
8_0,0.11204083,1572,3,9,0.06702488,1049,1_0000ce6d46e12c94e8e1,0.11230352,2087,0.04604744,856,0.021010816,288,0.012335092,217,
9_0,0.30617622,1757,3,11,0.24730055,1238,1_000012e70a9134fec4f4,0.3139484,1613,0.25127658,1094,0.12206687,222,0.1183636,186,
10_0,0.11301961,2130,3,8,0.07012656,1714,1_000031b9ed18748f3a44,0.14404826,3256,0.052516516,1700,0.04407182,660,0.026795074,490,
11_0,0.13545553,1510,3,-1,0.0791223,930,2_000053696eb42e095f8f,0.0659837,943,0.055403046,709,0.014857012,249,0.010399904,191,
12_0,0.27851143,7230,3,-1,0.2094867,6924,2_00008258441dc94635fd,0.18442334,9201,0.19440848,7946,0.03276998,1052,0.021913664,1109,
13_0,0.37454307,2348,3,9,0.33350417,1860,1_0000b55607bbdddaea2f,0.5414394,3341,0.37180233,1869,0.19084169,464,0.19120231,400,
14_0,0.24246399,4291,3,-1,0.17694163,3572,2_0000978541b57c333688,0.30869004,4678,0.18319674,3926,0.114077695,1181,0.082880296,1020,
15_0,0.28586623,2006,3,0,0.23090091,1292,1_000050bae147b6149018,0.34241167,1255,0.25235838,1127,0.12938078,750,0.113227144,641,
16_0,0.14163545,2306,3,14,0.08369811,1502,1_00003335f602399feae9,0.07938872,1434,0.063103914,1275,0.046618767,514,0.037483014,474,
17_0,0.22230986,1916,3,0,0.16202341,1490,1_0000e6f94b83eafe69d1,0.24236657,2538,0.1559192,1440,0.041101735,642,0.037613608,453,
18_0,0.16162613,2237,3,-1,0.10464471,1597,2_00000daf0d1fc2e07d35,0.139638,1890,0.088555835,1515,0.07193066,711,0.05383068,606,
19_0,0.120491706,1543,3,11,0.07498899,1031,1_0000cec9cc92ca7890da,0.10916629,1845,0.05803437,875,0.038734253,547,0.027877936,411,
20_0,0.27938333,2057,3,8,0.2025813,1283,1_00008e110e7dafef59c9,0.19547239,901,0.18643747,986,0.073102094,135,0.068419695,106,
21_0,0.30598235,2596,3,7,0.24589968,2019,1_0000ea223aca181e2a09,0.34828973,2798,0.25434676,2000,0.116277955,424,0.11166368,400,
22_0,0.20643637,1946,3,9,0.14593056,1340,1_00009bddb856dd53a496,0.16701195,1686,0.12963077,1168,0.060956787,427,0.052632734,368,
23_0,0.2910989,2110,3,8,0.23465496,1564,1_000072d81b854abc62c9,0.28767127,1898,0.23452663,1459,0.114090875,212,0.10711973,212,
24_0,0.3351385,9593,3,-1,0.2760319,9991,2_000089d8ab7469ca82d2,0.28983685,14546,0.28005275,12019,0.0670813,2410,0.050126687,2169,
26_0,0.18710826,2429,3,-1,0.12334942,1727,2_0000d7116c6c587cb056,0.16688453,1965,0.10328005,1627,0.026630495,312,0.021999102,285,
27_0,0.1195968,1603,3,9,0.07162118,1056,1_00001791003e6a8d44a6,0.15730527,1953,0.04872231,856,0.028374674,213,0.014934033,158,
28_0,0.26470423,2850,3,-1,0.22555503,2390,2_000069faf0ae61515076,0.36736935,3583,0.24780892,2620,0.11793158,1308,0.0954315,1095,
29_0,0.3042808,2634,3,-1,0.2527728,2242,2_0000081cdf7ad5133c00,0.35276574,3442,0.27480614,2532,0.11301525,2475,0.088889055,1714,
31_0,0.1572627,2434,3,-1,0.09567052,1744,2_0000ee0ce22647be8a2c,0.15961364,2426,0.076888785,1683,0.050298057,549,0.03670317,453,
32_0,0.21174902,2329,3,-1,0.15607028,1727,2_000098d4986d8999d4a0,0.22957754,2442,0.15798047,1766,0.10965953,958,0.09168951,828,
33_0,0.4447316,6900,3,-1,0.36039037,5913,2_000083ddea39d44ccde6,0.56122315,7160,0.40917012,6568,0.07504578,895,0.06268028,986,
34_0,0.4104626,2344,3,5,0.34271112,1850,1_000027543b4707a4757c,0.4231953,2686,0.36388764,1837,0.1607673,290,0.15627734,282,
35_0,0.17780869,1852,3,11,0.1237497,1281,1_00005b5c93401e759b9f,0.17361823,1591,0.110926956,1179,0.091147825,826,0.07034187,688,
36_0,0.21906039,1826,3,-1,0.16590293,1364,2_0000566225ebedf3c35a,0.29981387,3047,0.16171208,1274,0.10835475,737,0.089563355,551,
37_0,0.4435085,2368,3,-1,0.3891079,1720,2_0000e55fb338136b5023,0.49771965,2078,0.41685945,1638,0.24680367,272,0.22794132,254,
38_0,0.40899515,1533,3,1,0.37199697,1036,1_0000eebf284cb792e696,0.6121712,1892,0.42446315,927,0.14020318,892,0.13378234,718,
39_0,0.30439463,1540,3,1,0.25218534,993,1_0000e2c32cc83e21fd55,0.38574773,1346,0.26259038,853,0.0738636,825,0.06250505,654,
40_0,0.16621755,2006,3,-1,0.09570788,1206,2_000020067735e9ca6727,0.06385329,806,0.06976297,935,0.015494863,154,0.011963472,133,
41_0,0.27307346,3891,3,-1,0.22250864,3261,2_000042fb22161bcd3ff0,0.3645946,4801,0.24822235,3632,0.10929702,895,0.08861765,857,
42_0,0.22398898,2725,3,-1,0.15625429,1954,2_0000e4f16a77a51914e3,0.23262314,2734,0.14636926,1917,0.08090615,1011,0.06418145,842,
43_0,0.25532827,2148,3,-1,0.20563406,1610,2_000035a32c73dd55aece,0.25148907,1956,0.20680436,1622,0.088375196,1058,0.0686626,826,
44_0,0.11989333,1637,3,9,0.07202691,1096,1_0000ce6d46e12c94e8e1,0.114380844,1981,0.051171526,902,0.023382556,284,0.013696879,216,
45_0,0.25477812,2440,3,-1,0.19788757,2002,2_0000e7608fd7b8065001,0.2826274,3460,0.19690073,2064,0.0713078,486,0.062425453,442,
46_0,0.23655303,2463,3,-1,0.19481179,2054,2_0000c338485f0438e392,0.33072254,3235,0.20428787,2173,0.099791914,900,0.07846276,750,
47_0,0.2201486,2514,3,-1,0.16600387,1965,2_0000238822413a1f532d,0.2471569,2815,0.16364002,2011,0.06772967,894,0.057704452,756,
48_0,0.33531582,2412,3,-1,0.27946115,2015,2_0000e06aae64e3bdafe8,0.43249792,3670,0.2965557,2051,0.13143377,517,0.12817767,456,
49_0,0.13687328,1672,3,-1,0.07615441,996,2_0000a89dee83da4c7929,0.091589965,1266,0.053214274,797,0.033514753,339,0.018590873,234,
50_0,0.4592895,5975,3,-1,0.40231103,5671,2_000090a8a3290e2852fb,0.57303,8200,0.45633236,6535,0.12975216,1111,0.12448706,1215,
51_0,0.21955462,1852,3,1,0.13143565,1250,1_0000c520a0082f1ea8b1,0.16067833,1960,0.10899541,1104,0.04050187,410,0.029477226,331,
52_0,0.2697245,2846,3,-1,0.24045447,2424,2_0000d2fe56330cdbbdb8,0.40790784,3715,0.26774812,2581,0.104907475,1062,0.08895373,898,
53_0,0.57054543,7049,3,-1,0.5561005,7266,2_00002c821f1e7b046fc3,0.79921246,11373,0.64497054,8708,0.24948864,2064,0.22813353,1829,
54_0,0.3895559,7160,3,-1,0.31314564,6136,2_00007b208d9b5e1428e8,0.48941797,7575,0.3545061,6797,0.08707016,910,0.07112293,961,
55_0,0.15749855,1480,3,-1,0.106163226,963,2_00001654dc8aa53f3e96,0.14541313,1313,0.09374517,807,0.044037532,518,0.032102123,337,
56_0,0.20335001,2408,3,-1,0.1396294,1713,2_00005a3cd5982c02ab5a,0.19087674,2171,0.12879546,1644,0.08146829,794,0.055666428,592,
57_0,0.52349955,6332,3,-1,0.48883858,5863,2_0000c9168287a6d5b8c8,0.8392896,8632,0.60229766,6937,0.09442113,857,0.088701226,969,
58_0,0.21962883,1930,3,10,0.14962971,1349,1_000075b51e039e179b73,0.1544834,1649,0.13044253,1217,0.035962515,307,0.028034903,281,
59_0,0.45425868,5487,3,-1,0.44073632,5387,2_000052469d17ce038efe,0.72010374,8419,0.5284568,6441,0.18847094,1871,0.15030712,1536,
60_0,0.1917616,2332,3,-1,0.14559309,1885,2_0000fc6f7964615233c9,0.33689103,3350,0.13711451,1914,0.07862556,651,0.06252951,545,
61_0,0.24292684,1763,3,-1,0.18442334,1189,2_000008a9fc2274c39718,0.22148226,1428,0.18341814,1083,0.090335265,839,0.07666435,695,
62_0,0.20894498,2298,3,-1,0.14756693,1664,2_00005fb71bebe78be04f,0.15463515,1910,0.13083403,1582,0.027840083,143,0.020699747,136,
63_0,0.6451803,5984,3,-1,0.57885396,5219,2_0000ac598f0c19b94afa,0.71283984,6468,0.64784455,5790,0.065932736,924,0.07120471,928,
64_0,0.22330016,2472,3,-1,0.1715476,1835,2_00009bec97e724b75bc4,0.23348978,2236,0.1720839,1817,0.09096916,969,0.07555066,863,
65_0,0.36295617,4698,3,-1,0.31759542,4424,2_0000a174d3c4718f212c,0.5132006,6610,0.37010732,5202,0.119130366,1308,0.10788757,1265,
67_0,0.41513002,4635,3,-1,0.38875878,4208,2_0000e03bd3bac42c7077,0.5461813,5466,0.4354965,4727,0.07886603,717,0.08084696,838,
69_0,0.20907985,4543,3,-1,0.1446552,3684,2_0000767116e26507cb5b,0.22754121,4095,0.15158455,3915,0.12259327,781,0.091539115,873,
70_0,0.18634114,1671,3,-1,0.120029226,1074,2_0000026df1c9c1be8777,0.09445983,847,0.09745887,876,0.02614896,225,0.020382077,188,
71_0,0.32698646,3822,3,-1,0.2686206,3146,2_00001d6e5b70308d4403,0.3458532,3531,0.2842287,3298,0.07130721,589,0.0659343,639,
73_0,0.23673952,3164,3,-1,0.16442183,2328,2_00008488dcc8264f4c2f,0.20894842,2629,0.15848067,2313,0.079084605,736,0.056619447,657,
74_0,0.37093794,2179,3,2,0.31230074,1636,1_0000db7f9c590146b24c,0.4482435,2413,0.3421055,1575,0.1277282,476,0.11806479,436,
75_0,0.24631292,3471,3,-1,0.2005393,2950,2_000004ac0c470a2521b2,0.3891142,4651,0.20848987,3258,0.040601864,501,0.040601864,525,
76_0,0.15629286,1385,3,13,0.103443824,817,1_000021973d4b066ae123,0.09906061,841,0.08591097,596,0.041139577,276,0.031934828,199,
77_0,0.15823157,1684,3,-1,0.0978975,1052,2_00002411c3e498eeed64,0.107816175,1137,0.07613802,879,0.058923088,578,0.04217741,443,
78_0,0.16812764,1919,3,11,0.116852194,1398,1_0000af9d4e2cf2d78dce,0.16213968,1838,0.101155624,1305,0.042438973,558,0.032898426,433,
79_0,0.20636016,1796,3,1,0.14422198,1271,1_00004079f0ac4f43d8fe,0.2280305,1996,0.122925416,1148,0.041800078,326,0.028070167,281,
80_0,0.11274197,1569,3,6,0.06850385,1029,1_00000ea1383b87cc70c0,0.11817899,1967,0.04699274,832,0.02118073,287,0.011136051,216,
81_0,0.18369737,2068,3,-1,0.12045774,1425,2_0000b279dfba52bd86e6,0.17279628,2097,0.102838635,1296,0.06601505,621,0.04600113,507,
82_0,0.19725944,2309,3,-1,0.120753504,1533,2_00001e81192f9f7e6960,0.07584353,1120,0.09319812,1297,0.012254183,307,0.010531972,262,
