system:index,blue,blue_1,current_slice,found_slice,green,green_1,id,nir,nir_1,red,red_1,swir1,swir1_1,swir2,swir2_1,.geo
0_0,0.36300063,2344,7,8,0.27601624,1822,1_0000598eda579936f27a,0.29250813,2269,0.27339658,1815,0.05614393,787,0.05334566,660,
1_0,0.26841328,1516,7,-1,0.21165363,994,2_00003ddc1e06ccc6cbec,0.24544886,1161,0.20850717,855,0.10535622,607,0.09641237,462,
2_0,0.96742916,11544,7,-1,0.93138605,11844,2_00008296d9b23dda57f3,1.1945403,15088,1.0605453,13827,0.18370189,1338,0.21474059,1384,
3_0,0.32527226,1815,7,8,0.28845504,1386,1_00004a458e4c7cd4ad80,0.43324256,2136,0.29816487,1236,0.13075139,255,0.1288996,204,
4_0,0.64422494,6052,7,-1,0.61233526,5773,2_00005589f4cb895f5898,0.72543496,6742,0.67766696,6380,0.070998944,752,0.07756692,742,
5_0,0.25439876,1281,7,8,0.20830281,885,1_00008e110e7dafef59c9,0.29825386,1535,0.2039362,709,0.12974523,396,0.11632262,257,
6_0,0.37017837,2184,7,-1,0.30795634,1606,2_0000098526cc83dfe2d0,0.38778514,2157,0.31519926,1429,0.15795614,298,0.14486048,250,
7_0,0.7433388,6128,7,-1,0.67127556,5523,2_0000980dc829ea5ddf79,0.78315485,6361,0.7341177,5996,0.073715575,736,0.07995182,703,
8_0,0.11101373,1297,7,9,0.071211495,911,1_0000ce6d46e12c94e8e1,0.17811546,2197,0.0499492,712,0.034248278,445,0.019982588,250,
9_0,0.15151247,1410,7,11,0.11137516,1032,1_000012e70a9134fec4f4,0.2028011,1737,0.098698705,899,0.07212608,381,0.062152397,267,
10_0,0.12473455,2165,7,8,0.086825766,1869,1_000031b9ed18748f3a44,0.21943134,3592,0.071653925,1885,0.07616669,843,0.04389857,536,
11_0,0.114153355,1350,7,-1,0.06795094,903,2_000053696eb42e095f8f,0.07786326,1215,0.049785838,782,0.030416245,499,0.020309731,373,
