system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
1_0,0.18302357,1804,9,0.15407644,1580,2_0000841d64b5eaec5dc4,0.24990097,2203,0.15936099,1697,-1,0.2106952,1319,0.15182489,948,66,17.593025,
3_0,0.434226,1190,9,0.3916573,865,1_00002a19ca7a4240599e,0.47269854,1837,0.40552127,689,7,0.17837264,483,0.17805755,258,70,17.745127,
4_0,0.39597404,1325,9,0.35075858,1000,2_0000c8890032c8728187,0.43309167,1939,0.3619443,877,-1,0.24277711,636,0.25238737,385,71,17.373732,
5_0,0.38830626,1677,9,0.34081182,1241,1_0000e3369643e96011c4,0.39865252,1762,0.34790376,1101,9,0.14159302,714,0.13545282,507,61,17.593025,
6_0,0.4898423,5008,9,0.43126515,4359,2_00003e26ef897dcf256a,0.5053231,5301,0.43605447,4444,-1,0.055929042,452,0.047763377,377,16,17.867538,
7_0,0.65824074,1438,9,0.60589707,1201,1_00003c88a0c16b302fee,0.69130147,2267,0.636632,1143,7,0.47121075,679,0.39201814,380,73,17.19008,
8_0,0.4031266,1316,9,0.35967562,905,1_0000fd1e1df8624658e4,0.43378487,1276,0.3710189,720,14,0.22749522,263,0.23836584,136,74,17.373732,
9_0,0.400693,1720,9,0.3641811,1413,2_0000c1f05613f14c659d,0.4608248,2384,0.3858493,1403,-1,0.40717164,980,0.36384788,640,53,19.02668,
11_0,0.18907546,1609,9,0.15572277,1310,2_00008b266d051f6918ee,0.23995076,2134,0.15767418,1293,-1,0.072837695,1075,0.045322172,742,65,17.298813,
12_0,0.56488043,1719,9,0.5253994,1369,1_0000389eac368492a3ff,0.6460124,2403,0.5581171,1232,11,0.57110834,799,0.51294357,496,64,17.453926,
13_0,0.2648415,2755,9,0.24175668,2583,2_000089c23151424d2984,0.3445609,3512,0.2689941,2956,-1,0.33838522,2135,0.2637928,1531,23,17.996931,
14_0,0.16333982,1452,9,0.11894676,1104,1_00007ae70283aaa1ed8d,0.13820596,2074,0.098234035,934,8,0.022469062,545,0.012385235,320,73,17.38935,
16_0,0.44267625,1630,9,0.41202754,1356,1_0000cfb00f4c58d5b6ca,0.54429567,2365,0.4334424,1242,2,0.31067502,425,0.28810802,260,66,17.270336,
17_0,0.7323626,5054,9,0.6820293,4623,2_00003e222acfc465902b,0.644066,5284,0.71831685,4963,-1,0.015660618,1257,0.014198147,956,19,18.743303,
18_0,0.5246309,3658,9,0.49270028,3341,2_00004e5470629b2e0d67,0.6194782,4079,0.53431976,3645,-1,0.43115464,1012,0.40291068,768,23,18.91136,
19_0,0.438406,1193,9,0.39156264,878,1_00009834eee02bcbdd52,0.51640964,1850,0.41235775,714,13,0.3784709,582,0.3149455,314,72,17.073797,
20_0,0.47011128,5198,9,0.43447044,4858,2_00002c5757f039f06ef3,0.4619811,5758,0.46399114,5321,-1,0.046951123,925,0.031530753,798,9,17.270336,
22_0,0.5680375,1276,9,0.5364119,964,2_00007e1b348c3debef7f,0.628999,2277,0.56567585,808,-1,0.46666193,710,0.37439057,395,66,17.38935,
23_0,0.21214965,1122,9,0.16672166,766,1_00006f138e2e527590a5,0.19849992,1417,0.15380315,578,14,0.07379383,354,0.06044878,189,67,17.487465,
24_0,0.47999728,2411,9,0.44811475,2234,2_0000abbdd0ec1fcd0a08,0.5325371,2931,0.47495362,2474,-1,0.16879895,1622,0.14787245,1217,70,17.785145,
25_0,0.46269062,1578,9,0.43287337,1316,1_0000cfb00f4c58d5b6ca,0.5738609,2377,0.45350644,1200,2,0.31836283,418,0.29276156,240,69,17.358324,
26_0,0.3207578,2461,9,0.30050856,2245,2_000032203d6fd1b1704a,0.43373525,3185,0.3216387,2374,-1,0.27949044,1094,0.2681875,784,65,17.487465,
27_0,0.8060426,1437,9,0.77399296,1125,1_0000ae99dff6827ed258,0.88071984,1931,0.8155282,983,1,0.6794823,799,0.59612435,500,65,17.487465,
29_0,0.38258758,1474,9,0.34900334,1210,1_0000cfb00f4c58d5b6ca,0.4405813,2294,0.35857028,1093,2,0.22550204,481,0.208563,283,71,17.504543,
30_0,0.17152217,1441,9,0.13808492,1084,1_00003a2325e582ed4cc6,0.25533694,2205,0.13408175,942,9,0.1359488,829,0.07811856,497,70,17.7059,
31_0,0.15973903,1418,9,0.12265757,1041,2_000068f67cd19f274822,0.21025327,1866,0.111596614,884,-1,0.09180435,634,0.057074264,383,65,17.629845,
32_0,0.112017944,1028,9,0.08211831,726,2_00006d0f711acd01c407,0.24114153,1798,0.060926486,544,-1,0.06532266,567,0.028096069,282,76,17.117666,
33_0,0.80057746,1485,9,0.7579789,1215,2_00008386bed4efe1dee7,0.8797542,2433,0.81007886,1150,-1,0.5982639,1302,0.51073104,822,68,17.24272,
34_0,0.43258753,3410,9,0.38661584,3110,2_00006f7018ac42529d67,0.46450618,4484,0.40085793,3283,-1,0.24142222,568,0.25106397,418,60,18.086998,
35_0,0.45035863,1454,9,0.4070337,1130,2_00006f7018ac42529d67,0.5020335,2385,0.42600214,957,-1,0.29224628,549,0.2901982,303,74,17.215967,
36_0,0.4140287,1385,9,0.37048322,1045,1_0000fd1e1df8624658e4,0.44695565,1911,0.38453627,906,14,0.2343957,425,0.24438407,250,69,17.373732,
37_0,0.3990996,3758,9,0.39006937,3668,2_0000723a125cc4ac9d6d,0.48412162,4663,0.42763028,4128,-1,0.08265198,728,0.057001363,577,19,18.086998,
38_0,0.6652768,1282,9,0.6074868,1033,2_0000a56c2d5ccfbd18d6,0.6866794,2141,0.63722086,949,-1,0.45637318,822,0.3850115,471,71,17.140928,
39_0,0.27378657,969,9,0.3048073,668,1_000068264f8adf60ce4e,0.41451997,1595,0.31905767,522,9,0.05643135,467,0.037500896,282,68,17.66747,
40_0,0.13095315,1459,9,0.09555229,1037,2_0000d128ec90a34dfa45,0.20490491,1632,0.07557181,839,-1,0.05886141,325,0.028770685,206,65,17.725414,
41_0,0.14875138,1504,9,0.13580632,1232,2_0000bfa7bfe4dda8b373,0.22155267,2050,0.13638943,1211,-1,0.09055699,1000,0.060293574,690,72,17.593025,
42_0,0.35392314,1218,9,0.31088513,904,1_00000dbc1c233307415f,0.35600138,1587,0.31586194,782,2,0.044003554,726,0.038810402,479,71,17.270336,
44_0,0.18243286,1390,9,0.14567557,1065,2_0000f21c0ffa55cc4bc2,0.22129571,1661,0.14185546,1032,-1,0.088073105,866,0.0634379,593,69,17.358324,
