system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.097561195,1233,12,0.06911618,999,1_0000f51ae57d773ac1b8,0.11244089,1874,0.061477937,892,8,0.100537136,1034,0.06428028,601,52,17.7059,
1_0,0.09007689,890,12,0.088181674,784,2_0000841d64b5eaec5dc4,0.35643828,3089,0.052905492,534,-1,0.17618263,1957,0.080034226,1076,66,17.593025,
2_0,0.27200082,1393,12,0.24028227,1150,1_000001204481c17ea25e,0.32693172,1818,0.24563897,1038,12,0.2730672,1039,0.22366661,662,58,17.648558,
3_0,0.10855432,891,12,0.09545475,666,1_00002a19ca7a4240599e,0.23172311,1619,0.093068466,488,7,0.18015295,559,0.10833765,254,70,17.745127,
4_0,0.10781184,991,12,0.083712466,787,2_0000c8890032c8728187,0.17896204,2111,0.066034295,576,-1,0.0909331,885,0.04981008,423,71,17.373732,
5_0,0.37400115,1108,12,0.34377056,860,1_0000e3369643e96011c4,0.44651484,1697,0.3659165,698,9,0.41556507,813,0.36968604,450,61,17.593025,
6_0,0.16406113,2656,12,0.14734256,2394,2_00003e26ef897dcf256a,0.24635307,3125,0.15406469,2358,-1,0.18836385,1142,0.13003114,717,16,17.867538,
7_0,0.10443189,958,12,0.0863394,788,1_00003c88a0c16b302fee,0.20953329,2129,0.08018913,625,7,0.16346519,1008,0.10007735,522,73,17.19008,
8_0,0.10361695,954,12,0.0823753,734,1_0000fd1e1df8624658e4,0.1907463,2102,0.06420127,525,14,0.087322764,741,0.04652695,342,74,17.373732,
9_0,0.08627939,943,12,0.0800669,754,2_0000c1f05613f14c659d,0.28447974,2405,0.047996957,568,-1,0.15154663,1442,0.068793245,777,53,19.02668,
10_0,0.18860014,995,12,0.15420324,747,1_0000b47967ff841fa95a,0.19160087,2077,0.14728418,539,3,0.100239545,792,0.07943277,386,68,17.52183,
11_0,0.08942497,879,12,0.08387354,690,2_00008b266d051f6918ee,0.3180076,2337,0.04896751,446,-1,0.14626196,1380,0.065118596,711,65,17.298813,
