system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
1_0,0.348291,2820,5,0.29696506,2456,2_0000841d64b5eaec5dc4,0.4125749,3993,0.32079202,2651,-1,0.22775322,1026,0.20545273,871,66,17.593025,
3_0,0.5596734,2477,5,0.52317554,2008,1_00002a19ca7a4240599e,0.8067141,3056,0.61219347,2042,7,0.61560607,431,0.5920646,399,70,17.745127,
4_0,0.44433767,2040,5,0.3686233,1541,2_0000c8890032c8728187,0.4461886,2399,0.39175984,1486,-1,0.15495712,408,0.15397382,361,71,17.373732,
6_0,0.571609,3562,5,0.4644011,2629,2_00003e26ef897dcf256a,0.5742518,2940,0.5013275,2486,-1,0.21341594,612,0.22098692,534,16,17.867538,
7_0,0.34651628,1611,5,0.31209415,1209,1_00003c88a0c16b302fee,0.49663955,2304,0.33157334,1115,7,0.17227083,577,0.15081704,416,73,17.19008,
8_0,0.3602941,1651,5,0.28486893,1105,1_0000fd1e1df8624658e4,0.32697746,1507,0.29227263,950,14,0.10804774,216,0.10798989,190,74,17.373732,
9_0,0.20763126,2168,5,0.15041669,1607,2_0000c1f05613f14c659d,0.26184762,2869,0.1491225,1554,-1,0.08920664,909,0.07065433,694,53,19.02668,
11_0,0.1905658,2341,5,0.1452035,1886,2_00008b266d051f6918ee,0.2309447,2918,0.14130124,1845,-1,0.07234369,951,0.057257175,822,65,17.298813,
12_0,0.23080009,1311,5,0.17241609,840,1_0000389eac368492a3ff,0.24612111,1826,0.160214,671,11,0.075182386,584,0.051708404,386,64,17.453926,
13_0,0.6199252,6836,5,0.5834042,6235,2_000089c23151424d2984,0.75902075,7526,0.66140103,6868,-1,0.12460048,814,0.124922246,957,23,17.996931,
14_0,0.24809487,1268,5,0.19206987,794,1_00007ae70283aaa1ed8d,0.27641216,1802,0.19157113,591,8,0.0600149,384,0.05530459,237,73,17.38935,
16_0,0.44463766,1958,5,0.38833293,1449,1_0000cfb00f4c58d5b6ca,0.5047179,2141,0.41963157,1360,2,0.27955374,272,0.26439688,245,66,17.270336,
17_0,0.72463727,7904,5,0.6446345,6973,2_00003e222acfc465902b,0.7656656,8216,0.7107899,7706,-1,0.09909631,724,0.11276069,927,19,18.743303,
18_0,0.2751651,3767,5,0.21808267,3087,2_00004e5470629b2e0d67,0.32803556,4631,0.23159888,3319,-1,0.090967305,969,0.07198173,799,23,18.91136,
19_0,0.31175622,1637,5,0.25529554,1129,1_00009834eee02bcbdd52,0.32442674,1449,0.25975645,983,13,0.1368394,269,0.12946114,223,72,17.073797,
22_0,0.2556345,1674,5,0.20602101,1141,2_00007e1b348c3debef7f,0.36704308,2745,0.21254218,988,-1,0.06668693,581,0.056954633,408,66,17.38935,
23_0,0.2139335,1626,5,0.14899276,1011,1_00006f138e2e527590a5,0.1635777,1263,0.1359166,822,14,0.0095556425,163,0.009744241,123,67,17.487465,
24_0,0.33040717,3779,5,0.2857317,3394,2_0000abbdd0ec1fcd0a08,0.35866305,4566,0.30381343,3697,-1,0.10078426,807,0.08627857,713,70,17.785145,
25_0,0.43971303,2162,5,0.38494042,1642,1_0000cfb00f4c58d5b6ca,0.4985348,2354,0.4145975,1576,2,0.26948565,269,0.25241366,256,69,17.358324,
26_0,0.2932225,3182,5,0.24089864,2880,2_000032203d6fd1b1704a,0.3247108,4447,0.25405762,3209,-1,0.09552373,1033,0.07365814,915,65,17.487465,
27_0,0.34100196,1521,5,0.2867218,1015,1_0000ae99dff6827ed258,0.42078066,1622,0.30466926,863,1,0.09942242,699,0.08344479,501,65,17.487465,
29_0,0.44069797,1936,5,0.38225925,1439,1_0000cfb00f4c58d5b6ca,0.49645552,2263,0.41032952,1343,2,0.21651873,324,0.2091318,290,71,17.504543,
32_0,0.5114488,2069,5,0.48719057,1632,2_00006d0f711acd01c407,0.71195585,2593,0.56328976,1602,-1,0.6811006,385,0.63746697,332,76,17.117666,
33_0,0.2303012,2496,5,0.20259377,2183,2_00008386bed4efe1dee7,0.3744913,4082,0.20592651,2243,-1,0.12626691,1215,0.10192423,1021,68,17.24272,
34_0,0.41044262,2310,5,0.34149566,1750,2_00006f7018ac42529d67,0.4273323,2417,0.3657312,1655,-1,0.14396726,541,0.13997619,499,60,18.086998,
35_0,0.38129056,1946,5,0.3132112,1489,2_00006f7018ac42529d67,0.39314803,2649,0.32958034,1434,-1,0.13257249,335,0.12701972,308,74,17.215967,
36_0,0.3354223,1756,5,0.264046,1207,1_0000fd1e1df8624658e4,0.29817244,1656,0.26688024,1063,14,0.093471706,265,0.09289329,234,69,17.373732,
37_0,0.38424045,3533,5,0.32078844,3096,2_0000723a125cc4ac9d6d,0.39349508,4827,0.34033883,3493,-1,0.1426369,1199,0.14228985,1032,19,18.086998,
38_0,0.3032885,1442,5,0.25344306,1038,2_0000a56c2d5ccfbd18d6,0.40426013,2180,0.26134148,920,-1,0.14254504,585,0.122105226,417,71,17.140928,
39_0,0.39916354,1687,5,0.34062803,1138,1_000068264f8adf60ce4e,0.4524933,1574,0.36972228,985,9,0.15698157,282,0.15507281,230,68,17.66747,
41_0,0.25805992,2169,5,0.21337423,1626,2_0000bfa7bfe4dda8b373,0.3537432,2639,0.22231136,1547,-1,0.069597974,832,0.058258977,730,72,17.593025,
42_0,0.39988065,1394,5,0.3373954,917,1_00000dbc1c233307415f,0.44042274,1358,0.35659236,776,2,0.11680089,579,0.11427955,437,71,17.270336,
44_0,0.18396729,1700,5,0.12243826,1137,2_0000f21c0ffa55cc4bc2,0.15567382,1626,0.10457681,971,-1,0.03720195,579,0.030931955,445,69,17.358324,
45_0,0.33223304,3871,5,0.25990817,3147,2_00001dbebb53cae1d310,0.34512496,4100,0.27374628,3283,-1,0.08852845,774,0.07498602,675,15,18.581295,
46_0,0.33813757,1373,5,0.3015807,943,1_000037ccc70c3bb660fe,0.45672053,1893,0.3205796,794,7,0.10526833,597,0.09334649,402,72,17.140928,
47_0,0.31607002,1695,5,0.2467324,1156,1_00003b339726e8b65e9d,0.30109623,1809,0.24790572,1007,6,0.02519843,281,0.026651112,230,66,17.52183,
48_0,0.26111382,2031,5,0.20158073,1631,2_0000674c6afe33c3c184,0.2530703,3108,0.1962731,1594,-1,0.09772616,468,0.08601653,397,74,17.117666,
49_0,0.49097383,2470,5,0.45284593,2013,1_000061d734fd406a41ff,0.68427515,3214,0.51866746,2081,5,0.11880074,785,0.11979635,693,54,18.133158,
50_0,0.30499774,1902,5,0.23321654,1068,2_0000558bfe15cc98b87f,0.24085161,1456,0.22777945,574,-1,0.08797677,174,0.07409483,22,54,17.82595,
51_0,0.2926935,2961,5,0.24470484,2695,2_0000cb72de5d62d000d0,0.34952372,4752,0.26211122,2992,-1,0.11763984,1297,0.109567076,1116,55,18.425495,
52_0,0.21978004,1372,5,0.128687,777,1_000001083b5826573f8b,0.07657096,496,0.091470234,550,1,0.0067895316,94,0.00534361,67,68,18.041588,
53_0,0.4535303,1475,5,0.39748183,1018,2_00000a536fc0dd0d6fd9,0.5467193,1940,0.44085577,867,-1,0.46178955,329,0.42392176,232,76,17.117666,
55_0,0.17712295,2199,5,0.1278011,1653,2_00007cd420576a338bc2,0.2009181,2494,0.11199354,1568,-1,0.050327264,742,0.03826212,645,66,17.453926,
56_0,0.60992736,5864,5,0.5405231,4876,2_0000cea8c7af86dd9cfd,0.6761254,5801,0.6050238,5345,-1,0.075313635,976,0.079525664,961,20,18.743303,
57_0,0.3971778,6358,5,0.36010262,6730,2_000090101861d05ee898,0.5142633,10117,0.39560014,7863,-1,0.15844288,1141,0.14672308,1086,50,18.85468,
58_0,0.22267188,1418,5,0.14138596,802,1_0000a21301e68b68a2a9,0.118565544,506,0.11378772,574,1,0.006475201,86,0.004966413,68,70,18.041588,
61_0,0.43796384,2612,5,0.3891207,2213,2_000063aae3cf85c13188,0.54506254,3843,0.432658,2351,-1,0.3828922,1022,0.35032904,802,58,17.7059,
62_0,0.1752041,2185,5,0.13208534,1728,2_00008ee47033d32541ad,0.3003577,3279,0.1327403,1762,-1,0.0902765,1038,0.06544227,783,66,17.328142,
63_0,0.18182938,1448,5,0.1277766,952,1_0000e128869a4b4fb20b,0.17045048,1297,0.11786948,801,11,0.06194442,296,0.051367722,250,66,17.328142,
64_0,0.49295026,5413,5,0.44890308,4963,2_00001e916e1f88f79587,0.59406257,6330,0.5054693,5476,-1,0.13826036,1301,0.1338034,1272,38,17.953033,
65_0,0.392801,2492,5,0.3263412,1984,2_00006f7018ac42529d67,0.39974195,2938,0.34594944,2028,-1,0.12800302,738,0.121062055,626,53,17.785145,
66_0,0.24041864,3172,5,0.20660892,2714,2_0000b764a086a77182c0,0.34692132,3600,0.21778181,2743,-1,0.10210459,987,0.081557915,995,70,17.42122,
67_0,0.35420138,1663,5,0.28774098,1083,2_0000811506e4320aeac7,0.37897998,1309,0.3051741,895,-1,0.18631406,482,0.16566797,340,65,17.648558,
68_0,0.2378498,1966,5,0.17616725,1395,1_0000e9bdabedfd692511,0.28343067,2007,0.17204714,1274,5,0.0530423,338,0.047076896,283,66,17.270336,
69_0,0.38227385,1843,5,0.32460597,1361,2_0000dd4b3c5e75424322,0.422705,2685,0.34681708,1271,-1,0.15790702,453,0.15426302,357,32,20.278599,
70_0,0.5817607,8820,5,0.5657831,9303,2_0000e0fdd196d1e08383,0.858688,13922,0.6733038,11236,-1,0.23238692,2836,0.23348127,2555,4,19.14457,
71_0,0.45057318,6613,5,0.39895844,6488,2_00002b2fc3fbba961bce,0.531925,8579,0.44758186,7545,-1,0.13636847,1295,0.13097239,1336,9,18.37497,
72_0,0.3227275,2920,5,0.26822302,2437,2_0000ab95fd339c6850a9,0.366511,3444,0.2904311,2603,-1,0.1524967,1089,0.13456105,852,55,19.14457,
73_0,0.37737408,1887,5,0.31662744,1440,2_000006120cc1838aecaf,0.40987104,2617,0.33682206,1386,-1,0.2005202,720,0.17777258,561,72,17.38935,
74_0,0.31390816,1553,5,0.24522772,1027,1_0000a061e1a6ea4df388,0.31953493,1524,0.2493682,849,9,0.1402051,374,0.12933959,281,68,17.09529,
