system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.4518971,2266,2,0.3857366,1488,1_0000f51ae57d773ac1b8,0.46843722,1518,0.41335338,1320,8,0.18643187,403,0.19354187,319,52,17.7059,
1_0,0.23886783,2495,2,0.20111847,2078,2_0000841d64b5eaec5dc4,0.33523974,3098,0.2180581,2267,-1,0.11235987,1455,0.09034469,1223,66,17.593025,
2_0,0.46933532,2843,2,0.41140747,2089,1_000001204481c17ea25e,0.531155,2314,0.4504751,2107,12,0.2573074,695,0.2574571,631,58,17.648558,
3_0,0.16747318,2382,2,0.11845159,1914,1_00002a19ca7a4240599e,0.23455898,3087,0.10721317,1924,7,0.03385315,353,0.026475782,335,70,17.745127,
4_0,0.1420316,2135,2,0.090390004,1628,2_0000c8890032c8728187,0.17402318,2540,0.072118945,1577,-1,0.03757631,381,0.027509991,320,71,17.373732,
5_0,0.31301937,2075,2,0.2494787,1361,1_0000e3369643e96011c4,0.29906896,1418,0.25530982,1212,9,0.14334469,602,0.13708895,481,61,17.593025,
6_0,0.23570845,3595,2,0.14903449,2506,2_00003e26ef897dcf256a,0.18658495,2641,0.12135379,2292,-1,0.049119987,428,0.03361153,345,16,17.867538,
7_0,0.41003716,1777,2,0.35192814,1367,1_00003c88a0c16b302fee,0.46219838,2490,0.3660008,1303,7,0.10304237,578,0.097871795,408,73,17.19008,
8_0,0.16643897,1911,2,0.110177904,1331,1_0000fd1e1df8624658e4,0.19698265,1804,0.0945958,1175,14,0.05419263,303,0.041230522,244,74,17.373732,
9_0,0.2016806,1985,2,0.14986666,1386,2_0000c1f05613f14c659d,0.2651361,2378,0.14632657,1319,-1,0.08638385,947,0.068583205,702,53,19.02668,
10_0,0.42360675,2737,2,0.36545438,2099,1_0000b47967ff841fa95a,0.46050397,2784,0.39329568,2115,3,0.1680207,670,0.16210815,602,68,17.52183,
11_0,0.17865488,1919,2,0.1265568,1419,2_00008b266d051f6918ee,0.14876497,2046,0.11284628,1347,-1,0.038903706,1120,0.030360872,910,65,17.298813,
12_0,0.12579735,1484,2,0.07608826,992,1_0000389eac368492a3ff,0.18440971,1982,0.0574675,831,11,0.062283214,569,0.04019514,390,64,17.453926,
13_0,0.46383354,4059,2,0.42347175,3601,2_000089c23151424d2984,0.5932409,4728,0.48529243,4025,-1,0.12732685,1488,0.11222833,1218,23,17.996931,
14_0,0.12091033,1455,2,0.07474247,955,1_00007ae70283aaa1ed8d,0.16052385,1747,0.052549705,760,8,0.039096057,335,0.019490529,227,73,17.38935,
16_0,0.122864224,2026,2,0.07370474,1514,1_0000cfb00f4c58d5b6ca,0.14589265,2153,0.052055262,1420,2,0.02985741,241,0.023755642,227,66,17.270336,
17_0,0.6392034,4948,2,0.5622434,4281,2_00003e222acfc465902b,0.6963121,5570,0.62911785,4711,-1,0.0625944,1510,0.0685388,1261,19,18.743303,
18_0,0.3244185,3423,2,0.2662298,2714,2_00004e5470629b2e0d67,0.37433738,3639,0.2854365,2913,-1,0.14569789,796,0.12962204,705,23,18.91136,
19_0,0.121853285,1609,2,0.07189764,1092,1_00009834eee02bcbdd52,0.1155412,1286,0.052119773,920,13,0.024406716,241,0.017192904,173,72,17.073797,
20_0,0.4176292,4076,2,0.3477683,3347,2_00002c5757f039f06ef3,0.4512506,4453,0.3729505,3587,-1,0.19630517,888,0.17728539,791,9,17.270336,
21_0,0.46491966,2345,2,0.4089377,1531,1_000001204481c17ea25e,0.5262154,1315,0.44613424,1359,12,0.25813067,452,0.25536153,378,64,17.52183,
22_0,0.18385935,1840,2,0.13451244,1314,2_00007e1b348c3debef7f,0.30045158,2848,0.12495649,1161,-1,0.056532294,645,0.043726087,415,66,17.38935,
23_0,0.12533388,1764,2,0.070674784,1143,1_00006f138e2e527590a5,0.10388165,1208,0.04826749,950,14,0.017117685,122,0.010579165,87,67,17.487465,
24_0,0.29711667,2743,2,0.24866,2282,2_0000abbdd0ec1fcd0a08,0.30306646,2870,0.26170754,2506,-1,0.08618155,1560,0.075220466,1315,70,17.785145,
25_0,0.12872475,2076,2,0.07866895,1577,1_0000cfb00f4c58d5b6ca,0.1525116,2265,0.058743156,1492,2,0.031976324,241,0.022407886,229,69,17.358324,
27_0,0.3099393,1500,2,0.25420544,979,1_0000ae99dff6827ed258,0.3860918,1381,0.26415792,814,1,0.055926472,588,0.047258187,435,65,17.487465,
28_0,0.43580604,2946,2,0.3738367,2262,1_00006a3f5827478dacbe,0.46177626,2936,0.40122893,2347,3,0.16629933,594,0.16016226,526,59,18.85468,
29_0,0.12803528,1907,2,0.07694527,1410,1_0000cfb00f4c58d5b6ca,0.14341055,2078,0.05598526,1299,2,0.02937157,257,0.02179641,235,71,17.504543,
30_0,0.283826,2463,2,0.2251054,1823,1_00003a2325e582ed4cc6,0.30466276,2372,0.2305161,1785,9,0.116142884,773,0.10466071,656,70,17.7059,
31_0,0.2842322,2562,2,0.22520736,1916,2_000068f67cd19f274822,0.3032116,2450,0.22910172,1895,-1,0.11221957,725,0.10039729,625,65,17.629845,
32_0,0.13622078,2026,2,0.092216544,1589,2_00006d0f711acd01c407,0.21960042,2458,0.07592535,1539,-1,0.038593877,335,0.025368556,270,76,17.117666,
33_0,0.34518558,1713,2,0.30859554,1395,2_00008386bed4efe1dee7,0.46559614,3260,0.32434237,1403,-1,0.13745143,1071,0.12090455,674,68,17.24272,
34_0,0.21277161,2549,2,0.15754476,1963,2_00006f7018ac42529d67,0.30364427,2524,0.15202896,1906,-1,0.07205,390,0.05791579,374,60,18.086998,
35_0,0.1564416,2285,2,0.10383475,1785,2_00006f7018ac42529d67,0.26489583,2807,0.086942635,1736,-1,0.041988943,371,0.027785782,333,74,17.215967,
36_0,0.14782317,1969,2,0.09321685,1365,1_0000fd1e1df8624658e4,0.16892107,1730,0.07494579,1211,14,0.040816836,360,0.030267887,304,69,17.373732,
37_0,0.22868146,3481,2,0.1670045,3048,2_0000723a125cc4ac9d6d,0.2508792,4755,0.1670045,3456,-1,0.076947205,1241,0.06085756,1081,19,18.086998,
38_0,0.42632514,1612,2,0.3736308,1195,2_0000a56c2d5ccfbd18d6,0.495735,2299,0.3889901,1097,-1,0.107896864,578,0.10348603,393,71,17.140928,
39_0,0.12654819,1779,2,0.07203956,1189,1_000068264f8adf60ce4e,0.09126958,1384,0.049376603,1013,9,0.017424745,165,0.010539794,153,68,17.66747,
40_0,0.4935191,2545,2,0.4322704,1918,2_0000d128ec90a34dfa45,0.5661178,2653,0.4705422,1863,-1,0.4147609,482,0.36610797,394,65,17.725414,
41_0,0.2475597,1784,2,0.18906404,1232,2_0000bfa7bfe4dda8b373,0.31049645,1894,0.18633594,1125,-1,0.073278174,835,0.059510753,659,72,17.593025,
42_0,0.35831106,1707,2,0.30011803,1188,1_00000dbc1c233307415f,0.39282513,1474,0.30830202,1067,2,0.049367186,475,0.043132707,386,71,17.270336,
43_0,0.4417934,2776,2,0.38049766,2063,1_00006a3f5827478dacbe,0.47023344,2427,0.40976095,2080,3,0.16772132,758,0.16233268,671,64,19.02668,
44_0,0.27801296,1828,2,0.22230886,1234,2_0000f21c0ffa55cc4bc2,0.30243903,1436,0.22846296,1097,-1,0.19306104,556,0.16286154,443,69,17.358324,
45_0,0.2989489,3196,2,0.22958896,2494,2_00001dbebb53cae1d310,0.30364552,3087,0.2360553,2605,-1,0.075894356,1096,0.05928608,895,15,18.581295,
46_0,0.44031063,1582,2,0.38333413,1111,1_000037ccc70c3bb660fe,0.48986694,1836,0.40090913,982,7,0.11575505,439,0.10915534,314,72,17.140928,
47_0,0.18754254,1933,2,0.12689795,1354,1_00003b339726e8b65e9d,0.16728094,1554,0.10944071,1194,6,0.029656248,160,0.019840937,135,66,17.52183,
48_0,0.15269247,2195,2,0.11141056,1810,2_0000674c6afe33c3c184,0.30746153,3281,0.09774099,1809,-1,0.043277234,484,0.029471062,390,74,17.117666,
49_0,0.24687603,2433,2,0.19420682,1907,1_000061d734fd406a41ff,0.30639252,2633,0.20263201,1980,5,0.12536222,926,0.10937112,818,54,18.133158,
50_0,0.20222266,2981,2,0.13382685,2314,2_0000558bfe15cc98b87f,0.13224107,2120,0.11796896,2463,-1,0.06322473,839,0.05371,818,54,17.82595,
51_0,0.2628709,2686,2,0.23059162,2360,2_0000cb72de5d62d000d0,0.42720735,4094,0.25009403,2632,-1,0.12123889,1379,0.09715672,1155,55,18.425495,
52_0,0.19160068,1692,2,0.104175515,1074,1_000001083b5826573f8b,0.05208775,817,0.07074825,873,1,0.005877307,205,0.004261044,182,68,18.041588,
53_0,0.12053075,1557,2,0.07562477,1068,2_00000a536fc0dd0d6fd9,0.1864169,1606,0.05728967,907,-1,0.029276038,225,0.0179744,171,76,17.117666,
54_0,0.37991616,3007,2,0.30837566,2241,2_00006d129901bc9b6cd2,0.37874705,2714,0.32026705,2214,-1,0.17056507,793,0.14790452,642,52,19.705618,
55_0,0.19439337,1722,2,0.13469227,1166,2_00007cd420576a338bc2,0.2063209,1693,0.12092485,1035,-1,0.073341615,674,0.05367388,501,66,17.453926,
56_0,0.42253673,6705,2,0.3650082,5920,2_0000cea8c7af86dd9cfd,0.49060613,6830,0.4097967,6422,-1,0.11048349,211,0.10061129,392,20,18.743303,
57_0,0.5211728,4164,2,0.4853894,4132,2_000090101861d05ee898,0.7107883,6769,0.5567925,4967,-1,0.17580014,2464,0.16350086,1933,50,18.85468,
58_0,0.15200223,1777,2,0.080960095,1158,1_0000a21301e68b68a2a9,0.04723896,1006,0.053263213,951,1,0.0063181063,236,0.003452912,202,70,18.041588,
