system:index,blue,blue_1,current_slice,green,green_1,id,nir,nir_1,red,red_1,slice,swir1,swir1_1,swir2,swir2_1,tree_canopy_cover,uncertainty,.geo
0_0,0.18778153,1882,6,0.1238977,1275,1_0000f51ae57d773ac1b8,0.14806996,1585,0.11204972,1146,8,0.04941618,439,0.039473407,380,52,17.7059,
1_0,0.3745135,2773,6,0.3308308,2442,2_0000841d64b5eaec5dc4,0.45037755,3802,0.35212344,2637,-1,0.2595983,891,0.23863941,733,66,17.593025,
2_0,0.5418515,2297,6,0.49737695,1814,1_000001204481c17ea25e,0.6766446,2255,0.56911975,1855,12,0.117884405,887,0.12163527,771,58,17.648558,
3_0,0.73691094,2166,6,0.73358667,1729,1_00002a19ca7a4240599e,1.0048391,2816,0.8384887,1695,7,0.16304508,497,0.16498327,397,70,17.745127,
4_0,0.29250503,1867,6,0.24342768,1401,2_0000c8890032c8728187,0.3269684,2306,0.2457295,1317,-1,0.17301203,484,0.15867634,389,71,17.373732,
5_0,0.24419749,1676,6,0.18821456,1134,1_0000e3369643e96011c4,0.22321767,1544,0.18515612,1022,9,0.10534609,642,0.09051727,510,61,17.593025,
6_0,0.36112434,3720,6,0.27387136,2939,2_00003e26ef897dcf256a,0.33394,3741,0.2582513,2862,-1,0.05966322,690,0.047962278,580,16,17.867538,
7_0,0.24386194,1543,6,0.20469317,1177,1_00003c88a0c16b302fee,0.3835156,2274,0.21663722,1073,7,0.08476898,615,0.06479774,405,73,17.19008,
8_0,0.25826943,1511,6,0.20934273,988,1_0000fd1e1df8624658e4,0.29003456,1211,0.20811287,816,14,0.153012,127,0.13569972,122,74,17.373732,
9_0,0.4297675,2195,6,0.3733068,1707,2_0000c1f05613f14c659d,0.46323088,2895,0.39395744,1677,-1,0.16933505,869,0.16994518,653,53,19.02668,
10_0,0.39949718,1943,6,0.33204108,1424,1_0000b47967ff841fa95a,0.46933475,2270,0.3725862,1358,3,0.08091156,555,0.07978035,474,68,17.52183,
11_0,0.24959329,2315,6,0.20591286,1914,2_00008b266d051f6918ee,0.2912264,3040,0.2058442,1896,-1,0.10211964,852,0.08949676,715,65,17.298813,
12_0,0.11671052,1325,6,0.07804111,880,1_0000389eac368492a3ff,0.17668661,1857,0.062108077,711,11,0.06660023,618,0.042174045,398,64,17.453926,
13_0,0.60286677,6601,6,0.5575807,6079,2_000089c23151424d2984,0.682057,7482,0.6145077,6701,-1,0.15461624,987,0.15016782,1001,23,17.996931,
14_0,0.10760504,1178,6,0.06592109,752,1_00007ae70283aaa1ed8d,0.16366276,1784,0.044261303,549,8,0.04108916,405,0.024435407,234,73,17.38935,
16_0,0.4433307,1799,6,0.41510794,1356,1_0000cfb00f4c58d5b6ca,0.59702355,2146,0.44799638,1249,2,0.29302275,290,0.3089867,233,66,17.270336,
17_0,0.74024737,8195,6,0.65709746,7328,2_00003e222acfc465902b,0.7595424,8401,0.7175943,8027,-1,0.060923286,663,0.06779914,824,19,18.743303,
18_0,0.39203233,4094,6,0.328999,3525,2_00004e5470629b2e0d67,0.42166528,5039,0.3533464,3816,-1,0.21985748,916,0.2160901,746,23,18.91136,
19_0,0.1413647,1498,6,0.09753221,1049,1_00009834eee02bcbdd52,0.16463718,1612,0.082791686,899,13,0.046890423,361,0.037442327,262,72,17.073797,
20_0,0.4045153,4000,6,0.3379395,3427,2_00002c5757f039f06ef3,0.44247022,4692,0.3639738,3674,-1,0.21749584,681,0.2229501,601,9,17.270336,
21_0,0.29995033,1648,6,0.21522835,1072,1_000001204481c17ea25e,0.22785032,1008,0.202785,907,12,0.037032366,461,0.034591325,386,64,17.52183,
22_0,0.46022713,1588,6,0.40512756,1103,2_00007e1b348c3debef7f,0.5005897,2590,0.4285003,949,-1,0.16938198,604,0.17276117,415,66,17.38935,
24_0,0.4395233,3862,6,0.402353,3556,2_0000abbdd0ec1fcd0a08,0.49783567,4600,0.43475682,3914,-1,0.19933155,739,0.16896465,640,70,17.785145,
25_0,0.43399936,1948,6,0.40033332,1496,1_0000cfb00f4c58d5b6ca,0.584536,2310,0.43056872,1408,2,0.24682342,284,0.26845935,236,69,17.358324,
26_0,0.3106875,3171,6,0.28552192,2901,2_000032203d6fd1b1704a,0.4760737,4385,0.32311356,3212,-1,0.14302868,1001,0.11685775,878,65,17.487465,
27_0,0.3416007,1491,6,0.30830055,1029,1_0000ae99dff6827ed258,0.42389038,1684,0.3165341,877,1,0.105252154,730,0.09061474,506,65,17.487465,
28_0,0.4760625,1763,6,0.40181914,1166,1_00006a3f5827478dacbe,0.5088082,1464,0.44290006,1092,3,0.06876589,676,0.07227861,516,59,18.85468,
29_0,0.38423213,1781,6,0.3478673,1347,1_0000cfb00f4c58d5b6ca,0.53275615,2272,0.3650663,1241,2,0.10817964,364,0.105160676,293,71,17.504543,
30_0,0.17700523,1662,6,0.122587875,1140,1_00003a2325e582ed4cc6,0.19861737,1890,0.11300232,1023,9,0.06150231,536,0.046975143,396,70,17.7059,
31_0,0.16414511,1720,6,0.10829885,1197,2_000068f67cd19f274822,0.16628847,2047,0.09520058,1075,-1,0.048225433,510,0.03768728,380,65,17.629845,
32_0,0.23851259,1678,6,0.20401298,1273,2_00006d0f711acd01c407,0.33231115,2335,0.20537364,1185,-1,0.21318655,436,0.19532223,323,76,17.117666,
33_0,0.37496534,2577,6,0.33331287,2255,2_00008386bed4efe1dee7,0.47463667,3924,0.3451501,2305,-1,0.16278067,1324,0.15027192,1114,68,17.24272,
34_0,0.36817288,2596,6,0.31600136,2089,2_00006f7018ac42529d67,0.43724784,3080,0.32961112,2048,-1,0.19974306,568,0.18809244,501,60,18.086998,
35_0,0.26983914,1740,6,0.22377706,1321,2_00006f7018ac42529d67,0.3293544,2544,0.2211257,1220,-1,0.13187909,352,0.11812873,287,74,17.215967,
36_0,0.27080572,1656,6,0.22307919,1164,1_0000fd1e1df8624658e4,0.3052412,1691,0.2234988,1021,14,0.16887939,248,0.150639,209,69,17.373732,
37_0,0.39987767,3527,6,0.34004542,3159,2_0000723a125cc4ac9d6d,0.41715246,4641,0.35750687,3570,-1,0.27625078,1107,0.25575358,942,19,18.086998,
38_0,0.15507936,1385,6,0.11842512,1023,2_0000a56c2d5ccfbd18d6,0.2653806,2209,0.11271905,901,-1,0.06692542,661,0.046954177,437,71,17.140928,
39_0,0.46418664,1477,6,0.41367754,1003,1_000068264f8adf60ce4e,0.5002168,1605,0.43565878,865,9,0.35982347,303,0.32871523,246,68,17.66747,
40_0,0.41074175,1804,6,0.3442881,1266,2_0000d128ec90a34dfa45,0.4601379,1969,0.3673853,1134,-1,0.3069499,305,0.29782742,251,65,17.725414,
41_0,0.3819908,2152,6,0.32550183,1675,2_0000bfa7bfe4dda8b373,0.39687356,2679,0.3328496,1636,-1,0.12767346,758,0.12275935,668,72,17.593025,
