system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
0_0,0.36300063,0.43620905,2472,8,8,0.27601624,0.35105196,2037,1_0000598eda579936f27a,0.29250813,0.41866124,2523,0.27339658,0.38074458,2050,0.05614393,0.069760926,761,0.05334566,0.07162568,627,
1_0,0.26841328,0.32108027,1511,8,-1,0.21165363,0.26325473,1029,2_00003ddc1e06ccc6cbec,0.24544886,0.30995584,1306,0.20850717,0.26373044,901,0.10535622,0.116184995,672,0.09641237,0.10877461,496,
2_0,0.96742916,0.6519812,11926,8,-1,0.93138605,0.5837923,12136,2_00008296d9b23dda57f3,1.1945403,0.69053614,14749,1.0605453,0.630244,14010,0.18370189,0.15958756,1239,0.21474059,0.17159659,1317,
3_0,0.32527226,0.3918277,1651,8,8,0.28845504,0.34716034,1264,1_00004a458e4c7cd4ad80,0.43324256,0.4588952,2013,0.29816487,0.36696923,1100,0.13075139,0.16613758,236,0.1288996,0.15908211,158,
4_0,0.64422494,0.58996236,4493,8,-1,0.61233526,0.5579047,4245,2_00005589f4cb895f5898,0.72543496,0.6339237,4870,0.67766696,0.611452,4657,0.070998944,0.07550826,1086,0.07756692,0.068751015,950,
5_0,0.25439876,0.24449646,1265,8,8,0.20830281,0.2034474,900,1_00008e110e7dafef59c9,0.29825386,0.30550045,1606,0.2039362,0.19977084,728,0.12974523,0.057478826,444,0.11632262,0.04634344,265,
6_0,0.37017837,0.38864237,2234,8,-1,0.30795634,0.33066174,1698,2_0000098526cc83dfe2d0,0.38778514,0.4142703,2240,0.31519926,0.33492625,1505,0.15795614,0.11362397,322,0.14486048,0.10571007,251,
7_0,0.7433388,0.7905232,4778,8,-1,0.67127556,0.7176205,4316,2_0000980dc829ea5ddf79,0.78315485,0.826979,4978,0.7341177,0.7830609,4659,0.073715575,0.101172134,871,0.07995182,0.11299541,709,
8_0,0.11101373,0.10646117,1428,8,9,0.071211495,0.06912103,1071,1_0000ce6d46e12c94e8e1,0.17811546,0.17460775,2343,0.0499492,0.048353,883,0.034248278,0.04024879,510,0.019982588,0.02059817,285,
9_0,0.15151247,0.15739901,1301,8,11,0.11137516,0.117748484,968,1_000012e70a9134fec4f4,0.2028011,0.20603329,1796,0.098698705,0.10643347,826,0.07212608,0.04619801,483,0.062152397,0.03323608,295,
10_0,0.12473455,0.118792824,2320,8,8,0.086825766,0.08509976,2044,1_000031b9ed18748f3a44,0.21943134,0.20719583,3579,0.071653925,0.069120325,2064,0.07616669,0.09059139,785,0.04389857,0.054852076,500,
11_0,0.114153355,0.10972663,1229,8,-1,0.06795094,0.06635455,832,2_000053696eb42e095f8f,0.07786326,0.09365853,1144,0.049785838,0.04918644,747,0.030416245,0.038696654,587,0.020309731,0.027221933,444,
12_0,0.62652713,0.4022647,6432,8,-1,0.5915803,0.36994737,6395,2_00008258441dc94635fd,0.7227681,0.47917613,7854,0.6482545,0.39595422,7116,0.10895725,0.18147424,342,0.111930475,0.14965409,417,
13_0,0.4555375,0.67346215,1431,8,9,0.40842116,0.61490655,1098,1_0000b55607bbdddaea2f,0.4864068,0.7343909,2165,0.427153,0.65285397,1013,0.3405182,0.24466999,335,0.29225504,0.2569759,281,
15_0,0.30833948,0.3454038,2176,8,0,0.26278836,0.31848133,1810,1_000050bae147b6149018,0.3451532,0.42509824,2208,0.28320953,0.35203773,1862,0.10557332,0.11793655,1004,0.09317471,0.104802415,828,
17_0,0.22229378,0.24530365,1463,8,0,0.16891736,0.21344246,1180,1_0000e6f94b83eafe69d1,0.29703924,0.3535374,1817,0.17789052,0.22837125,1138,0.06868627,0.07507611,76,0.056567885,0.06796529,64,
19_0,0.32599062,0.2973058,1641,8,11,0.27568966,0.31311476,1260,1_0000cec9cc92ca7890da,0.3995547,0.44755113,2199,0.2915349,0.3404129,1123,0.08155251,0.06947504,752,0.06777023,0.05318025,497,
20_0,0.30750564,0.29156947,1895,8,8,0.25472274,0.24347495,1556,1_00008e110e7dafef59c9,0.32137525,0.31299174,2060,0.25332147,0.24194425,1440,0.12474221,0.055610456,353,0.114085585,0.048424836,238,
21_0,0.33623323,0.3793426,1571,8,7,0.28286886,0.32756245,1175,1_0000ea223aca181e2a09,0.38978857,0.4300965,2103,0.28918296,0.34132528,1033,0.16219814,0.10685457,426,0.14682594,0.10181008,300,
22_0,0.18975192,0.17724459,1921,8,9,0.14281198,0.13956897,1631,1_00009bddb856dd53a496,0.22434905,0.22775969,2710,0.13035014,0.12860435,1565,0.082438275,0.054563336,546,0.071264595,0.039163597,337,
23_0,0.1999543,0.18020579,1359,8,8,0.15863451,0.14313163,1016,1_000072d81b854abc62c9,0.25018322,0.25615317,2072,0.15043993,0.13099061,848,0.10975958,0.057265624,548,0.09758827,0.04095398,314,
24_0,0.5580057,0.51998395,7497,8,-1,0.5262151,0.5173833,7789,2_000089d8ab7469ca82d2,0.7229511,0.6944975,9717,0.59455353,0.5753632,8883,0.17875943,0.15072496,950,0.15433323,0.12559776,841,
27_0,0.11087631,0.111938596,1566,8,9,0.06800281,0.0701113,1204,1_00001791003e6a8d44a6,0.17967217,0.18081118,2549,0.044806514,0.047814418,1027,0.028797103,0.030554978,510,0.0152163645,0.017135559,297,
29_0,0.22469911,0.18110108,2767,8,-1,0.18489237,0.15487516,2543,2_0000081cdf7ad5133c00,0.26678535,0.2735553,3533,0.19730444,0.17542517,2938,0.13843855,0.23627272,2131,0.09568248,0.15067811,1468,
31_0,0.17484969,0.25372112,1367,8,-1,0.11772358,0.1933571,919,2_0000ee0ce22647be8a2c,0.19371147,0.22887073,1964,0.10548699,0.18219043,723,0.04699318,0.05770965,521,0.03600853,0.045398865,316,
32_0,0.24244756,0.51425505,2310,8,-1,0.19359781,0.45725292,2029,2_000098d4986d8999d4a0,0.30554286,0.54253143,2657,0.20980828,0.48077285,2221,0.12460778,0.17947055,1301,0.1052862,0.19205447,1043,
33_0,0.75588685,0.7513945,8366,8,-1,0.6697612,0.6701063,7672,2_000083ddea39d44ccde6,0.74505544,0.73955685,8145,0.70919603,0.71341175,8242,0.18755205,0.15887186,378,0.1947029,0.16419455,475,
35_0,0.18235183,0.18685137,1826,8,11,0.13722233,0.14548388,1520,1_00005b5c93401e759b9f,0.20718086,0.2262333,2205,0.13262086,0.14253344,1561,0.08931169,0.098856315,870,0.07390016,0.07696714,666,
36_0,0.17096458,0.30512208,1272,8,-1,0.1322687,0.25490797,878,2_0000566225ebedf3c35a,0.27716696,0.34076783,1857,0.12473947,0.25697297,721,0.120290175,0.14173737,762,0.10316135,0.12644072,490,
38_0,0.5742475,0.4227655,1311,8,1,0.5609231,0.3920774,901,1_0000eebf284cb792e696,0.81018746,0.5365864,1212,0.62584317,0.42420036,788,0.13420075,0.10837549,700,0.1267749,0.09733504,521,
39_0,0.33040398,0.32164168,1386,8,1,0.29221725,0.2965511,996,1_0000e2c32cc83e21fd55,0.4131304,0.43195635,1458,0.3081145,0.3154648,907,0.08278694,0.08187344,956,0.07334453,0.06680572,699,
40_0,0.33980757,0.16514081,1952,8,-1,0.2867889,0.116824836,1505,2_000020067735e9ca6727,0.33335873,0.14816436,1810,0.29572517,0.105613016,1452,0.11276249,0.053647075,478,0.10976838,0.041862547,358,
41_0,0.40406546,0.3560596,4600,8,-1,0.34761098,0.31575063,4289,2_000042fb22161bcd3ff0,0.49009663,0.46320954,5305,0.386072,0.35266858,4766,0.2318906,0.1285576,836,0.23279028,0.11628255,727,
