system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
0_0,0.496406,0.4052414,1380,12,8,0.46191704,0.4015073,1174,1_0000598eda579936f27a,0.5058576,0.44591913,1774,0.48839533,0.43831855,1079,0.095354155,0.034480736,675,0.096301116,0.022934189,401,
1_0,0.21819718,0.13728714,993,12,-1,0.18132263,0.1062078,832,2_00003ddc1e06ccc6cbec,0.26077074,0.17568868,2327,0.17750491,0.09361507,614,0.11187148,0.08908176,970,0.089849085,0.05540383,508,
2_0,0.5560126,0.5289414,2820,12,-1,0.52015823,0.48029098,2406,2_00008296d9b23dda57f3,0.59634876,0.5283902,3134,0.5528807,0.49346817,2193,0.35298187,0.14111616,1732,0.34717712,0.15071096,1078,
3_0,0.29447097,0.4918977,883,12,8,0.25584486,0.4690291,689,1_00004a458e4c7cd4ad80,0.36938864,0.54803205,1918,0.26711965,0.4899961,514,0.03382436,0.2974403,711,0.020082384,0.2757324,338,
4_0,0.14040917,0.13198316,807,12,-1,0.1256427,0.11948699,659,2_00005589f4cb895f5898,0.1911721,0.19642806,1848,0.1379566,0.13733515,558,0.256165,0.26691237,2090,0.2231065,0.23644528,1525,
6_0,0.19321078,0.418567,1484,12,-1,0.14835288,0.3884532,1265,2_0000098526cc83dfe2d0,0.24604465,0.45046124,2466,0.13193339,0.40348467,1136,0.049272742,0.2553268,775,0.032206375,0.23944405,407,
7_0,0.39662853,0.09275294,750,12,-1,0.3484077,0.059164833,556,2_0000980dc829ea5ddf79,0.3775333,0.064240366,1764,0.3539324,0.04891424,479,0.15536338,0.08352243,2118,0.1490877,0.06461357,1310,
8_0,0.10167867,0.26300335,1199,12,9,0.07876111,0.21203087,980,1_0000ce6d46e12c94e8e1,0.2041572,0.28978366,2586,0.06297255,0.20876604,755,0.073396385,0.12604341,799,0.035698585,0.10379115,373,
9_0,0.09562153,0.11838685,899,12,11,0.073969916,0.09284192,702,1_000012e70a9134fec4f4,0.18243346,0.20018439,1901,0.06056287,0.078488156,494,0.09574995,0.10915248,864,0.053551137,0.059955247,414,
10_0,0.11540508,0.22947446,1517,12,8,0.0932036,0.20669423,1378,1_000031b9ed18748f3a44,0.23659375,0.30842972,3074,0.08438164,0.2029889,1293,0.113441356,0.18677145,1552,0.060232665,0.13851446,871,
11_0,0.115335375,0.0867858,982,12,-1,0.08324589,0.059878517,777,2_000053696eb42e095f8f,0.13092615,0.13406838,2126,0.07037896,0.0477015,539,0.08176723,0.091425836,1063,0.048847616,0.053912763,531,
12_0,0.13653603,0.42416152,822,12,-1,0.12369909,0.3915112,643,2_00008258441dc94635fd,0.25107706,0.43819627,1779,0.13530974,0.39855295,612,0.2869005,0.22643226,3174,0.18631832,0.21792857,1997,
13_0,0.24294119,0.49226677,906,12,9,0.19033112,0.45753008,727,1_0000b55607bbdddaea2f,0.17616808,0.5223642,2248,0.17415108,0.46798947,504,0.019122876,0.14588568,852,0.014935862,0.14803684,388,
14_0,0.81345725,0.09818639,468,12,-1,0.74576247,0.07263622,344,2_0000978541b57c333688,0.8307155,0.1821081,1816,0.78341925,0.076701015,218,0.2273879,0.21018301,2116,0.2603205,0.12376181,1172,
15_0,0.14645205,0.3971986,912,12,0,0.11774193,0.3600344,730,1_000050bae147b6149018,0.20663556,0.43792647,1738,0.11912355,0.37502736,527,0.20931591,0.26982215,1205,0.14813763,0.20783943,684,
16_0,0.20322095,0.12093412,1062,12,14,0.1690049,0.093944855,859,1_00003335f602399feae9,0.19707681,0.2161666,1964,0.16540033,0.089324616,677,0.07897272,0.15817375,1018,0.06622021,0.09379338,544,
19_0,0.09236338,0.1725349,1285,12,11,0.07756958,0.1470969,1091,1_0000cec9cc92ca7890da,0.19584167,0.23310852,2455,0.08134123,0.14183387,898,0.18721068,0.15998647,992,0.120997325,0.11030441,521,
20_0,0.13145071,0.13572061,1262,12,8,0.1001676,0.10636253,1030,1_00008e110e7dafef59c9,0.19671376,0.16023871,1777,0.099551186,0.09869095,887,0.11650263,0.117171586,824,0.07373876,0.08043376,467,
21_0,0.36777037,0.42961404,989,12,7,0.35904235,0.390199,768,1_0000ea223aca181e2a09,0.500468,0.4676708,2060,0.3919117,0.40390536,547,0.055100553,0.28810516,762,0.034514114,0.26066774,342,
22_0,0.10941384,0.12741423,1334,12,9,0.09459417,0.105914265,1179,1_00009bddb856dd53a496,0.23801364,0.25563812,2420,0.09009947,0.10018555,1063,0.14154452,0.1676721,1120,0.08272816,0.09560351,588,
23_0,0.11259866,0.13522884,974,12,8,0.090895675,0.11002848,792,1_000072d81b854abc62c9,0.21893042,0.23931208,2266,0.081598066,0.098844126,582,0.10371199,0.12247393,877,0.05992077,0.072560444,400,
24_0,0.18196107,0.42869356,-61,12,-1,0.16771519,0.39475188,-268,2_000089d8ab7469ca82d2,0.30573845,0.44063285,1125,0.19495457,0.39955196,-373,0.2319521,0.24594934,3095,0.1450679,0.24105181,1833,
25_0,0.27541232,0.26118636,1031,12,11,0.26165688,0.22471017,803,1_0000464e619212e6a9b0,0.42561713,0.24765289,1965,0.26737452,0.21181878,610,0.12319114,0.09982179,658,0.08109623,0.074730515,313,
27_0,0.1221215,0.2537384,1380,12,9,0.096481845,0.22258882,1163,1_00001791003e6a8d44a6,0.22937094,0.3682169,2685,0.08302236,0.22325525,979,0.06463218,0.068551965,823,0.031609796,0.04215809,420,
29_0,0.1637533,0.12805553,980,12,-1,0.13660187,0.1081791,847,2_0000081cdf7ad5133c00,0.24036051,0.23554513,3124,0.14887783,0.12389479,635,0.2742741,0.3034721,2325,0.18534192,0.19431819,1274,
30_0,0.13034506,0.24792455,995,12,9,0.09416112,0.20927508,805,1_0000e2b10f2e384f3a4e,0.11228072,0.23004454,2355,0.07960468,0.19601326,611,0.028173754,0.11500992,814,0.015329835,0.08542395,384,
31_0,0.28476703,0.57116383,966,12,-1,0.24216557,0.5236063,751,2_0000ee0ce22647be8a2c,0.311008,0.60988414,2348,0.2399109,0.54974467,510,0.093051806,0.32856885,785,0.084556535,0.27298793,354,
33_0,0.82057214,0.4427654,1774,12,-1,0.76823246,0.3876282,1499,2_000083ddea39d44ccde6,0.756984,0.47462124,2665,0.8042801,0.40251622,1467,0.055893097,0.23797606,1997,0.056212,0.17062762,1108,
34_0,0.18914545,0.21493995,1008,12,5,0.15646912,0.1895869,807,1_000027543b4707a4757c,0.23755279,0.26478964,2199,0.14446798,0.18216634,606,0.03214726,0.101656534,767,0.018836081,0.07440208,344,
36_0,0.11537425,0.3851363,889,12,-1,0.08051526,0.35927945,731,2_0000566225ebedf3c35a,0.11303971,0.41657448,2256,0.06308576,0.36579922,511,0.026900316,0.26323617,1015,0.012733875,0.21448597,476,
37_0,0.24698073,0.5143548,1672,12,-1,0.22655119,0.47410816,1489,2_0000e55fb338136b5023,0.33767426,0.54673505,2880,0.23012571,0.49293664,1427,0.079448156,0.3232899,1146,0.054817922,0.26985648,645,
38_0,0.094824344,0.55601907,1084,12,1,0.062936455,0.5367525,847,1_0000eebf284cb792e696,0.08962705,0.6107361,1918,0.051742483,0.55909956,637,0.057776336,0.19993997,986,0.033253677,0.21178977,513,
39_0,0.109156504,0.5659046,1082,12,1,0.086879104,0.534809,872,1_0000e2c32cc83e21fd55,0.23894331,0.6482727,2198,0.08652212,0.5665742,651,0.19976276,0.38955492,1150,0.121123895,0.28447595,625,
40_0,0.1583295,0.6749094,1016,12,-1,0.12860034,0.62368,840,2_000020067735e9ca6727,0.20842966,0.72137445,2041,0.13329299,0.65966344,757,0.093717396,0.39215708,1569,0.06784,0.35386667,935,
42_0,0.2684854,0.08988006,958,12,-1,0.22536717,0.054155257,809,2_0000e4f16a77a51914e3,0.2816202,0.05539237,2707,0.23039171,0.039713856,631,0.12217287,0.040698495,1794,0.106116176,0.021763088,1015,
44_0,0.1264315,0.18559025,1277,12,9,0.10471508,0.1513688,1043,1_0000ce6d46e12c94e8e1,0.2576725,0.2166059,2354,0.09596704,0.13869077,851,0.10748773,0.08566054,769,0.057989493,0.058411825,399,
45_0,0.108131856,0.20324923,968,12,-1,0.07247699,0.16860054,782,2_0000e7608fd7b8065001,0.07473195,0.21013945,2143,0.054623034,0.15402982,607,0.012813461,0.082287535,906,0.00721586,0.061295815,458,
46_0,0.11406968,0.098471805,870,12,-1,0.09138348,0.075689,747,2_0000c338485f0438e392,0.16526692,0.17803979,2798,0.08954406,0.07689197,487,0.14620847,0.19532329,1685,0.101219274,0.13180466,883,
49_0,0.23869169,0.1923154,952,12,-1,0.19866735,0.15626018,746,2_0000a89dee83da4c7929,0.29483724,0.22284096,2379,0.19367197,0.14283979,513,0.11217923,0.09857459,870,0.09089519,0.06318325,404,
50_0,0.4466143,0.3045775,1727,12,-1,0.44226354,0.27432472,1707,2_000090a8a3290e2852fb,0.576155,0.30279937,2946,0.49346438,0.26899034,1821,0.07181377,0.22466078,2329,0.050404936,0.1726754,1528,
51_0,0.59322387,0.45200077,1026,12,1,0.5296252,0.48257515,841,1_0000c520a0082f1ea8b1,0.60695946,0.55500937,2187,0.5523175,0.5057016,680,0.1813478,0.050115705,824,0.20737165,0.040774237,410,
52_0,0.16472776,0.15177806,757,12,-1,0.14947423,0.12920089,626,2_0000d2fe56330cdbbdb8,0.18428756,0.24645469,2405,0.1364776,0.12959087,387,0.18934613,0.24131185,1775,0.12599729,0.18011373,979,
54_0,0.6275156,0.21812181,1711,12,-1,0.588901,0.18683802,1385,2_00007b208d9b5e1428e8,0.5775696,0.2583838,1893,0.6242427,0.19184852,1363,0.03440664,0.17254412,1696,0.022717733,0.13284168,1024,
55_0,0.10726816,0.07736139,738,12,-1,0.083563186,0.044004824,581,2_00001654dc8aa53f3e96,0.16935644,0.038214084,2218,0.076790154,0.028953688,357,0.096182995,0.021655444,1156,0.056602083,0.011940403,532,
57_0,0.33086115,0.57966775,739,12,-1,0.3151099,0.5369829,581,2_0000c9168287a6d5b8c8,0.38458964,0.6241375,1585,0.3278998,0.5651232,574,0.17038614,0.33640468,2604,0.1382153,0.2735274,1766,
59_0,0.13409089,0.5289658,1891,12,-1,0.12707943,0.47288054,1793,2_000052469d17ce038efe,0.25693446,0.5572905,3565,0.14509943,0.49555647,1839,0.2945312,0.28647098,2455,0.18554924,0.26264718,1499,
62_0,0.20236129,0.39069402,897,12,-1,0.17043696,0.35595682,706,2_00005fb71bebe78be04f,0.27318522,0.41632617,2064,0.1617718,0.35532245,519,0.04928784,0.13645776,704,0.03859839,0.12854767,314,
63_0,0.5744127,0.8296761,747,12,-1,0.5239927,0.81228495,583,2_0000ac598f0c19b94afa,0.58674955,0.9686065,1622,0.5454748,0.8789138,628,0.16818294,0.6345167,2493,0.18585676,0.42632023,1605,
64_0,0.12947626,0.09648717,843,12,-1,0.0988143,0.07587445,721,2_00009bec97e724b75bc4,0.17136952,0.18450841,2739,0.09710061,0.07538367,476,0.20071326,0.19049592,1891,0.13561921,0.12014273,1043,
65_0,0.11571589,0.6813287,880,12,-1,0.09626716,0.63077635,774,2_0000a174d3c4718f212c,0.24678463,0.6939919,2561,0.11932354,0.65399635,778,0.315791,0.376535,2852,0.20859241,0.33922252,1801,
66_0,0.26219717,0.62179416,1428,12,-1,0.24039912,0.5775217,1279,2_00001382a8916eab6a2a,0.3904438,0.6717465,2572,0.25255293,0.6065793,1146,0.09884204,0.3352281,1241,0.069888726,0.2760097,686,
68_0,0.13009648,0.25634593,972,12,8,0.10416004,0.21779525,760,1_00006508755c350ad798,0.20917636,0.23718172,2133,0.100072086,0.2041383,565,0.08352691,0.11908478,783,0.044608448,0.08860975,373,
70_0,0.1155064,0.16721237,1024,12,-1,0.09079789,0.12783243,763,2_0000026df1c9c1be8777,0.16685419,0.15174055,1522,0.07830014,0.11104843,594,0.07240349,0.067253955,923,0.045999046,0.050771166,527,
