system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
2_0,0.63157517,0.5560126,5193,11,-1,0.6312752,0.52015823,4666,2_00008296d9b23dda57f3,0.6744162,0.59634876,4862,0.6906466,0.5528807,4769,0.15684377,0.35298187,1301,0.10908262,0.34717712,957,
3_0,0.4352658,0.29447097,1005,11,8,0.38998732,0.25584486,776,1_00004a458e4c7cd4ad80,0.46749955,0.36938864,1830,0.4039143,0.26711965,619,0.22699109,0.03382436,572,0.23921658,0.020082384,276,
4_0,0.47919115,0.14040917,850,11,-1,0.4766571,0.1256427,678,2_00005589f4cb895f5898,0.5365373,0.1911721,1468,0.53064936,0.1379566,649,0.03544531,0.256165,2124,0.027349412,0.2231065,1632,
6_0,0.16759677,0.19321078,1856,11,-1,0.12783267,0.14835288,1557,2_0000098526cc83dfe2d0,0.22258227,0.24604465,2590,0.11092272,0.13193339,1427,0.053082027,0.049272742,654,0.029411554,0.032206375,365,
7_0,0.42152336,0.39662853,1057,11,-1,0.38207486,0.3484077,824,2_0000980dc829ea5ddf79,0.4060607,0.3775333,1739,0.40486416,0.3539324,852,0.058670454,0.15536338,1905,0.055733696,0.1490877,1240,
10_0,0.2113667,0.11540508,1965,11,8,0.1785439,0.0932036,1786,1_000031b9ed18748f3a44,0.36286637,0.23659375,3221,0.17721081,0.08438164,1763,0.09096641,0.113441356,1271,0.048450816,0.060232665,758,
11_0,0.67257786,0.115335375,983,11,-1,0.61652476,0.08324589,742,2_000053696eb42e095f8f,0.7032539,0.13092615,1622,0.65023315,0.07037896,569,0.40918145,0.08176723,933,0.32563177,0.048847616,533,
13_0,0.5195225,0.24294119,999,11,9,0.4912318,0.19033112,794,1_0000b55607bbdddaea2f,0.6318452,0.17616808,2188,0.54391307,0.17415108,614,0.10320248,0.019122876,748,0.07458179,0.014935862,364,
14_0,0.16720915,0.81345725,686,11,-1,0.1290021,0.74576247,494,2_0000978541b57c333688,0.22107682,0.8307155,1499,0.13762458,0.78341925,425,0.23664603,0.2273879,2047,0.16114599,0.2603205,1212,
15_0,0.12788557,0.14645205,1209,11,0,0.09090292,0.11774193,996,1_000050bae147b6149018,0.12312817,0.20663556,1818,0.08085124,0.11912355,876,0.11359089,0.20931591,1238,0.07690237,0.14813763,777,
16_0,0.3918812,0.20322095,1528,11,14,0.360042,0.1690049,1261,1_00003335f602399feae9,0.4106191,0.19707681,2070,0.3721074,0.16540033,1138,0.21614097,0.07897272,883,0.19405158,0.06622021,531,
18_0,0.18849607,0.16203648,1198,11,-1,0.16480514,0.13583012,983,2_00000daf0d1fc2e07d35,0.2411108,0.21131182,1959,0.17010844,0.13556647,927,0.08726795,0.16926037,1520,0.064320564,0.115766704,997,
21_0,0.4202045,0.36777037,1138,11,7,0.37486297,0.35904235,865,1_0000ea223aca181e2a09,0.45256427,0.500468,1881,0.3860802,0.3919117,675,0.21794799,0.055100553,667,0.2291022,0.034514114,328,
22_0,0.3402265,0.10941384,1685,11,9,0.30090094,0.09459417,1507,1_00009bddb856dd53a496,0.3693582,0.23801364,2537,0.30568972,0.09009947,1449,0.15499382,0.14154452,946,0.11405255,0.08272816,533,
25_0,0.16821145,0.27541232,1138,11,11,0.13954608,0.26165688,865,1_0000464e619212e6a9b0,0.28563097,0.42561713,1907,0.13192265,0.26737452,686,0.10176978,0.12319114,581,0.059995826,0.08109623,288,
29_0,0.120705195,0.1637533,1134,11,-1,0.08017129,0.13660187,938,2_0000081cdf7ad5133c00,0.086637154,0.24036051,2510,0.070961505,0.14887783,899,0.070472494,0.2742741,2658,0.0414576,0.18534192,1605,
30_0,0.12888567,0.13034506,1148,11,9,0.106728114,0.09416112,914,1_0000e2b10f2e384f3a4e,0.30001014,0.11228072,2401,0.10644921,0.07960468,752,0.22603801,0.028173754,776,0.13508359,0.015329835,385,
33_0,0.86589104,0.82057214,3671,11,-1,0.7996997,0.76823246,3293,2_000083ddea39d44ccde6,0.76420933,0.756984,3901,0.8281902,0.8042801,3393,0.04491556,0.055893097,1483,0.047770754,0.056212,895,
34_0,0.28733885,0.18914545,1062,11,5,0.25106883,0.15646912,827,1_000027543b4707a4757c,0.35387942,0.23755279,2011,0.25154716,0.14446798,658,0.10595673,0.03214726,607,0.090372175,0.018836081,282,
35_0,0.16991365,0.10712755,1472,11,11,0.14022717,0.08646711,1267,1_00005b5c93401e759b9f,0.23574698,0.23113891,2276,0.14132287,0.08854529,1204,0.106965564,0.22509125,1159,0.07467644,0.13898993,703,
36_0,0.2859445,0.11537425,939,11,-1,0.24280861,0.08051526,737,2_0000566225ebedf3c35a,0.3249842,0.11303971,2120,0.24261956,0.06308576,560,0.12858836,0.026900316,951,0.11812737,0.012733875,472,
37_0,0.4815964,0.24698073,2097,11,-1,0.43585438,0.22655119,1847,2_0000e55fb338136b5023,0.5070703,0.33767426,2913,0.45432475,0.23012571,1838,0.32944065,0.079448156,822,0.29937163,0.054817922,489,
40_0,0.18747798,0.1583295,1315,11,-1,0.15576717,0.12860034,1084,2_000020067735e9ca6727,0.19472364,0.20842966,1784,0.1545938,0.13329299,1053,0.0708726,0.093717396,1357,0.04784487,0.06784,883,
