system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
15_0,0.28586623,0.26430336,1996,5,0,0.23090091,0.2072616,1384,1_000050bae147b6149018,0.34720656,0.2866273,1491,0.25235838,0.21607172,1278,0.14141709,0.12923986,748,0.120192856,0.107363895,642,
40_0,0.15991986,0.38697764,1883,5,-1,0.08914313,0.31278902,1163,2_000020067735e9ca6727,0.0455452,0.37863505,1016,0.062963486,0.32898945,920,0.009162264,0.15717486,230,0.0062816753,0.16172025,155,
65_0,0.28081465,0.39023927,5345,5,-1,0.22408213,0.33881402,5083,2_0000a174d3c4718f212c,0.29372162,0.48983556,7316,0.24377647,0.38303596,5834,0.06085442,0.13399586,918,0.060743727,0.13025291,938,
85_0,0.2775431,0.43088716,4580,5,-1,0.2254678,0.37733135,4274,2_000044bec0b2db7b7229,0.32332158,0.5533555,6357,0.24580851,0.42720345,4872,0.08147352,0.18399978,1054,0.07702251,0.1772578,942,
104_0,0.19609985,0.6999582,8193,5,-1,0.16863704,0.63339394,7426,2_00000b41fc994f1539a5,0.25869077,0.76711917,8688,0.17100833,0.68473357,7825,0.09463085,0.3161121,2831,0.07494366,0.3267432,2733,
127_0,0.22667024,0.2013075,1502,5,6,0.16703305,0.13966328,964,1_00000e0643e441a6d028,0.22048406,0.17841476,1471,0.16112822,0.12877257,784,0.105002835,0.04850977,280,0.09168571,0.043932952,213,
130_0,0.19368544,0.34792477,6930,5,-1,0.12151782,0.28767255,6326,2_00005c27a53c6ff8a5b9,0.110758096,0.45401943,7879,0.105290115,0.31746268,7103,0.022733722,0.11826454,1025,0.021013733,0.09452204,1134,
137_0,0.35025495,0.31946406,1491,5,2,0.27439004,0.24045986,941,1_000025582eae3c7c1fb2,0.33525634,0.26688886,1320,0.282284,0.23947185,756,0.15773009,0.069794856,292,0.13907346,0.06562443,222,
142_0,0.22373596,0.3935302,3168,5,-1,0.15079647,0.32319438,2548,2_0000c9551ee911c6678d,0.16955787,0.42858598,3370,0.13946846,0.3500327,2551,0.043149214,0.15221484,297,0.03709187,0.15050706,298,
150_0,0.28554696,0.5600711,3071,5,-1,0.26994058,0.49180898,2735,2_00002b6cd6eabd9e799a,0.42363304,0.591796,4483,0.28824914,0.52366906,2938,0.12937295,0.2731436,1216,0.09959401,0.27070028,963,
234_0,0.22533602,0.20992413,1520,5,8,0.16353014,0.14457282,942,1_00003d50999ea5f79022,0.18716422,0.15970781,909,0.1554237,0.13375327,750,0.087099954,0.054777443,319,0.076023325,0.050352734,248,
257_0,0.2429513,0.2654233,1951,5,0,0.17204839,0.19927278,1332,1_00006af112204c5cdb10,0.21962798,0.23287067,1539,0.1690941,0.19456908,1215,0.07502335,0.07675249,770,0.06701568,0.06129746,654,
259_0,0.32061797,0.31843328,2124,5,0,0.26417553,0.2596743,1594,1_0000438ef047ef07d59e,0.37340644,0.34284773,2041,0.2906086,0.27863845,1551,0.120192856,0.10728923,927,0.10853119,0.091012925,771,
272_0,0.34885186,0.31692308,1495,5,2,0.27009156,0.23682946,930,1_000025582eae3c7c1fb2,0.33091933,0.26813075,1253,0.27615187,0.23340032,735,0.15700632,0.06954608,272,0.13939369,0.06550397,209,
318_0,0.25532684,0.53719366,2933,5,-1,0.22433469,0.47774917,2615,2_000020324a08238601dd,0.36721846,0.58360106,4117,0.24143001,0.5110396,2790,0.10918944,0.28684664,1154,0.08426337,0.28151447,935,
322_0,0.18682954,0.33179778,7580,5,-1,0.11362091,0.27251616,6967,2_00005c27a53c6ff8a5b9,0.10506281,0.44117755,8519,0.09638217,0.29790124,7833,0.022958066,0.11587536,1028,0.021238081,0.092282176,1218,
336_0,0.32249492,0.54422903,3448,5,-1,0.2967968,0.48838907,3159,2_0000f6e5bafcd580d50b,0.42639035,0.60571444,4835,0.33479252,0.52633846,3530,0.11922605,0.29598197,1335,0.09578892,0.2832779,1081,
350_0,0.21968848,0.4050998,7367,5,-1,0.14520854,0.33543634,6777,2_0000a377aafb05cdaa94,0.18758589,0.4802125,8127,0.1368748,0.36747304,7572,0.045619983,0.16710427,704,0.035300065,0.16044813,894,
373_0,0.15991986,0.38697764,1883,5,-1,0.08914313,0.31278902,1163,2_000020067735e9ca6727,0.0455452,0.37863505,1016,0.062963486,0.32898945,920,0.009162264,0.15717486,230,0.0062816753,0.16172025,155,
407_0,0.28438908,0.30394885,1957,5,0,0.22678046,0.24757907,1414,1_000050bae147b6149018,0.3360891,0.34165314,1833,0.24318454,0.2654233,1371,0.09741374,0.106467955,957,0.08411945,0.0902663,822,
414_0,0.33299807,0.39863658,7524,5,-1,0.26631656,0.33748686,7025,2_00002fc775c0333f2be9,0.36513102,0.47541657,8652,0.2859246,0.36945552,7910,0.06412409,0.1076892,843,0.05620016,0.1035749,1019,
