system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
8950_0,0.28342804,0.3011126,3098,6,1,0.2364423,0.24962306,2711,1_0000c70597bbaa1113ed,0.3881211,0.32858098,3784,0.24659626,0.25170234,2866,0.09592657,0.07075024,1102,0.08230386,0.06046327,887,
8951_0,0.24772817,0.32411182,1386,6,9,0.1879996,0.25892496,898,1_00009bddb856dd53a496,0.23855656,0.31472853,1284,0.18086165,0.2639538,700,0.1001849,0.14906098,367,0.084791616,0.14036214,242,
8953_0,0.35933232,0.50778973,1844,6,1,0.28428704,0.43433112,1342,1_0000dbcad0412cda33c1,0.35305265,0.55955774,2109,0.2940098,0.47360542,1218,0.09387766,0.1607991,394,0.08938135,0.17242523,323,
8955_0,0.42461324,0.20072559,2635,6,-1,0.3708945,0.16169041,2332,2_00004069fff28367ce07,0.4878822,0.30460566,3754,0.39622664,0.16638331,2408,0.22010949,0.13090888,1224,0.20296021,0.10780484,1025,
8959_0,0.49739456,0.36449754,1926,6,-1,0.4221423,0.308434,1397,2_00002af0cf2fab8b0bd2,0.51303864,0.3921067,1731,0.45497626,0.3155335,1277,0.3497344,0.1785018,496,0.27973807,0.16402107,382,
8962_0,0.39970663,0.28277192,1403,6,1,0.33542073,0.1838206,869,1_0000c325ef84992a6b13,0.41067868,0.15917708,973,0.3528729,0.15094161,664,0.15073681,0.0155907925,214,0.14941132,0.014019139,147,
8963_0,0.2997496,0.40292323,1807,6,9,0.23637508,0.343925,1369,1_0000b55607bbdddaea2f,0.33967873,0.44161913,2547,0.24865505,0.36827624,1299,0.13056234,0.1718468,303,0.12395823,0.17022724,269,
8964_0,0.33048588,0.42559707,1892,6,7,0.2660979,0.35017186,1427,1_0000ea223aca181e2a09,0.35590416,0.4246716,2418,0.28128493,0.37082124,1349,0.19261971,0.13263033,335,0.17022507,0.13338228,289,
8965_0,0.59040135,0.5273398,6764,6,-1,0.5372826,0.47406685,6214,2_0000ce7d9fd26cf3c54f,0.68694323,0.6235589,7562,0.60736895,0.5384251,6901,0.05457316,0.06915879,723,0.056720074,0.07211727,719,
8967_0,0.26212466,0.4291254,1418,6,9,0.20044994,0.37012714,962,1_0000137eb22644362dd8,0.29033875,0.4925774,1918,0.20314792,0.40373302,805,0.10566516,0.18717478,274,0.09874235,0.1846876,208,
8968_0,0.3578418,0.36869365,3032,6,-1,0.28817156,0.30967203,2680,2_0000c841ae9460efd059,0.35130334,0.40374672,3706,0.29757106,0.32903457,2844,0.14087246,0.19254357,675,0.13263178,0.17117943,610,
8969_0,0.25154448,0.40309677,1558,6,9,0.18911847,0.3456024,1107,1_00008bec58267a224425,0.2635681,0.4448004,2032,0.19254743,0.37139967,981,0.09964954,0.17497024,559,0.0944374,0.1729458,419,
8970_0,0.34082267,0.3746966,1799,6,1,0.2702281,0.29186773,1299,1_000003e051e069df58cb,0.34050888,0.32691962,1748,0.27732044,0.2967264,1188,0.11909814,0.114525974,378,0.105890885,0.10851047,318,
8972_0,0.45145753,0.46822616,7095,6,-1,0.3834759,0.42039132,7016,2_000090a8a3290e2852fb,0.50750196,0.5978488,9152,0.42380628,0.47794354,7985,0.17130297,0.13933994,1250,0.16921227,0.13274601,1209,
8975_0,0.19580041,0.33120745,1373,6,11,0.1508801,0.30521643,924,1_0000cec9cc92ca7890da,0.2531064,0.45366612,1551,0.15159123,0.33481884,782,0.10921917,0.09797447,707,0.093159266,0.09104754,526,
8976_0,0.29679847,0.31533927,3026,6,-1,0.24445195,0.25914398,2749,2_00003ea3515f8f47e278,0.31899846,0.3033013,3653,0.26356158,0.26735166,3023,0.1369839,0.22352262,791,0.12638846,0.17963886,736,
8977_0,0.41023698,0.46329373,4362,6,-1,0.34826875,0.4188193,3936,2_00007bbeafb1489e4d45,0.4712674,0.5869952,5068,0.38608375,0.4801113,4244,0.13097933,0.10096137,636,0.12679853,0.09934107,564,
8979_0,0.47651097,0.2630604,3225,6,-1,0.40456674,0.20318142,2694,2_0000649a2b53c5aaabc0,0.49661413,0.29298064,3838,0.4342428,0.21097608,2839,0.1944041,0.100561604,886,0.19793871,0.08729123,764,
8980_0,0.37691227,0.42563245,3233,6,-1,0.30462128,0.3754208,2801,2_00006a20697902fb50a4,0.36961952,0.49993554,3831,0.32142437,0.4085909,2894,0.24678233,0.17051671,567,0.2136381,0.1599672,487,
8981_0,0.15116666,0.14918956,1827,6,-1,0.09492694,0.0982254,1340,2_0000e4fbcc68256efaa5,0.11421507,0.13143894,1779,0.08146527,0.08793236,1261,0.081318125,0.07628734,918,0.061223265,0.05985457,688,
8982_0,0.35386044,0.40782356,2566,6,-1,0.28929883,0.3377406,2228,2_0000822b098ee1b635c2,0.3746572,0.38433063,4061,0.3045175,0.34875035,2343,0.18358713,0.26973373,662,0.16418651,0.2488946,584,
8983_0,0.34802246,0.4054104,2267,6,9,0.27431768,0.3415535,1707,1_00004127de6e02eaeda4,0.33147183,0.4387849,2181,0.28327143,0.3674086,1609,0.20139588,0.24044672,318,0.1790417,0.20666733,248,
8984_0,0.1279559,0.24040896,1240,6,7,0.078330636,0.18771538,824,1_00007b8485919da4da28,0.1650342,0.28358942,2009,0.05741775,0.18226907,626,0.034436412,0.051315688,449,0.021333387,0.042015195,263,
8985_0,0.43176445,0.31295758,2915,6,-1,0.36344558,0.25697336,2484,2_0000ff90b4b46d22fb9e,0.46973437,0.34855267,3333,0.39777362,0.27423555,2647,0.25068235,0.15320705,927,0.24468,0.13491987,732,
8986_0,0.5851082,0.7441514,9360,6,-1,0.5326884,0.70208937,9466,2_00000aeb407e8450588f,0.7659812,0.9906693,13066,0.62104785,0.8240911,11162,0.23916334,0.24416775,1947,0.24347588,0.25633925,1938,
8988_0,0.13572507,0.34485853,1332,6,6,0.083802834,0.29809296,905,1_000095e611450759dee0,0.16843274,0.49739838,2072,0.06426999,0.32039183,718,0.038172707,0.09147203,410,0.024944525,0.08194573,245,
8990_0,0.4745199,0.55646706,8077,6,-1,0.3885653,0.46340117,7798,2_0000ef9d5bc3c1c57833,0.56144416,0.5676093,10594,0.4541176,0.50211316,9180,0.11454289,0.18820314,1676,0.11063735,0.19298857,1564,
8991_0,0.12878506,0.27419555,1218,6,9,0.07723561,0.21905719,801,1_0000a95156509e006ca1,0.15047178,0.31697625,1967,0.05566471,0.22421083,607,0.032192424,0.060956962,458,0.020390717,0.056967054,260,
8992_0,0.25086248,0.34588063,1472,6,9,0.19110036,0.27210838,983,1_00009bddb856dd53a496,0.23864032,0.33375397,1414,0.18366869,0.27959007,795,0.09360566,0.15815406,355,0.07991163,0.1520766,252,
8993_0,0.20587488,0.3347092,1448,6,11,0.16824375,0.29230303,989,1_0000cec9cc92ca7890da,0.27841112,0.38257366,1836,0.17576997,0.2966569,817,0.09173699,0.08752703,511,0.07952909,0.077397786,342,
8994_0,0.46728307,0.34069917,2708,6,-1,0.40157306,0.28938586,2301,2_000035a32c73dd55aece,0.49791932,0.33331037,2878,0.4325031,0.298807,2386,0.21183401,0.13905692,732,0.17184919,0.1286723,573,
8997_0,0.39434445,0.29312226,3893,6,-1,0.32768494,0.24639751,3588,2_00001d3bc56e1a7b50cd,0.42150453,0.34461477,5169,0.34489775,0.25483212,3909,0.17049652,0.08864649,813,0.15399675,0.07640488,742,
8998_0,0.38475728,0.31484628,2001,6,-1,0.3164384,0.24989769,1313,2_00005bbf6b68c343dbbc,0.40788993,0.28588188,1028,0.34341526,0.25462765,1077,0.17690067,0.10886214,190,0.1727867,0.093095675,135,
9000_0,0.24147019,0.2438718,1264,6,13,0.18301433,0.18442027,844,1_00009717abce293fc288,0.2419475,0.23372328,1423,0.17718527,0.18192239,684,0.110011905,0.10679588,407,0.089539066,0.096479274,281,
9001_0,0.14260396,0.29625088,1533,6,8,0.08654585,0.23396394,1129,1_000031b9ed18748f3a44,0.17269832,0.34540436,2337,0.068253204,0.24299665,974,0.0341829,0.066831,408,0.021758482,0.061511118,252,
9003_0,0.2874055,0.21963638,2614,6,-1,0.2232834,0.17241307,2271,2_000061d166fd7a8b95c0,0.2646505,0.25016767,3234,0.22260323,0.17386578,2437,0.09751257,0.08901009,827,0.07500491,0.07479101,729,
9004_0,0.39172664,0.48737168,1876,6,-1,0.30630383,0.42247364,1350,2_0000910f393d7bad5716,0.38701317,0.55336875,2292,0.32508525,0.46469787,1236,0.1526443,0.19550395,645,0.1545297,0.18740615,483,
9007_0,0.38934335,0.526101,6730,6,-1,0.31765237,0.4632749,6432,2_0000b2f4851b711478f3,0.40391085,0.641088,8110,0.34516877,0.524841,7261,0.15619594,0.22849156,941,0.15262151,0.21188278,975,
9008_0,0.29528046,0.2917129,1534,6,8,0.23889351,0.22269261,1089,1_00008e110e7dafef59c9,0.32320625,0.2962531,1788,0.24209091,0.22383435,929,0.13126303,0.10445567,331,0.10855659,0.10013689,248,
9010_0,0.28245854,0.2908243,2157,6,-1,0.21553934,0.22808935,1628,2_0000e9a843c40d8234e1,0.27360296,0.2725602,2112,0.2211855,0.22819006,1558,0.10424294,0.10276388,709,0.085855566,0.08382127,501,
9011_0,0.5963415,0.6204633,6644,6,-1,0.5154239,0.52068347,5889,2_0000108ad89052dde922,0.71466887,0.62739146,7032,0.60158515,0.5690378,6462,0.10223239,0.22020125,919,0.10628757,0.22377247,977,
9012_0,0.49050707,0.62732786,7415,6,-1,0.4094538,0.56280917,6702,2_00007f0fdf4f62ac17bb,0.50810885,0.6791321,7870,0.45019338,0.6233066,7397,0.06685828,0.07812029,654,0.065438785,0.08568986,789,
9013_0,0.40953833,0.3073283,1333,6,1,0.35676628,0.2465932,890,1_0000eebf284cb792e696,0.5465443,0.3018598,1487,0.39665556,0.2510776,772,0.19224373,0.09485151,758,0.18408248,0.080915265,597,
