system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
3_0,0.15364882,0.18739077,1843,1,8,0.11415167,0.12215905,1320,1_00004a458e4c7cd4ad80,0.17674747,0.11162809,1695,0.101396695,0.10073608,1172,0.037074387,0.019557472,239,0.03176142,0.018233582,195,
6_0,0.16227935,0.20594746,2077,1,-1,0.115013525,0.14612725,1481,2_0000098526cc83dfe2d0,0.17797837,0.23803598,2148,0.09802033,0.13506225,1322,0.05913855,0.035961263,293,0.047209553,0.031604417,258,
7_0,0.19852294,0.4168171,4125,1,-1,0.14520586,0.31834385,3620,2_0000980dc829ea5ddf79,0.19823146,0.26742768,4941,0.13903375,0.30237362,3989,0.14652249,0.021922223,1457,0.08957333,0.020448955,1111,
8_0,0.093723655,0.22192243,1358,1,9,0.056145564,0.17585227,921,1_0000ce6d46e12c94e8e1,0.1623214,0.25808656,1986,0.03491926,0.1678641,720,0.03181729,0.12578332,337,0.017326683,0.10693401,199,
9_0,0.09726759,0.20184848,1478,1,11,0.06154597,0.14983821,1025,1_000012e70a9134fec4f4,0.13315555,0.19128662,1447,0.0416267,0.1379853,851,0.033891868,0.051098205,268,0.020293532,0.040032666,176,
12_0,0.56785053,0.3278039,6230,1,-1,0.5166799,0.28651735,6028,2_00008258441dc94635fd,0.6095522,0.3183589,7822,0.545565,0.29081568,6725,0.20482598,0.07465512,1456,0.21501228,0.06594536,1303,
13_0,0.11499481,0.21507359,2173,1,9,0.0688957,0.17723766,1775,1_0000b55607bbdddaea2f,0.072024785,0.31287915,3049,0.049012963,0.17833124,1784,0.01302642,0.07423262,324,0.0092530735,0.065263644,322,
14_0,0.12896462,0.1939974,2796,1,-1,0.08430109,0.13933341,2254,2_0000978541b57c333688,0.1697939,0.25904062,2865,0.078394316,0.14455448,2378,0.17528617,0.11171834,1448,0.104922995,0.08234195,1074,
15_0,0.18776463,0.36271924,1888,1,0,0.151309,0.30395022,1312,1_000050bae147b6149018,0.24902278,0.36414123,1338,0.15575258,0.31877542,1215,0.1427264,0.1427264,845,0.12519152,0.12411964,712,
16_0,0.11417824,0.17210664,2050,1,14,0.07258105,0.119266875,1435,1_00003335f602399feae9,0.09528275,0.16059512,1468,0.058305167,0.10806988,1257,0.0722457,0.0984455,644,0.05268494,0.08460651,510,
17_0,0.18274434,0.2973094,1619,1,0,0.15585019,0.2621097,1248,1_0000e6f94b83eafe69d1,0.25795203,0.31772992,2149,0.1548911,0.2623428,1178,0.060981374,0.1600072,599,0.04671509,0.12443449,397,
18_0,0.15169698,0.20548286,1844,1,-1,0.10401751,0.147027,1342,2_00000daf0d1fc2e07d35,0.1321523,0.16294429,1751,0.09119992,0.13654488,1255,0.05605688,0.051800527,823,0.042069025,0.04514521,620,
21_0,0.14190571,0.27536938,2228,1,7,0.10109763,0.24070749,1698,1_0000ea223aca181e2a09,0.20966423,0.36960638,2450,0.085412025,0.24678536,1585,0.037079427,0.13220859,508,0.024590421,0.10049537,399,
22_0,0.1484173,0.20227164,1630,1,9,0.10853716,0.14572471,1155,1_00009bddb856dd53a496,0.21279106,0.17782491,1718,0.09485565,0.13032615,994,0.057512216,0.06295426,476,0.040628657,0.050681837,334,
24_0,0.37038928,0.53395385,6514,1,-1,0.31744918,0.5232646,6656,2_000089d8ab7469ca82d2,0.3714892,0.79558617,9513,0.328305,0.6171491,7843,0.096793786,0.19630906,1861,0.103345536,0.17187648,1601,
25_0,0.08922015,0.11813913,1598,1,11,0.05034002,0.07078308,1087,1_0000464e619212e6a9b0,0.080265656,0.077699624,1320,0.032059863,0.04730027,886,0.020321587,0.016956694,270,0.011877454,0.010430593,171,
26_0,0.21146971,0.20548436,2023,1,-1,0.16410658,0.14861268,1426,2_0000d7116c6c587cb056,0.23372468,0.18502599,1794,0.15340708,0.1383835,1251,0.09463114,0.02779249,378,0.08107844,0.027213478,266,
27_0,0.09558483,0.13239138,1424,1,9,0.057120465,0.085872635,965,1_00001791003e6a8d44a6,0.15890925,0.19450416,1954,0.036337297,0.06453618,762,0.02818356,0.024708131,313,0.015022365,0.015330628,186,
28_0,0.15821576,0.2744763,2237,1,-1,0.11888728,0.23582,1863,2_000069faf0ae61515076,0.18832168,0.36787254,2760,0.11694181,0.25872537,1980,0.14031403,0.11086645,1285,0.097196296,0.09256434,958,
29_0,0.11980483,0.2595147,1824,1,-1,0.089873604,0.22173327,1465,2_0000081cdf7ad5133c00,0.19269477,0.32762498,2657,0.09526842,0.24610327,1639,0.24848114,0.1445376,2719,0.14849725,0.10344028,1707,
30_0,0.094555736,0.14541489,2102,1,9,0.060640007,0.11016279,1702,1_0000e2b10f2e384f3a4e,0.21249522,0.28363433,3302,0.040643185,0.093931206,1644,0.05544362,0.054495715,661,0.030575179,0.034471184,444,
31_0,0.10736272,0.2576361,2056,1,-1,0.06491031,0.19459388,1488,2_0000ee0ce22647be8a2c,0.11967376,0.25399125,2170,0.04936036,0.19310895,1370,0.049105145,0.09334836,582,0.03465687,0.08092891,396,
32_0,0.10544642,0.21708402,2124,1,-1,0.07347549,0.1711829,1616,2_000098d4986d8999d4a0,0.15120786,0.2610126,2061,0.07148007,0.17608754,1626,0.18694791,0.10971485,1220,0.12965742,0.09190884,929,
33_0,0.4249986,0.5014523,5834,1,-1,0.3840349,0.43236518,5125,2_000083ddea39d44ccde6,0.56398267,0.6597511,6311,0.42207265,0.4923237,5619,0.23025213,0.10055325,875,0.20926385,0.09495159,769,
34_0,0.21826425,0.34622294,1977,1,5,0.17952761,0.3003393,1545,1_000027543b4707a4757c,0.25504017,0.41808096,2458,0.1749366,0.31960583,1460,0.04748825,0.17219886,363,0.04294506,0.14844467,288,
35_0,0.30512142,0.15232624,1582,1,11,0.2608719,0.1095733,1128,1_00005b5c93401e759b9f,0.31926888,0.17029688,1450,0.26482442,0.09927301,1040,0.13152154,0.09247622,882,0.12159006,0.0737831,669,
