system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
1_0,0.32108027,0.12414762,1454,9,-1,0.26325473,0.081143394,1028,2_00003ddc1e06ccc6cbec,0.30995584,0.13142744,1497,0.26373044,0.06605107,894,0.116184995,0.075390555,735,0.10877461,0.051171828,513,
2_0,0.6519812,1.0872462,10640,9,-1,0.5837923,1.0499654,10542,2_00008296d9b23dda57f3,0.69053614,1.1203539,12009,0.630244,1.1564622,11899,0.15958756,0.05421401,1081,0.17159659,0.054076057,1130,
3_0,0.3918277,0.266651,1440,9,8,0.34716034,0.22540504,1103,1_00004a458e4c7cd4ad80,0.4588952,0.36706278,1889,0.36696923,0.23076269,940,0.16613758,0.06908958,288,0.15908211,0.054395016,158,
5_0,0.24449646,0.2968096,1255,9,8,0.2034474,0.26300973,913,1_00008e110e7dafef59c9,0.30550045,0.37855685,1633,0.19977084,0.26946557,745,0.057478826,0.12702267,496,0.04634344,0.10524763,275,
6_0,0.38864237,0.16002846,2253,9,-1,0.33066174,0.12084596,1778,2_0000098526cc83dfe2d0,0.4142703,0.21222967,2418,0.33492625,0.10404372,1595,0.11362397,0.048295967,398,0.10571007,0.03074407,275,
7_0,0.7905232,0.77639824,3266,9,-1,0.7176205,0.7065336,2918,2_0000980dc829ea5ddf79,0.826979,0.79923284,3523,0.7830609,0.7602649,3140,0.101172134,0.122066244,1164,0.11299541,0.122339055,843,
8_0,0.10646117,0.1005061,1548,9,9,0.06912103,0.06854786,1215,1_0000ce6d46e12c94e8e1,0.17460775,0.19518547,2476,0.048353,0.048782088,1037,0.04024879,0.053449847,583,0.02059817,0.025545694,325,
10_0,0.118792824,0.10699268,2392,9,8,0.08509976,0.07293844,2142,1_000031b9ed18748f3a44,0.20719583,0.14812142,3513,0.069120325,0.058357097,2162,0.09059139,0.063025504,817,0.054852076,0.034325894,521,
11_0,0.10972663,0.18806466,1113,9,-1,0.06635455,0.14108282,768,2_000053696eb42e095f8f,0.09365853,0.19856663,1129,0.04918644,0.13097411,688,0.038696654,0.062018324,684,0.027221933,0.049487993,495,
12_0,0.4022647,0.39022344,4966,9,-1,0.36994737,0.3569372,4916,2_00008258441dc94635fd,0.47917613,0.49710536,6149,0.39595422,0.39398,5400,0.18147424,0.19102852,1163,0.14965409,0.14026615,899,
13_0,0.67346215,0.66645586,1281,9,9,0.61490655,0.6344173,995,1_0000b55607bbdddaea2f,0.7343909,0.76709056,2107,0.65285397,0.6948272,893,0.24466999,0.06597566,422,0.2569759,0.055962034,286,
14_0,0.45558953,0.40990067,2778,9,-1,0.39689317,0.34901178,2327,2_0000978541b57c333688,0.53620255,0.3566097,2758,0.4296422,0.35471022,2433,0.12805714,0.051954277,1335,0.117392704,0.03573835,958,
15_0,0.3454038,0.2976501,1975,9,0,0.31848133,0.26522645,1669,1_000050bae147b6149018,0.42509824,0.33189207,2185,0.35203773,0.28195748,1703,0.11793655,0.115304515,1126,0.104802415,0.09354223,857,
16_0,0.41373923,0.4183076,2528,9,14,0.3678388,0.40297106,2119,1_00003335f602399feae9,0.50914466,0.5168695,2639,0.4021175,0.43624714,2113,0.11176698,0.08301429,698,0.109674595,0.071758114,538,
