system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
3_0,0.4017664,0.32527226,1815,7,8,0.32749805,0.28845504,1386,1_00004a458e4c7cd4ad80,0.3903138,0.43324256,2136,0.34195837,0.29816487,1236,0.1378939,0.13075139,255,0.13818312,0.1288996,204,
4_0,0.4745987,0.64422494,6052,7,-1,0.40217876,0.61233526,5773,2_00005589f4cb895f5898,0.44775477,0.72543496,6742,0.41888285,0.67766696,6380,0.09403271,0.070998944,752,0.09483434,0.07756692,742,
5_0,0.33208,0.25439876,1281,7,8,0.27575627,0.20830281,885,1_00008e110e7dafef59c9,0.3409585,0.29825386,1535,0.28161535,0.2039362,709,0.16395202,0.12974523,396,0.15440881,0.11632262,257,
7_0,0.71603376,0.7433388,6128,7,-1,0.6504505,0.67127556,5523,2_0000980dc829ea5ddf79,0.77203673,0.78315485,6361,0.71792614,0.7341177,5996,0.07185174,0.073715575,736,0.08066319,0.07995182,703,
8_0,0.25110143,0.11101373,1297,7,9,0.19604033,0.071211495,911,1_0000ce6d46e12c94e8e1,0.28220418,0.17811546,2197,0.19065273,0.0499492,712,0.05249317,0.034248278,445,0.04491838,0.019982588,250,
9_0,0.20863974,0.15151247,1410,7,11,0.15174074,0.11137516,1032,1_000012e70a9134fec4f4,0.16454428,0.2028011,1737,0.13791272,0.098698705,899,0.046640363,0.07212608,381,0.03417719,0.062152397,267,
10_0,0.22950518,0.12473455,2165,7,8,0.18277973,0.086825766,1869,1_000031b9ed18748f3a44,0.28813812,0.21943134,3592,0.17815644,0.071653925,1885,0.08421521,0.07616669,843,0.06363094,0.04389857,536,
11_0,0.30013978,0.114153355,1350,7,-1,0.25104153,0.06795094,903,2_000053696eb42e095f8f,0.31839153,0.07786326,1215,0.25771248,0.049785838,782,0.11767571,0.030416245,499,0.1135664,0.020309731,373,
12_0,0.4738023,0.62652713,7310,7,-1,0.40688232,0.5915803,7232,2_00008258441dc94635fd,0.47221547,0.7227681,8959,0.43418655,0.6482545,8161,0.08902601,0.10895725,-114,0.0853052,0.111930475,164,
13_0,0.40997988,0.4555375,1590,7,9,0.35306394,0.40842116,1208,1_0000b55607bbdddaea2f,0.4586245,0.4864068,2337,0.38013372,0.427153,1129,0.17716822,0.3405182,346,0.17473888,0.29225504,311,
15_0,0.30333623,0.30833948,2192,7,0,0.25727034,0.26278836,1757,1_000050bae147b6149018,0.36919564,0.3451532,2048,0.2843366,0.28320953,1786,0.12571114,0.10557332,884,0.110162996,0.09317471,765,
17_0,0.27126786,0.22229378,1471,7,0,0.22889394,0.16891736,1130,1_0000e6f94b83eafe69d1,0.31321487,0.29703924,1552,0.22932088,0.17789052,1065,0.07338054,0.06868627,-4,0.06473498,0.056567885,39,
19_0,0.29460117,0.32599062,1474,7,11,0.25673637,0.27568966,1063,1_0000cec9cc92ca7890da,0.3921632,0.3995547,1995,0.27550462,0.2915349,908,0.08727504,0.08155251,701,0.07441633,0.06777023,467,
20_0,0.34755272,0.30750564,1783,7,8,0.28524107,0.25472274,1356,1_00008e110e7dafef59c9,0.32248855,0.32137525,1698,0.286353,0.25332147,1202,0.15685457,0.12474221,299,0.1488336,0.114085585,221,
21_0,0.43369487,0.33623323,1713,7,7,0.35994706,0.28286886,1294,1_0000ea223aca181e2a09,0.43895844,0.38978857,2312,0.38238955,0.28918296,1181,0.14090165,0.16219814,382,0.14281042,0.14682594,299,
22_0,0.3358788,0.18975192,1787,7,9,0.27230173,0.14281198,1420,1_00009bddb856dd53a496,0.34659326,0.22434905,2419,0.27816746,0.13035014,1314,0.14928617,0.082438275,495,0.14201279,0.071264595,321,
23_0,0.30498576,0.1999543,1512,7,8,0.24866726,0.15863451,1124,1_000072d81b854abc62c9,0.32637027,0.25018322,2061,0.25137955,0.15043993,978,0.14355084,0.10975958,450,0.1333368,0.09758827,303,
24_0,0.46274927,0.5580057,9336,7,-1,0.45038304,0.5262151,9728,2_000089d8ab7469ca82d2,0.77967536,0.7229511,12404,0.5490394,0.59455353,11247,0.24010214,0.17875943,1076,0.2158074,0.15433323,1045,
27_0,0.2524727,0.11087631,1364,7,9,0.20016053,0.06800281,969,1_00001791003e6a8d44a6,0.2884373,0.17967217,2311,0.19733433,0.044806514,772,0.05430711,0.028797103,424,0.051203847,0.0152163645,234,
29_0,0.23586439,0.22469911,3265,7,-1,0.17808552,0.18489237,3055,2_0000081cdf7ad5133c00,0.19159034,0.26678535,4300,0.17383125,0.19730444,3472,0.06331929,0.13843855,1677,0.05204054,0.09568248,1198,
32_0,0.24244756,0.24244756,2598,7,-1,0.19359781,0.19359781,2240,2_000098d4986d8999d4a0,0.30554286,0.30554286,2966,0.20980828,0.20980828,2403,0.12460778,0.12460778,1148,0.1052862,0.1052862,947,
35_0,0.293204,0.18235183,1749,7,11,0.2361886,0.13722233,1391,1_00005b5c93401e759b9f,0.31266296,0.20718086,2065,0.2447723,0.13262086,1390,0.14476915,0.08931169,828,0.131963,0.07390016,647,
36_0,0.2676322,0.17096458,1400,7,-1,0.20591539,0.1322687,967,2_0000566225ebedf3c35a,0.24704064,0.27716696,1910,0.20227139,0.12473947,809,0.09775197,0.120290175,726,0.08427492,0.10316135,508,
38_0,0.326483,0.5742475,1356,7,1,0.26910824,0.5609231,926,1_0000eebf284cb792e696,0.34103054,0.81018746,1386,0.27978575,0.62584317,808,0.08164771,0.13420075,761,0.07216537,0.1267749,574,
39_0,0.3684982,0.33040398,1373,7,1,0.3109583,0.29221725,955,1_0000e2c32cc83e21fd55,0.41148034,0.4131304,1395,0.32924128,0.3081145,855,0.14011839,0.08278694,890,0.13457324,0.07334453,668,
40_0,0.15770048,0.33980757,1933,7,-1,0.09117625,0.2867889,1401,2_000020067735e9ca6727,0.08386442,0.33335873,1638,0.06888066,0.29572517,1289,0.030785667,0.11276249,335,0.022013705,0.10976838,242,
41_0,0.30339202,0.40406546,4669,7,-1,0.2546079,0.34761098,4286,2_000042fb22161bcd3ff0,0.4068697,0.49009663,5796,0.2872983,0.386072,4791,0.1158623,0.2318906,868,0.09744252,0.23279028,758,
42_0,0.23977149,0.25331405,3006,7,-1,0.17703107,0.19444174,2472,2_0000e4f16a77a51914e3,0.26780978,0.2910441,3526,0.17332196,0.19449796,2552,0.09084158,0.09755824,654,0.0755651,0.08001462,569,
43_0,0.34052297,0.2720968,2708,7,-1,0.2883743,0.2361157,2380,2_000035a32c73dd55aece,0.33381206,0.28930026,2979,0.2981077,0.2449178,2595,0.13827892,0.084358186,1121,0.12667328,0.063790575,828,
44_0,0.2580902,0.11921259,1448,7,9,0.2002751,0.077697664,1059,1_0000ce6d46e12c94e8e1,0.28074914,0.17203471,2240,0.1957443,0.05771689,879,0.051982068,0.035192102,456,0.04507087,0.0215218,269,
46_0,0.28103307,0.22345011,2575,7,-1,0.23290089,0.19232158,2334,2_0000c338485f0438e392,0.33851114,0.3338107,4021,0.24132021,0.20462498,2522,0.13247758,0.115448445,1278,0.117718406,0.0909804,921,
48_0,0.26423272,0.12020977,1329,7,-1,0.20464493,0.08407365,987,2_0000e06aae64e3bdafe8,0.24305691,0.27490896,2342,0.19818823,0.06376423,836,0.082842894,0.047448635,515,0.06949172,0.0282685,312,
