system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
1_0,0.2695463,0.16842663,1748,3,-1,0.206464,0.10242044,1020,2_00003ddc1e06ccc6cbec,0.23564914,0.08519402,792,0.20216082,0.08058894,782,0.1201148,0.048609193,410,0.10713773,0.03411171,324,
2_0,0.48884094,0.42987046,4388,3,-1,0.38926238,0.30096334,2957,2_00008296d9b23dda57f3,0.396174,0.20663731,1898,0.391464,0.2661507,2537,0.09183595,0.020455305,321,0.08832804,0.016673,375,
3_0,0.16002686,0.3051503,2110,3,8,0.108592115,0.2495279,1538,1_00004a458e4c7cd4ad80,0.19967161,0.38772434,1999,0.09521632,0.26128763,1454,0.041988943,0.15287095,334,0.033232626,0.13648808,308,
4_0,0.54827183,0.6601859,4893,3,-1,0.47775298,0.6165843,4453,2_00005589f4cb895f5898,0.53522664,0.7568651,5754,0.5010632,0.6923929,4973,0.17795701,0.129565,1231,0.15779564,0.14129877,1168,
5_0,0.121973515,0.24165854,1697,3,8,0.06991384,0.18002707,1107,1_00008e110e7dafef59c9,0.095462754,0.20110558,1078,0.048212294,0.17046891,908,0.023805564,0.07492036,156,0.014668071,0.07020594,133,
6_0,0.18044795,0.1779779,2576,3,-1,0.117376566,0.11197172,1867,2_0000098526cc83dfe2d0,0.1983442,0.20569369,2635,0.100336954,0.087667115,1775,0.038413443,0.040848773,313,0.029135684,0.027459921,287,
7_0,0.5642049,0.5481198,6329,3,-1,0.49743143,0.48321766,5547,2_0000980dc829ea5ddf79,0.61818177,0.60213685,7002,0.5547436,0.53655744,6168,0.06411882,0.070031084,1120,0.06874735,0.07565545,1145,
8_0,0.11624232,0.11204083,1572,3,9,0.06902045,0.06702488,1049,1_0000ce6d46e12c94e8e1,0.16141519,0.11230352,2087,0.045384124,0.04604744,856,0.028124452,0.021010816,288,0.015504355,0.012335092,217,
9_0,0.1386254,0.30617622,1757,3,11,0.08536342,0.24730055,1238,1_000012e70a9134fec4f4,0.13453756,0.3139484,1613,0.066667624,0.25127658,1094,0.024286486,0.12206687,222,0.016351294,0.1183636,186,
10_0,0.12679887,0.11301961,2130,3,8,0.08198902,0.07012656,1714,1_000031b9ed18748f3a44,0.21494159,0.14404826,3256,0.06338809,0.052516516,1700,0.06835802,0.04407182,660,0.04082513,0.026795074,490,
11_0,0.38438684,0.13545553,1510,3,-1,0.32136387,0.0791223,930,2_000053696eb42e095f8f,0.37480092,0.0659837,943,0.33041036,0.055403046,709,0.12816757,0.014857012,249,0.13087596,0.010399904,191,
13_0,0.1767996,0.37454307,2348,3,9,0.122922584,0.33350417,1860,1_0000b55607bbdddaea2f,0.2999558,0.5414394,3341,0.11152216,0.37180233,1869,0.05622276,0.19084169,464,0.038785696,0.19120231,400,
14_0,0.2288482,0.24246399,4291,3,-1,0.16956072,0.17694163,3572,2_0000978541b57c333688,0.30319634,0.30869004,4678,0.18050723,0.18319674,3926,0.10542445,0.114077695,1181,0.07824183,0.082880296,1020,
15_0,0.32829708,0.28586623,2006,3,0,0.26895627,0.23090091,1292,1_000050bae147b6149018,0.35206684,0.34241167,1255,0.28668293,0.25235838,1127,0.1382514,0.12938078,750,0.11867339,0.113227144,641,
16_0,0.28512505,0.14163545,2306,3,14,0.22794415,0.08369811,1502,1_00003335f602399feae9,0.27011177,0.07938872,1434,0.23083809,0.063103914,1275,0.116686076,0.046618767,514,0.11272314,0.037483014,474,
17_0,0.67915136,0.22230986,1916,3,0,0.61777484,0.16202341,1490,1_0000e6f94b83eafe69d1,0.7328825,0.24236657,2538,0.66214985,0.1559192,1440,0.2557176,0.041101735,642,0.2655015,0.037613608,453,
18_0,0.19166526,0.16162613,2237,3,-1,0.1337406,0.10464471,1597,2_00000daf0d1fc2e07d35,0.1789764,0.139638,1890,0.12238407,0.088555835,1515,0.07778271,0.07193066,711,0.061033417,0.05383068,606,
19_0,0.12578642,0.120491706,1543,3,11,0.078014545,0.07498899,1031,1_0000cec9cc92ca7890da,0.163916,0.10916629,1845,0.061063234,0.05803437,875,0.06943292,0.038734253,547,0.04899379,0.027877936,411,
20_0,0.18617643,0.27938333,2057,3,8,0.11145337,0.2025813,1283,1_00008e110e7dafef59c9,0.0637821,0.19547239,901,0.07905134,0.18643747,986,0.007093569,0.073102094,135,0.004809195,0.068419695,106,
21_0,0.14196265,0.30598235,2596,3,7,0.08983842,0.24589968,2019,1_0000ea223aca181e2a09,0.18677844,0.34828973,2798,0.06977474,0.25434676,2000,0.02992315,0.116277955,424,0.021580517,0.11166368,400,
