system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
1_0,0.13658369,0.2695463,1759,2,-1,0.07842323,0.206464,1048,2_00003ddc1e06ccc6cbec,0.07289073,0.23564914,799,0.058782842,0.20216082,824,0.048616868,0.1201148,458,0.036307044,0.10713773,352,
2_0,0.62082785,0.48884094,4281,2,-1,0.4632727,0.38926238,2867,2_00008296d9b23dda57f3,0.5949011,0.396174,1552,0.51281023,0.391464,2383,0.08228381,0.09183595,486,0.0914193,0.08832804,456,
3_0,0.18739077,0.16002686,2033,2,8,0.12215905,0.108592115,1467,1_00004a458e4c7cd4ad80,0.11162809,0.19967161,1848,0.10073608,0.09521632,1354,0.019557472,0.041988943,273,0.018233582,0.033232626,249,
5_0,0.31795052,0.121973515,1630,2,8,0.2666456,0.06991384,1070,1_00008e110e7dafef59c9,0.33053735,0.095462754,1082,0.26669618,0.048212294,864,0.19017473,0.023805564,184,0.17497209,0.014668071,134,
6_0,0.20594746,0.18044795,2435,2,-1,0.14612725,0.117376566,1758,2_0000098526cc83dfe2d0,0.23803598,0.1983442,2467,0.13506225,0.100336954,1631,0.035961263,0.038413443,292,0.031604417,0.029135684,272,
7_0,0.4168171,0.5642049,5299,2,-1,0.31834385,0.49743143,4646,2_0000980dc829ea5ddf79,0.26742768,0.61818177,6044,0.30237362,0.5547436,5155,0.021922223,0.06411882,1267,0.020448955,0.06874735,1137,
8_0,0.22192243,0.11624232,1538,2,9,0.17585227,0.06902045,1042,1_0000ce6d46e12c94e8e1,0.25808656,0.16141519,2069,0.1678641,0.045384124,847,0.12578332,0.028124452,300,0.10693401,0.015504355,210,
9_0,0.20184848,0.1386254,1671,2,11,0.14983821,0.08536342,1170,1_000012e70a9134fec4f4,0.19128662,0.13453756,1548,0.1379853,0.066667624,1011,0.051098205,0.024286486,230,0.040032666,0.016351294,174,
13_0,0.21507359,0.1767996,2346,2,9,0.17723766,0.122922584,1893,1_0000b55607bbdddaea2f,0.31287915,0.2999558,3282,0.17833124,0.11152216,1914,0.07423262,0.05622276,375,0.065263644,0.038785696,359,
14_0,0.1939974,0.2288482,3489,2,-1,0.13933341,0.16956072,2849,2_0000978541b57c333688,0.25904062,0.30319634,3668,0.14455448,0.18050723,3086,0.11171834,0.10542445,1351,0.08234195,0.07824183,1087,
15_0,0.36271924,0.32829708,2008,2,0,0.30395022,0.26895627,1333,1_000050bae147b6149018,0.36414123,0.35206684,1287,0.31877542,0.28668293,1196,0.1427264,0.1382514,785,0.12411964,0.11867339,678,
16_0,0.17210664,0.28512505,2240,2,14,0.119266875,0.22794415,1501,1_00003335f602399feae9,0.16059512,0.27011177,1411,0.10806988,0.23083809,1284,0.0984455,0.116686076,541,0.08460651,0.11272314,481,
17_0,0.2973094,0.67915136,1852,2,0,0.2621097,0.61777484,1448,1_0000e6f94b83eafe69d1,0.31772992,0.7328825,2532,0.2623428,0.66214985,1395,0.1600072,0.2557176,651,0.12443449,0.2655015,442,
