system:index,blue,blue_1,blue_2,current_slice,found_slice,green,green_1,green_2,id,nir,nir_1,nir_2,red,red_1,red_2,swir1,swir1_1,swir1_2,swir2,swir2_1,swir2_2,.geo
2_0,1.0872462,0.63157517,8100,10,-1,1.0499654,0.6312752,7695,2_00008296d9b23dda57f3,1.1203539,0.6744162,8176,1.1564622,0.6906466,8373,0.05421401,0.15684377,1066,0.054076057,0.10908262,975,
3_0,0.266651,0.4352658,1208,10,8,0.22540504,0.38998732,927,1_00004a458e4c7cd4ad80,0.36706278,0.46749955,1818,0.23076269,0.4039143,770,0.06908958,0.22699109,413,0.054395016,0.23921658,205,
6_0,0.16002846,0.16759677,2137,10,-1,0.12084596,0.12783267,1744,2_0000098526cc83dfe2d0,0.21222967,0.22258227,2568,0.10404372,0.11092272,1589,0.048295967,0.053082027,517,0.03074407,0.029411554,317,
7_0,0.77639824,0.42152336,1934,10,-1,0.7065336,0.38207486,1658,2_0000980dc829ea5ddf79,0.79923284,0.4060607,2352,0.7602649,0.40486416,1777,0.122066244,0.058670454,1548,0.122339055,0.055733696,1052,
10_0,0.10699268,0.2113667,2289,10,8,0.07293844,0.1785439,2069,1_000031b9ed18748f3a44,0.14812142,0.36286637,3386,0.058357097,0.17721081,2080,0.063025504,0.09096641,990,0.034325894,0.048450816,619,
11_0,0.18806466,0.67257786,1026,10,-1,0.14108282,0.61652476,736,2_000053696eb42e095f8f,0.19856663,0.7032539,1274,0.13097411,0.65023315,623,0.062018324,0.40918145,800,0.049487993,0.32563177,523,
13_0,0.66645586,0.5195225,1132,10,9,0.6344173,0.4912318,890,1_0000b55607bbdddaea2f,0.76709056,0.6318452,2128,0.6948272,0.54391307,754,0.06597566,0.10320248,581,0.055962034,0.07458179,321,
14_0,0.40990067,0.16720915,1502,10,-1,0.34901178,0.1290021,1191,2_0000978541b57c333688,0.3566097,0.22107682,1788,0.35471022,0.13762458,1199,0.051954277,0.23664603,1762,0.03573835,0.16114599,1135,
15_0,0.2976501,0.12788557,1613,10,0,0.26522645,0.09090292,1357,1_000050bae147b6149018,0.33189207,0.12312817,2016,0.28195748,0.08085124,1325,0.115304515,0.11359089,1214,0.09354223,0.07690237,841,
16_0,0.4183076,0.3918812,2075,10,14,0.40297106,0.360042,1737,1_00003335f602399feae9,0.5168695,0.4106191,2345,0.43624714,0.3721074,1678,0.08301429,0.21614097,764,0.071758114,0.19405158,527,
18_0,0.32237515,0.18849607,1494,10,-1,0.27121916,0.16480514,1227,2_00000daf0d1fc2e07d35,0.34322175,0.2411108,1857,0.2752035,0.17010844,1255,0.11504758,0.08726795,1318,0.1022408,0.064320564,949,
21_0,0.3990271,0.4202045,1305,10,7,0.37347436,0.37486297,977,1_0000ea223aca181e2a09,0.51442933,0.45256427,1843,0.40003085,0.3860802,808,0.069731325,0.21794799,574,0.06250345,0.2291022,317,
22_0,0.20233229,0.3402265,1933,10,9,0.16251467,0.30090094,1730,1_00009bddb856dd53a496,0.26525,0.3693582,2723,0.15653653,0.30568972,1699,0.07360508,0.15499382,776,0.05166857,0.11405255,458,
25_0,0.13169816,0.16821145,1167,10,11,0.10568903,0.13954608,860,1_0000464e619212e6a9b0,0.21234801,0.28563097,1816,0.08718806,0.13192265,681,0.062041108,0.10176978,491,0.039696246,0.059995826,250,
28_0,0.3916385,0.20391704,1386,10,-1,0.33667606,0.18134055,1222,2_000069faf0ae61515076,0.40846518,0.30515745,2239,0.35022992,0.2037829,1303,0.1416928,0.14707518,1939,0.13009556,0.10360346,1293,
29_0,0.13143505,0.120705195,1536,10,-1,0.10447002,0.08017129,1302,2_0000081cdf7ad5133c00,0.24336945,0.086637154,2368,0.12524584,0.070961505,1448,0.26620382,0.070472494,2761,0.17357762,0.0414576,1770,
30_0,0.18540485,0.12888567,1262,10,9,0.14301428,0.106728114,990,1_0000e2b10f2e384f3a4e,0.24931403,0.30001014,2489,0.13830821,0.10644921,838,0.07982359,0.22603801,717,0.04731218,0.13508359,353,
32_0,0.34751785,0.17830911,1375,10,-1,0.30930465,0.15227425,1178,2_000098d4986d8999d4a0,0.3863371,0.2194829,2035,0.32423788,0.15380391,1260,0.14640553,0.16426979,1762,0.13702342,0.116984636,1261,
33_0,0.87198085,0.86589104,5849,10,-1,0.79186726,0.7996997,5363,2_000083ddea39d44ccde6,0.8385291,0.76420933,5603,0.84048223,0.8281902,5624,0.043927513,0.04491556,906,0.050603643,0.047770754,644,
34_0,0.18113084,0.28733885,1176,10,5,0.14859588,0.25106883,891,1_000027543b4707a4757c,0.31001997,0.35387942,1868,0.14039682,0.25154716,740,0.057328153,0.10595673,457,0.034916233,0.090372175,235,
35_0,0.16122946,0.16991365,1717,10,11,0.13087107,0.14022717,1480,1_00005b5c93401e759b9f,0.21871611,0.23574698,2295,0.12558715,0.14132287,1494,0.09287241,0.106965564,1050,0.06794317,0.07467644,706,
